#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  9.5000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6953061E+01  9.5824855E+01  2.5080944E+02  6.6667190E+02  1.7786747E+03  4.7020122E+03  1.2148616E+04  0.0000000E+00
  9.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5379514E+01  8.5636750E+01  2.0970126E+02  5.3361389E+02  1.3944548E+03  3.6743567E+03  9.6000494E+03  0.0000000E+00
  1.0000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5392044E+01  8.1685237E+01  1.8738984E+02  4.4999360E+02  1.1334303E+03  2.9373146E+03  7.6658318E+03  0.0000000E+00
  1.0250000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6232284E+01  8.1381403E+01  1.7740952E+02  4.0063402E+02  9.6053677E+02  2.4167918E+03  6.2232279E+03  0.0000000E+00
  1.0500000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7548105E+01  8.3217820E+01  1.7519043E+02  3.7523738E+02  8.5083001E+02  2.0535845E+03  5.1661438E+03  0.0000000E+00
  1.0750000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.9142202E+01  8.6357746E+01  1.7795307E+02  3.6633624E+02  7.8768290E+02  1.8100158E+03  4.4032291E+03  0.0000000E+00
  1.1000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.0911836E+01  9.0330320E+01  1.8387264E+02  3.6824924E+02  7.5771078E+02  1.6550716E+03  3.8615307E+03  0.0000000E+00
  1.1250000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2759190E+01  9.4850505E+01  1.9189015E+02  3.7752760E+02  7.5136116E+02  1.5679841E+03  3.4939361E+03  0.0000000E+00
  1.1500000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4662468E+01  9.9811297E+01  2.0133377E+02  3.9168007E+02  7.6153653E+02  1.5308186E+03  3.2593469E+03  0.0000000E+00
  1.1750000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6569917E+01  1.0508722E+02  2.1195430E+02  4.0964604E+02  7.8380817E+02  1.5313891E+03  3.1321839E+03  0.0000000E+00
  1.2000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1055109E+02  2.2352142E+02  4.3030120E+02  8.1449265E+02  1.5586232E+03  3.0836015E+03  0.0000000E+00
  1.2250000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1616642E+02  2.3577095E+02  4.5310852E+02  8.5151196E+02  1.6054461E+03  3.0947130E+03  0.0000000E+00
  1.2500000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2193149E+02  2.4856074E+02  4.7760400E+02  8.9333271E+02  1.6646462E+03  3.1486730E+03  0.0000000E+00
  1.2750000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2773217E+02  2.6163354E+02  5.0341759E+02  9.3896814E+02  1.7366039E+03  3.2375544E+03  0.0000000E+00
  1.3000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3348634E+02  2.7528008E+02  5.3044986E+02  9.8818731E+02  1.8170444E+03  3.3524550E+03  0.0000000E+00
  1.4000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8814849E+01  1.5534416E+02  3.3117210E+02  6.4669124E+02  1.2076531E+03  2.2036192E+03  3.9807278E+03  0.0000000E+00
  1.5000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7376881E+02  3.8543609E+02  7.6855583E+02  1.4479531E+03  2.6537891E+03  4.7712593E+03  0.0000000E+00
  1.6000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8872090E+02  4.3686650E+02  8.8954411E+02  1.6977899E+03  3.1320987E+03  5.6668041E+03  0.0000000E+00
  1.7000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0018498E+02  4.8593736E+02  1.0099186E+03  1.9481633E+03  3.6200237E+03  6.5817834E+03  0.0000000E+00
  1.8000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0678682E+02  5.3232917E+02  1.1305263E+03  2.2036002E+03  4.1161253E+03  7.5127281E+03  0.0000000E+00
  1.9000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0750024E+02  5.7415744E+02  1.2500147E+03  2.4649865E+03  4.6269637E+03  8.4658027E+03  0.0000000E+00
  2.0000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.0877780E+02  1.3655659E+03  2.7283170E+03  5.1511652E+03  9.4484521E+03  0.0000000E+00
  2.1000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.3474931E+02  1.4742664E+03  2.9862513E+03  5.6822563E+03  1.0450839E+04  0.0000000E+00
  2.2000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.4913199E+02  1.5710561E+03  3.2370720E+03  6.2088816E+03  1.1462260E+04  0.0000000E+00
  2.3000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.4826081E+02  1.6520106E+03  3.4706582E+03  6.7209009E+03  1.2458171E+04  0.0000000E+00
  2.4000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.2796416E+02  1.7121217E+03  3.6831305E+03  7.2075489E+03  1.3433120E+04  0.0000000E+00
  2.5000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8365308E+02  1.7465374E+03  3.8638493E+03  7.6555232E+03  1.4349782E+04  0.0000000E+00
  2.6000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1284404E+02  1.7480355E+03  4.0061185E+03  8.0510468E+03  1.5200858E+04  0.0000000E+00
  2.7000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7111833E+03  4.0968227E+03  8.3779433E+03  1.5954296E+04  0.0000000E+00
  2.8000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6356201E+03  4.1301474E+03  8.6274526E+03  1.6584379E+04  0.0000000E+00
  2.9000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5294932E+03  4.0985459E+03  8.7757727E+03  1.7075646E+04  0.0000000E+00
  3.0000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4061156E+03  4.0073582E+03  8.8189216E+03  1.7387799E+04  0.0000000E+00
  3.1000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2725648E+03  3.8725091E+03  8.7621438E+03  1.7539558E+04  0.0000000E+00
  3.2000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6941560E+03  8.6311134E+03  1.7535156E+04  0.0000000E+00
  3.3000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5206199E+03  8.4161925E+03  1.7396535E+04  0.0000000E+00
  3.4000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.3843181E+03  8.2019772E+03  1.7163929E+04  0.0000000E+00
  3.5000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.3063725E+03  8.0499483E+03  1.6969904E+04  0.0000000E+00
  3.6000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2982684E+03  8.0000468E+03  1.6895217E+04  0.0000000E+00
