#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  9.5000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0355832E+01  7.7418133E+01  1.9471016E+02  4.9535022E+02  1.2749117E+03  3.3007433E+03  8.5431738E+03  0.0000000E+00
  9.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9045539E+01  7.0186566E+01  1.6687672E+02  4.0735577E+02  1.0227427E+03  2.6152412E+03  6.7363840E+03  0.0000000E+00
  1.0000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.8876742E+01  6.7318777E+01  1.5192546E+02  3.5236273E+02  8.5325024E+02  2.1358931E+03  5.4473245E+03  0.0000000E+00
  1.0250000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9370315E+01  6.7077501E+01  1.4546051E+02  3.2063042E+02  7.4099814E+02  1.7969803E+03  4.5092984E+03  0.0000000E+00
  1.0500000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0246926E+01  6.8444432E+01  1.4454907E+02  3.0541582E+02  6.7158739E+02  1.5636122E+03  3.8247641E+03  0.0000000E+00
  1.0750000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1344309E+01  7.0748464E+01  1.4701496E+02  3.0121680E+02  6.3418983E+02  1.4096211E+03  3.3297115E+03  0.0000000E+00
  1.1000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2577554E+01  7.3616614E+01  1.5162232E+02  3.0417484E+02  6.1881678E+02  1.3167495E+03  2.9853611E+03  0.0000000E+00
  1.1250000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.3877717E+01  7.6872441E+01  1.5756161E+02  3.1171247E+02  6.1884699E+02  1.2687813E+03  2.7576889E+03  0.0000000E+00
  1.1500000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5198911E+01  8.0520793E+01  1.6479189E+02  3.2317719E+02  6.3040379E+02  1.2543438E+03  2.6214158E+03  0.0000000E+00
  1.1750000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6533945E+01  8.4401538E+01  1.7286152E+02  3.3723081E+02  6.4977725E+02  1.2651701E+03  2.5571473E+03  0.0000000E+00
