#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.5000000E+03  0.0000000E+00  2.2513626E+03  4.4501930E+03  8.6346838E+03  1.6634931E+04  3.1341867E+04  5.5485478E+04  1.0129631E+05  2.0438140E+05  4.4641543E+05  1.0319381E+06  2.4799607E+06  0.0000000E+00
  3.7500000E+03  0.0000000E+00  1.9690519E+03  3.9978556E+03  8.0213125E+03  1.5898598E+04  3.1383884E+04  6.0780086E+04  1.0881576E+05  2.0015887E+05  3.9684972E+05  8.4563720E+05  1.9533297E+06  0.0000000E+00
  4.0000000E+03  0.0000000E+00  1.7336498E+03  3.4676696E+03  6.8980789E+03  1.3708608E+04  2.7414049E+04  5.4875759E+04  1.0729001E+05  1.9715184E+05  3.6245010E+05  7.0598494E+05  1.4794116E+06  0.0000000E+00
  4.2500000E+03  0.0000000E+00  1.5695665E+03  3.1658461E+03  6.2590240E+03  1.2257817E+04  2.3941079E+04  4.6964731E+04  9.2630223E+04  1.8164109E+05  3.3966362E+05  6.3282795E+05  1.2241532E+06  0.0000000E+00
  4.5000000E+03  0.0000000E+00  1.2947191E+03  2.7242510E+03  5.5467140E+03  1.1031261E+04  2.1619976E+04  4.2045326E+04  8.1511389E+04  1.5818638E+05  3.0235214E+05  5.6887752E+05  1.0714444E+06  0.0000000E+00
  4.7500000E+03  0.0000000E+00  9.4723984E+02  2.1026986E+03  4.4883387E+03  9.2779235E+03  1.8713457E+04  3.7118069E+04  7.2576439E+04  1.4059647E+05  2.6838064E+05  5.0268596E+05  9.5423083E+05  0.0000000E+00
  5.0000000E+03  0.0000000E+00  6.4832672E+02  1.4837194E+03  3.2929811E+03  7.1047594E+03  1.4939630E+04  3.0666233E+04  6.1704748E+04  1.2189909E+05  2.3578912E+05  4.4641966E+05  8.3561090E+05  0.0000000E+00
  5.2500000E+03  0.0000000E+00  4.3899880E+02  1.0158807E+03  2.2926287E+03  5.0696887E+03  1.1001463E+04  2.3404441E+04  4.8839307E+04  9.9632082E+04  1.9804334E+05  3.8273713E+05  7.2560998E+05  0.0000000E+00
  5.5000000E+03  0.0000000E+00  3.0043446E+02  6.9965077E+02  1.5899713E+03  3.5509805E+03  7.8254199E+03  1.7031727E+04  3.6529607E+04  7.6901041E+04  1.5814974E+05  3.1485763E+05  6.0986244E+05  0.0000000E+00
  5.7500000E+03  0.0000000E+00  2.0760463E+02  4.8797876E+02  1.1149415E+03  2.5034170E+03  5.5655087E+03  1.2261487E+04  2.6732217E+04  5.7567481E+04  1.2163048E+05  2.4983616E+05  4.9655935E+05  0.0000000E+00
  6.0000000E+03  0.0000000E+00  1.4344351E+02  3.4284175E+02  7.8932900E+02  1.7828785E+03  3.9853712E+03  8.8465516E+03  1.9505110E+04  4.2617269E+04  9.1779479E+04  1.9353327E+05  3.9550659E+05  0.0000000E+00
  6.2500000E+03  0.0000000E+00  0.0000000E+00  2.4135586E+02  5.6297396E+02  1.2820007E+03  2.8830425E+03  6.4402496E+03  1.4312840E+04  3.1583451E+04  6.9024421E+04  1.4854717E+05  3.1098954E+05  0.0000000E+00
  6.5000000E+03  0.0000000E+00  0.0000000E+00  1.6898521E+02  4.0191027E+02  9.2594569E+02  2.1014276E+03  4.7286583E+03  1.0581503E+04  2.3563506E+04  5.2065225E+04  1.1368775E+05  2.4308879E+05  0.0000000E+00
  6.7500000E+03  0.0000000E+00  0.0000000E+00  1.1477996E+02  2.8542102E+02  6.6822844E+02  1.5343505E+03  3.4877117E+03  7.8756611E+03  1.7692007E+04  3.9471077E+04  8.7168605E+04  1.8971853E+05  0.0000000E+00
  7.0000000E+03  0.0000000E+00  0.0000000E+00  7.3896072E+01  1.9661213E+02  4.7846306E+02  1.1155663E+03  2.5689633E+03  5.8699179E+03  1.3325843E+04  3.0052071E+04  6.7134765E+04  1.4822104E+05  0.0000000E+00
  7.2500000E+03  0.0000000E+00  0.0000000E+00  4.3587776E+01  1.2942750E+02  3.3256894E+02  8.0272914E+02  1.8812791E+03  4.3577944E+03  1.0034154E+04  2.2918998E+04  5.1841966E+04  1.1597008E+05  0.0000000E+00
  7.5000000E+03  0.0000000E+00  0.0000000E+00  2.1792661E+01  8.0100003E+01  2.2207971E+02  5.6188183E+02  1.3584746E+03  3.2107477E+03  7.5129541E+03  1.7426898E+04  4.0008238E+04  9.0761643E+04  0.0000000E+00
  7.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6024149E+01  1.4250403E+02  3.8105823E+02  9.5811047E+02  2.3314421E+03  5.5736332E+03  1.3170934E+04  3.0752522E+04  7.0908403E+04  0.0000000E+00
  8.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4160296E+01  8.8233599E+01  2.5289187E+02  6.6422906E+02  1.6684852E+03  4.0838532E+03  9.8478791E+03  2.3448080E+04  5.5110257E+04  0.0000000E+00
  8.2500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1526558E+01  5.3484839E+01  1.6608980E+02  4.5653199E+02  1.1852035E+03  2.9771303E+03  7.3133975E+03  1.7744314E+04  4.2508171E+04  0.0000000E+00
  8.5000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1989475E+01  1.0759768E+02  3.1161565E+02  8.3944039E+02  2.1686342E+03  5.4424779E+03  1.3369006E+04  3.2571438E+04  0.0000000E+00
  8.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0630560E+01  7.1712282E+01  2.1352885E+02  5.9271297E+02  1.5761076E+03  4.0561508E+03  1.0153703E+04  2.4923377E+04  0.0000000E+00
  9.0000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5511861E+01  5.1024476E+01  1.5106031E+02  4.2430897E+02  1.1517976E+03  3.0349726E+03  7.7645051E+03  1.9260030E+04  0.0000000E+00
  9.2500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.0565425E+01  1.1348795E+02  3.1262116E+02  8.5186376E+02  2.2803019E+03  5.9564604E+03  1.5101283E+04  0.0000000E+00
