#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.5000000E+03  0.0000000E+00  4.9748771E+02  9.8122793E+02  1.8899386E+03  3.5748843E+03  6.6518733E+03  1.2226914E+04  2.2222210E+04  3.9197518E+04  6.6430831E+04  1.2031373E+05  2.4366194E+05  0.0000000E+00
  3.7500000E+03  0.0000000E+00  4.3774523E+02  9.0079461E+02  1.8237325E+03  3.6354324E+03  7.1507139E+03  1.3896660E+04  2.6852142E+04  5.1095078E+04  8.9297464E+04  1.5538402E+05  2.8373058E+05  0.0000000E+00
  4.0000000E+03  0.0000000E+00  3.5252112E+02  7.2590930E+02  1.4905007E+03  3.0524266E+03  6.2170876E+03  1.2576327E+04  2.5200011E+04  5.0011415E+04  9.6770073E+04  1.7508635E+05  3.1342648E+05  0.0000000E+00
  4.2500000E+03  0.0000000E+00  3.1569550E+02  6.2524788E+02  1.2471962E+03  2.5100910E+03  5.0911698E+03  1.0383780E+04  2.1229045E+04  4.3273986E+04  8.7607205E+04  1.7227452E+05  3.1910323E+05  0.0000000E+00
  4.5000000E+03  0.0000000E+00  3.1629735E+02  6.0538234E+02  1.1603540E+03  2.2436430E+03  4.3925271E+03  8.7316327E+03  1.7565653E+04  3.5633303E+04  7.2372782E+04  1.4715137E+05  2.9228195E+05  0.0000000E+00
  4.7500000E+03  0.0000000E+00  3.2184461E+02  6.1754660E+02  1.1694388E+03  2.2043848E+03  4.1801114E+03  8.0141654E+03  1.5581572E+04  3.0753412E+04  6.1293257E+04  1.2302948E+05  2.4869572E+05  0.0000000E+00
  5.0000000E+03  0.0000000E+00  3.0787739E+02  6.1214001E+02  1.1853847E+03  2.2529803E+03  4.2520994E+03  8.0075411E+03  1.5162685E+04  2.9006608E+04  5.6100068E+04  1.0971136E+05  2.1694916E+05  0.0000000E+00
  5.2500000E+03  0.0000000E+00  2.6528604E+02  5.5390659E+02  1.1160926E+03  2.1887086E+03  4.2197852E+03  8.0248021E+03  1.5179737E+04  2.8661777E+04  5.4311445E+04  1.0361951E+05  1.9967853E+05  0.0000000E+00
  5.5000000E+03  0.0000000E+00  2.0851610E+02  4.5758929E+02  9.6366883E+02  1.9690718E+03  3.9281180E+03  7.6818874E+03  1.4819955E+04  2.8239794E+04  5.3514005E+04  1.0119202E+05  1.9172931E+05  0.0000000E+00
  5.7500000E+03  0.0000000E+00  1.5347205E+02  3.5185483E+02  7.7178128E+02  1.6402338E+03  3.3965192E+03  6.8786930E+03  1.3677820E+04  2.6710767E+04  5.1519115E+04  9.8316792E+04  1.8633316E+05  0.0000000E+00
  6.0000000E+03  0.0000000E+00  1.0849728E+02  2.5896870E+02  5.8697308E+02  1.2875039E+03  2.7545788E+03  5.7724607E+03  1.1856904E+04  2.3903621E+04  4.7365970E+04  9.2330923E+04  1.7771955E+05  0.0000000E+00
  6.2500000E+03  0.0000000E+00  0.0000000E+00  1.8610891E+02  4.3377818E+02  9.7501190E+02  2.1394723E+03  4.6068534E+03  9.7463719E+03  2.0267533E+04  4.1419844E+04  8.3002434E+04  1.6365377E+05  0.0000000E+00
  6.5000000E+03  0.0000000E+00  0.0000000E+00  1.3087025E+02  3.1580907E+02  7.2476046E+02  1.6221804E+03  3.5637411E+03  7.7167888E+03  1.6472035E+04  3.4617350E+04  7.1436866E+04  1.4477498E+05  0.0000000E+00
  6.7500000E+03  0.0000000E+00  0.0000000E+00  8.8713709E+01  2.2605277E+02  5.3314144E+02  1.2135007E+03  2.7129309E+03  5.9831573E+03  1.3028300E+04  2.8014107E+04  5.9355482E+04  1.2347775E+05  0.0000000E+00
