#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.5000000E+03  0.0000000E+00  8.7111578E+02  1.7149646E+03  3.3143748E+03  6.2835792E+03  1.1725631E+04  2.1593108E+04  3.8573014E+04  6.5587663E+04  1.1836394E+05  2.4070846E+05  5.3382832E+05  0.0000000E+00
  3.7500000E+03  0.0000000E+00  7.4546465E+02  1.5255391E+03  3.0845211E+03  6.1405649E+03  1.2050444E+04  2.3472056E+04  4.5020165E+04  8.1546132E+04  1.4272148E+05  2.6296484E+05  5.2669227E+05  0.0000000E+00
  4.0000000E+03  0.0000000E+00  6.1847529E+02  1.2490441E+03  2.5280693E+03  5.1218438E+03  1.0373739E+04  2.0894814E+04  4.1852227E+04  8.2321930E+04  1.5260520E+05  2.7429102E+05  5.1170176E+05  0.0000000E+00
  4.2500000E+03  0.0000000E+00  5.7763029E+02  1.1280434E+03  2.2073723E+03  4.3492979E+03  8.6484892E+03  1.7340599E+04  3.4976898E+04  7.0892980E+04  1.4268320E+05  2.6652930E+05  4.9437317E+05  0.0000000E+00
  4.5000000E+03  0.0000000E+00  5.7098095E+02  1.1042413E+03  2.1114485E+03  4.0398209E+03  7.7740845E+03  1.5117269E+04  2.9697872E+04  5.9038216E+04  1.1846759E+05  2.3774688E+05  4.5800452E+05  0.0000000E+00
  4.7500000E+03  0.0000000E+00  5.3678065E+02  1.0663348E+03  2.0664306E+03  3.9507473E+03  7.5008639E+03  1.4267151E+04  2.7295926E+04  5.2706118E+04  1.0293654E+05  2.0335746E+05  4.0459135E+05  0.0000000E+00
  5.0000000E+03  0.0000000E+00  4.5755079E+02  9.5324207E+02  1.9198909E+03  3.7748837E+03  7.2889236E+03  1.3944214E+04  2.6509247E+04  5.0419067E+04  9.6317736E+04  1.8541275E+05  3.6062943E+05  0.0000000E+00
  5.2500000E+03  0.0000000E+00  3.5178900E+02  7.7005962E+02  1.6242424E+03  3.3246071E+03  6.6443910E+03  1.3043239E+04  2.5242453E+04  4.8431518E+04  9.2302992E+04  1.7578934E+05  3.3595479E+05  0.0000000E+00
  5.5000000E+03  0.0000000E+00  2.5447962E+02  5.7758193E+02  1.2658643E+03  2.6936438E+03  5.5998640E+03  1.1394090E+04  2.2729200E+04  4.4695385E+04  8.6638490E+04  1.6647688E+05  3.1784539E+05  0.0000000E+00
  5.7500000E+03  0.0000000E+00  1.7928035E+02  4.1795004E+02  9.3887464E+02  2.0561675E+03  4.4114677E+03  9.2836330E+03  1.9184258E+04  3.8928390E+04  7.7566679E+04  1.5232379E+05  2.9460767E+05  0.0000000E+00
  6.0000000E+03  0.0000000E+00  1.2458125E+02  2.9832743E+02  6.8285042E+02  1.5226405E+03  3.3340434E+03  7.1940987E+03  1.5304904E+04  3.2016571E+04  6.5835911E+04  1.3287790E+05  2.6293032E+05  0.0000000E+00
  6.2500000E+03  0.0000000E+00  0.0000000E+00  2.1154262E+02  4.9346920E+02  1.1162593E+03  2.4809073E+03  5.4427436E+03  1.1809745E+04  2.5300880E+04  5.3471363E+04  1.1100271E+05  2.2581142E+05  0.0000000E+00
  6.5000000E+03  0.0000000E+00  0.0000000E+00  1.4840494E+02  3.5528126E+02  8.1637278E+02  1.8377075E+03  4.0844880E+03  8.9880762E+03  1.9597525E+04  4.2274865E+04  8.9854077E+04  1.8760821E+05  0.0000000E+00
  6.7500000E+03  0.0000000E+00  0.0000000E+00  1.0073670E+02  2.5360365E+02  5.9489356E+02  1.3573628E+03  3.0566878E+03  6.8154760E+03  1.5066551E+04  3.3016502E+04  7.1504733E+04  1.5248732E+05  0.0000000E+00
  7.0000000E+03  0.0000000E+00  0.0000000E+00  6.4942126E+01  1.7537503E+02  4.2940930E+02  9.9807900E+02  2.2783605E+03  5.1508442E+03  1.1537368E+04  2.5644102E+04  5.6417275E+04  1.2239418E+05  0.0000000E+00
  7.2500000E+03  0.0000000E+00  0.0000000E+00  3.8132338E+01  1.1565964E+02  2.9968768E+02  7.2547733E+02  1.6871231E+03  3.8697911E+03  8.8042632E+03  1.9850178E+04  4.4309201E+04  9.7646104E+04  0.0000000E+00
  7.5000000E+03  0.0000000E+00  0.0000000E+00  1.8599030E+01  7.1496997E+01  2.0041494E+02  5.0867205E+02  1.2284356E+03  2.8772016E+03  6.6607338E+03  1.5268454E+04  3.4644360E+04  7.7572214E+04  0.0000000E+00
