#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  3.5000000E+03  0.0000000E+00  1.6836518E+03  3.2668822E+03  6.2205707E+03  1.1741259E+04  2.1966198E+04  3.9244215E+04  6.6626538E+04  1.2401420E+05  2.5808898E+05  5.8197348E+05  1.4001222E+06  0.0000000E+00
  3.7500000E+03  0.0000000E+00  1.5196064E+03  3.0454372E+03  6.0235248E+03  1.1792473E+04  2.2984289E+04  4.4609504E+04  8.0670228E+04  1.4222927E+05  2.6620476E+05  5.4504943E+05  1.1989824E+06  0.0000000E+00
  4.0000000E+03  0.0000000E+00  1.3434080E+03  2.6674100E+03  5.2802126E+03  1.0464759E+04  2.0769275E+04  4.1110259E+04  8.0810164E+04  1.5099445E+05  2.7115336E+05  5.0858232E+05  1.0298105E+06  0.0000000E+00
  4.2500000E+03  0.0000000E+00  1.2482446E+03  2.4690063E+03  4.8254285E+03  9.3913308E+03  1.8292376E+04  3.5841752E+04  7.0868251E+04  1.4087070E+05  2.6794687E+05  4.9394502E+05  9.2220197E+05  0.0000000E+00
  4.5000000E+03  0.0000000E+00  1.1000903E+03  2.2437468E+03  4.4556622E+03  8.7012160E+03  1.6840065E+04  3.2494551E+04  6.2779127E+04  1.2198682E+05  2.3838160E+05  4.5352948E+05  8.4996038E+05  0.0000000E+00
  4.7500000E+03  0.0000000E+00  8.6909519E+02  1.8662425E+03  3.8583917E+03  7.7585855E+03  1.5311609E+04  2.9846704E+04  5.7716611E+04  1.1128264E+05  2.1437559E+05  4.0989343E+05  7.7289783E+05  0.0000000E+00
  5.0000000E+03  0.0000000E+00  6.2296872E+02  1.3999375E+03  3.0341736E+03  6.3729013E+03  1.3044456E+04  2.6148520E+04  5.1665952E+04  1.0088816E+05  1.9500052E+05  3.7250788E+05  7.0201699E+05  0.0000000E+00
  5.2500000E+03  0.0000000E+00  4.2960013E+02  9.8678159E+02  2.2034084E+03  4.7989218E+03  1.0215256E+04  2.1268548E+04  4.3441837E+04  8.7003976E+04  1.7133538E+05  3.3120384E+05  6.2897350E+05  0.0000000E+00
  5.5000000E+03  0.0000000E+00  2.9581653E+02  6.8698392E+02  1.5539228E+03  3.4475884E+03  7.5256529E+03  1.6178357E+04  3.4162552E+04  7.0772023E+04  1.4347261E+05  2.8344929E+05  5.4725261E+05  0.0000000E+00
  5.7500000E+03  0.0000000E+00  2.0481985E+02  4.8111353E+02  1.0971671E+03  2.4566381E+03  5.4362855E+03  1.1900474E+04  2.5716832E+04  5.4808287E+04  1.1455112E+05  2.3302319E+05  4.6067163E+05  0.0000000E+00
