#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  9.5000000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7020376E+01  9.6082526E+01  2.5168495E+02  6.6986893E+02  1.7891538E+03  4.7289183E+03  1.2213330E+04  0.0000000E+00
  9.7500000E+03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5429965E+01  8.5805426E+01  2.1027067E+02  5.3566630E+02  1.4008584E+03  3.6926768E+03  9.6537186E+03  0.0000000E+00
  1.0000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5435113E+01  8.1816953E+01  1.8784913E+02  4.5123641E+02  1.1377493E+03  2.9500685E+03  7.7038179E+03  0.0000000E+00
  1.0250000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6278332E+01  8.1486282E+01  1.7770287E+02  4.0147046E+02  9.6355572E+02  2.4253510E+03  6.2502338E+03  0.0000000E+00
  1.0500000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7596113E+01  8.3311996E+01  1.7544313E+02  3.7590214E+02  8.5286701E+02  2.0600803E+03  5.1848707E+03  0.0000000E+00
  1.0750000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.9190840E+01  8.6456352E+01  1.7816588E+02  3.6685425E+02  7.8915193E+02  1.8145119E+03  4.4176585E+03  0.0000000E+00
  1.1000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.0963480E+01  9.0434136E+01  1.8410095E+02  3.6878682E+02  7.5892428E+02  1.6585956E+03  3.8718044E+03  0.0000000E+00
  1.1250000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.2818557E+01  9.5011192E+01  1.9214051E+02  3.7793343E+02  7.5236151E+02  1.5703928E+03  3.5021677E+03  0.0000000E+00
  1.1500000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4731207E+01  9.9913625E+01  2.0157409E+02  3.9213043E+02  7.6241990E+02  1.5321641E+03  3.2656657E+03  0.0000000E+00
  1.1750000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6646275E+01  1.0519095E+02  2.1222378E+02  4.1006971E+02  7.8457453E+02  1.5327204E+03  3.1355328E+03  0.0000000E+00
  1.2000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1075238E+02  2.2380466E+02  4.3077952E+02  8.1544353E+02  1.5604216E+03  3.0856432E+03  0.0000000E+00
  1.2250000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1637286E+02  2.3603817E+02  4.5360626E+02  8.5247836E+02  1.6071510E+03  3.0966877E+03  0.0000000E+00
  1.2500000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2213681E+02  2.4882426E+02  4.7812486E+02  8.9422385E+02  1.6681587E+03  3.1515760E+03  0.0000000E+00
  1.2750000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2794993E+02  2.6203379E+02  5.0400840E+02  9.4001987E+02  1.7406004E+03  3.2415704E+03  0.0000000E+00
  1.3000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3370725E+02  2.7553734E+02  5.3109962E+02  9.8874759E+02  1.8222238E+03  3.3547860E+03  0.0000000E+00
  1.4000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8959356E+01  1.5568716E+02  3.3158410E+02  6.4751852E+02  1.2091539E+03  2.2115713E+03  3.9854883E+03  0.0000000E+00
  1.5000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7416268E+02  3.8616178E+02  7.6984216E+02  1.4512190E+03  2.6629016E+03  4.7745830E+03  0.0000000E+00
  1.6000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8923978E+02  4.3773573E+02  8.9100414E+02  1.7000895E+03  3.1438765E+03  5.6519212E+03  0.0000000E+00
  1.7000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0078333E+02  4.8693510E+02  1.0113212E+03  1.9514258E+03  3.6327369E+03  6.5638486E+03  0.0000000E+00
  1.8000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0767429E+02  5.3365687E+02  1.1329857E+03  2.2078308E+03  4.1309975E+03  7.5073603E+03  0.0000000E+00
  1.9000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0841933E+02  5.7565164E+02  1.2535179E+03  2.4699453E+03  4.6436635E+03  8.4663673E+03  0.0000000E+00
  2.0000000E+04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.1071658E+02  1.3691798E+03  2.7347918E+03  5.1709665E+03  9.4500134E+03  0.0000000E+00
