Wavelength,Transmission
46198.6,0.000105082
46212.1,0.000111768
46225.6,0.000119298
46239.1,0.000128891
46252.7,0.000139871
46266.2,0.000152236
46279.7,0.000166345
46293.2,0.000182483
46306.7,0.000202077
46320.2,0.00022358
46333.7,0.000247444
46347.2,0.000274629
46360.8,0.000306904
46374.3,0.000344836
46387.8,0.000392118
46401.3,0.000450875
46414.8,0.000523499
46428.3,0.000616008
46441.8,0.000726451
46455.3,0.000858879
46468.8,0.00102229
46482.4,0.00121874
46495.9,0.00145535
46509.4,0.00173404
46522.9,0.00206656
46536.4,0.00245724
46549.9,0.00291514
46563.4,0.00345337
46576.9,0.00408025
46590.5,0.00481797
46604.0,0.00568643
46617.5,0.006705
46631.0,0.00790399
46644.5,0.00931658
46658.0,0.0110092
46671.5,0.0130398
46685.0,0.015491
46698.6,0.0185317
46712.1,0.0222828
46725.6,0.0270064
46739.1,0.0330727
46752.6,0.0407568
46766.1,0.0507279
46779.6,0.0634849
46793.1,0.079677
46806.7,0.0997065
46820.2,0.123537
46833.7,0.151693
46847.2,0.180004
46860.7,0.209472
46874.2,0.23715
46887.7,0.258311
46901.2,0.276415
46914.8,0.287648
46928.3,0.294246
46941.8,0.298276
46955.3,0.299158
46968.8,0.299545
46982.3,0.299858
46995.8,0.300184
47009.3,0.300758
47022.9,0.301693
47036.4,0.302782
47049.9,0.303789
47063.4,0.304413
47076.9,0.304384
47090.4,0.303943
47103.9,0.302553
47117.4,0.300861
47131.0,0.298839
47144.5,0.296876
47158.0,0.295183
47171.5,0.294019
47185.0,0.293503
47198.5,0.293199
47212.0,0.292714
47225.5,0.290678
47239.1,0.287438
47252.6,0.278164
47266.1,0.265547
47279.6,0.248039
47293.1,0.224041
47306.6,0.198798
47320.1,0.16983
47333.6,0.141538
47347.1,0.115985
47360.7,0.0919123
47374.2,0.0722363
47387.7,0.0560776
47401.2,0.0433395
47414.7,0.0334854
47428.2,0.0259764
47441.7,0.0202779
47455.2,0.0159046
47468.8,0.0126395
47482.3,0.0101008
47495.8,0.00814595
47509.3,0.00663449
47522.8,0.00543138
47536.3,0.00449631
47549.8,0.0037456
47563.3,0.00313822
47576.9,0.00265276
47590.4,0.00225104
47603.9,0.00192354
47617.4,0.00165303
47630.9,0.00142477
47644.4,0.00123253
47657.9,0.00106805
47671.4,0.000927506
47685.0,0.000807287
47698.5,0.000703241
47712.0,0.000613333
47725.5,0.000537816
47739.0,0.000473594
47752.5,0.000421701
47766.0,0.000377045
47779.5,0.000339478
47793.1,0.00030924
47806.6,0.000283385
47820.1,0.000262023
47833.6,0.000242267
47847.1,0.00022397
47860.6,0.0002071
47874.1,0.000191178
47887.6,0.000174663
47901.2,0.000158565
47914.7,0.000143122
47928.2,0.000129159
47941.7,0.000116253
47955.2,0.000103776
