#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.1000000E+03  0.4206241E+06  0.1169153E+07  0.2957122E+07  0.6207026E+07  0.1103302E+08  0.1705365E+08  0.3134077E+08  0.5490552E+08  0.9566404E+08  0.1670301E+09  0.2929946E+09  0.5163424E+09  0.9121920E+09
  0.2000000E+03  0.4919261E+06  0.1250244E+07  0.2968024E+07  0.5985759E+07  0.1052386E+08  0.1713155E+08  0.4124886E+08  0.9138565E+08  0.2179344E+09  0.3872130E+09  0.7700461E+09  0.9617187E+09  0.3370714E+10
  0.3000000E+03  0.4892573E+06  0.1170640E+07  0.2639531E+07  0.5062780E+07  0.8316297E+07  0.1179622E+08  0.2777152E+08  0.5922560E+08  0.1288728E+09  0.2690172E+09  0.4905488E+09  0.8819186E+09  0.1586262E+10
  0.4000000E+03  0.4372238E+06  0.1002694E+07  0.2172036E+07  0.3991806E+07  0.6188768E+07  0.7978921E+07  0.1859061E+08  0.4419447E+08  0.9715547E+08  0.2129794E+09  0.4275402E+09  0.8068760E+09  0.1485527E+10
  0.5000000E+03  0.3670616E+06  0.8181088E+06  0.1726998E+07  0.3100947E+07  0.4716991E+07  0.6124118E+07  0.1519853E+08  0.3591580E+08  0.8100629E+08  0.1806295E+09  0.3867689E+09  0.7645799E+09  0.1422841E+10
  0.6000000E+03  0.2993151E+06  0.6543145E+06  0.1360283E+07  0.2415793E+07  0.3653667E+07  0.4762392E+07  0.1217416E+08  0.3036254E+08  0.7174049E+08  0.1594811E+09  0.3477077E+09  0.7216619E+09  0.1393380E+10
  0.7000000E+03  0.2427996E+06  0.5230314E+06  0.1077491E+07  0.1904821E+07  0.2878293E+07  0.3757996E+07  0.1004949E+08  0.2617404E+08  0.6473543E+08  0.1499662E+09  0.3202968E+09  0.6676200E+09  0.1338359E+10
  0.8000000E+03  0.1991033E+06  0.4232371E+06  0.8667720E+06  0.1531367E+07  0.2323126E+07  0.3064052E+07  0.8505262E+07  0.2265909E+08  0.5801014E+08  0.1381850E+09  0.3055103E+09  0.6307137E+09  0.1270368E+10
  0.9000000E+03  0.1664123E+06  0.3488635E+06  0.7110587E+06  0.1257865E+07  0.1920169E+07  0.2564130E+07  0.7158305E+07  0.1944074E+08  0.5078499E+08  0.1229774E+09  0.2816876E+09  0.5997814E+09  0.1206329E+10
  0.1000000E+04  0.1417743E+06  0.2928657E+06  0.5941463E+06  0.1052807E+07  0.1617801E+07  0.2188513E+07  0.6063364E+07  0.1645147E+08  0.4356299E+08  0.1079458E+09  0.2477549E+09  0.5527963E+09  0.1136325E+10
  0.1100000E+04  0.1223370E+06  0.2491940E+06  0.5032314E+06  0.8925472E+06  0.1377409E+07  0.1875317E+07  0.5143469E+07  0.1376108E+08  0.3665350E+08  0.9265855E+08  0.2179351E+09  0.4920123E+09  0.1050755E+10
  0.1200000E+04  0.1060473E+06  0.2136506E+06  0.4298675E+06  0.7628168E+06  0.1180531E+07  0.1614846E+07  0.4352778E+07  0.1145890E+08  0.3042350E+08  0.7826356E+08  0.1888648E+09  0.4295847E+09  0.9462125E+09
  0.1300000E+04  0.9183871E+05  0.1837866E+06  0.3689650E+06  0.6549588E+06  0.1014933E+07  0.1389624E+07  0.3697289E+07  0.9579100E+07  0.2526905E+08  0.6583690E+08  0.1619212E+09  0.3734463E+09  0.8325767E+09
  0.1400000E+04  0.7936745E+05  0.1583467E+06  0.3176464E+06  0.5642355E+06  0.8755413E+06  0.1200525E+07  0.3168882E+07  0.8120827E+07  0.2121693E+08  0.5499367E+08  0.1380346E+09  0.3240660E+09  0.7268226E+09
  0.1500000E+04  0.6853648E+05  0.1365617E+06  0.2739195E+06  0.4870555E+06  0.7576047E+06  0.1044705E+07  0.2750662E+07  0.6974684E+07  0.1784865E+08  0.4583423E+08  0.1157970E+09  0.2792133E+09  0.6356828E+09
  0.1600000E+04  0.5917271E+05  0.1177357E+06  0.2360239E+06  0.4197258E+06  0.6532956E+06  0.9016147E+06  0.2375025E+07  0.5988100E+07  0.1502077E+08  0.3806116E+08  0.9720350E+08  0.2385217E+09  0.5502855E+09
  0.1700000E+04  0.5099940E+05  0.1012690E+06  0.2027530E+06  0.3602275E+06  0.5601146E+06  0.7716110E+06  0.2033238E+07  0.5122952E+07  0.1279922E+08  0.3215472E+08  0.8181473E+08  0.2033851E+09  0.4765609E+09
  0.1800000E+04  0.4374830E+05  0.8674249E+05  0.1734459E+06  0.3077120E+06  0.4774803E+06  0.6559808E+06  0.1744715E+07  0.4402641E+07  0.1096240E+08  0.2728839E+08  0.6888274E+08  0.1727735E+09  0.4079629E+09
  0.1900000E+04  0.3726522E+05  0.7395953E+05  0.1478695E+06  0.2619774E+06  0.4050895E+06  0.5518542E+06  0.1483555E+07  0.3789981E+07  0.9445395E+07  0.2334165E+08  0.5833261E+08  0.1465137E+09  0.3530513E+09
  0.2000000E+04  0.3152708E+05  0.6289455E+05  0.1260700E+06  0.2235106E+06  0.3453315E+06  0.4693768E+06  0.1249330E+07  0.3213139E+07  0.8027874E+07  0.1974284E+08  0.4906793E+08  0.1231051E+09  0.3040225E+09
  0.2100000E+04  0.2655205E+05  0.5348269E+05  0.1078175E+06  0.1918516E+06  0.2973481E+06  0.4052986E+06  0.1080149E+07  0.2779411E+07  0.6855103E+07  0.1678280E+08  0.4137365E+08  0.1041832E+09  0.2611868E+09
  0.2200000E+04  0.2229116E+05  0.4546271E+05  0.9238513E+05  0.1655235E+06  0.2589220E+06  0.3579713E+06  0.9100609E+06  0.2334101E+07  0.5890887E+07  0.1442976E+08  0.3539794E+08  0.8850287E+08  0.2237334E+09
  0.2300000E+04  0.1858314E+05  0.3835946E+05  0.7854449E+05  0.1418070E+06  0.2250785E+06  0.3229331E+06  0.8167300E+06  0.2011034E+07  0.5110559E+07  0.1252263E+08  0.3050951E+08  0.7582603E+08  0.1914282E+09
  0.2400000E+04  0.1524641E+05  0.3173764E+05  0.6513471E+05  0.1173903E+06  0.1852779E+06  0.2626286E+06  0.6986060E+06  0.1750182E+07  0.4470998E+07  0.1091280E+08  0.2643217E+08  0.6520627E+08  0.1640865E+09
  0.2500000E+04  0.1225243E+05  0.2564427E+05  0.5248269E+05  0.9345543E+05  0.1432115E+06  0.1884275E+06  0.6123872E+06  0.1531963E+07  0.3882137E+07  0.9536829E+07  0.2301805E+08  0.5625666E+08  0.1408556E+09
  0.2600000E+04  0.9720401E+04  0.2049274E+05  0.4192528E+05  0.7409638E+05  0.1116610E+06  0.1428664E+06  0.4493856E+06  0.1349370E+07  0.3405580E+07  0.8344531E+07  0.2014889E+08  0.4885575E+08  0.1211178E+09
  0.2700000E+04  0.7744813E+04  0.1653411E+05  0.3406530E+05  0.6044556E+05  0.9145103E+05  0.1180538E+06  0.4229514E+06  0.1316650E+07  0.3174820E+07  0.7336844E+07  0.1770773E+08  0.4270261E+08  0.1053820E+09
  0.2800000E+04  0.6304638E+04  0.1369449E+05  0.2860757E+05  0.5150926E+05  0.7985115E+05  0.1092070E+06  0.3788058E+06  0.1171618E+07  0.2835512E+07  0.6456233E+07  0.1555799E+08  0.3731977E+08  0.9079975E+08
  0.2900000E+04  0.5295118E+04  0.1170186E+05  0.2477630E+05  0.4514802E+05  0.7086069E+05  0.9769886E+05  0.2944721E+06  0.1008099E+07  0.2535058E+07  0.5692660E+07  0.1367820E+08  0.3265526E+08  0.7887460E+08
  0.3000000E+04  0.4628689E+04  0.1034107E+05  0.2206592E+05  0.4047098E+05  0.6392131E+05  0.8853290E+05  0.2187973E+06  0.8147803E+06  0.2235357E+07  0.5002724E+07  0.1202104E+08  0.2860310E+08  0.6858212E+08
  0.3100000E+04  0.4281832E+04  0.9491545E+04  0.2016093E+05  0.3695504E+05  0.5860727E+05  0.8209314E+05  0.1744675E+06  0.6431069E+06  0.1920732E+07  0.4683649E+07  0.1097428E+08  0.2560477E+08  0.6042759E+08
  0.3200000E+04  0.4231621E+04  0.8995857E+04  0.1867142E+05  0.3391195E+05  0.5381264E+05  0.7582713E+05  0.1577709E+06  0.4662561E+06  0.1577779E+07  0.4065939E+07  0.9625767E+07  0.2245624E+08  0.5272848E+08
  0.3300000E+04  0.4253745E+04  0.8428098E+04  0.1688350E+05  0.3039165E+05  0.4870018E+05  0.6990656E+05  0.1457572E+06  0.3363970E+06  0.1259573E+07  0.3458836E+07  0.8382063E+07  0.1965790E+08  0.4601385E+08
  0.3400000E+04  0.3291497E+04  0.6549398E+04  0.1315700E+05  0.2416110E+05  0.4053346E+05  0.6352104E+05  0.1331048E+06  0.3019647E+06  0.1016816E+07  0.2757224E+07  0.6777375E+07  0.1466360E+08  0.3223423E+08
