#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.2400000E+04  0.2866118E+03  0.5193748E+03  0.9612951E+03  0.1607563E+04  0.2386292E+04  0.3194831E+04  0.8793703E+04  0.2660197E+05  0.7984632E+05  0.2496230E+06  0.7882552E+06  0.2425844E+07  0.7381684E+07
  0.2500000E+04  0.2620322E+03  0.4615921E+03  0.8375411E+03  0.1382837E+04  0.2026388E+04  0.2630600E+04  0.7518347E+04  0.2296914E+05  0.6893808E+05  0.2158196E+06  0.6827344E+06  0.2135019E+07  0.6531817E+07
  0.2600000E+04  0.2482412E+03  0.4239944E+03  0.7528576E+03  0.1226629E+04  0.1780178E+04  0.2296876E+04  0.6688278E+04  0.2034457E+05  0.6113470E+05  0.1891204E+06  0.5944365E+06  0.1867958E+07  0.5814536E+07
  0.2700000E+04  0.2479724E+03  0.4092918E+03  0.7098418E+03  0.1140546E+04  0.1638237E+04  0.2092061E+04  0.6068205E+04  0.1749625E+05  0.5266085E+05  0.1674267E+06  0.5188988E+06  0.1620309E+07  0.5050168E+07
  0.2800000E+04  0.2641220E+03  0.4211425E+03  0.7134611E+03  0.1130696E+04  0.1605297E+04  0.2017251E+04  0.5734692E+04  0.1634831E+05  0.4768206E+05  0.1478003E+06  0.4494354E+06  0.1386542E+07  0.4329295E+07
  0.2900000E+04  0.2996383E+03  0.4640295E+03  0.7712639E+03  0.1209776E+04  0.1702088E+04  0.2103646E+04  0.5801414E+04  0.1584182E+05  0.4388876E+05  0.1305547E+06  0.3867746E+06  0.1169706E+07  0.3607067E+07
  0.3000000E+04  0.3567135E+03  0.5413760E+03  0.8895949E+03  0.1391739E+04  0.1961311E+04  0.2415645E+04  0.6122636E+04  0.1594783E+05  0.4138692E+05  0.1160679E+06  0.3318707E+06  0.9780887E+06  0.2963838E+07
  0.3100000E+04  0.4332883E+03  0.6489783E+03  0.1061629E+04  0.1673621E+04  0.2411118E+04  0.3073751E+04  0.6644824E+04  0.1659946E+05  0.4035639E+05  0.1027916E+06  0.2807956E+06  0.8047598E+06  0.2397610E+07
  0.3200000E+04  0.5147565E+03  0.7627802E+03  0.1246512E+04  0.1996855E+04  0.3008912E+04  0.4232927E+04  0.7732131E+04  0.1760934E+05  0.4053549E+05  0.9554724E+05  0.2444381E+06  0.6696138E+06  0.1933571E+07
  0.3300000E+04  0.5634187E+03  0.8288661E+03  0.1354447E+04  0.2203063E+04  0.3455986E+04  0.5199497E+04  0.9651949E+04  0.1872310E+05  0.4130811E+05  0.9122502E+05  0.2177659E+06  0.5654383E+06  0.1568295E+07
  0.3400000E+04  0.4627792E+03  0.7294441E+03  0.1248298E+04  0.2111709E+04  0.3450324E+04  0.5432664E+04  0.9758966E+04  0.1819540E+05  0.3778874E+05  0.8042668E+05  0.1849106E+06  0.4267539E+06  0.1095325E+07
  0.3500000E+04  0.3621396E+03  0.6300220E+03  0.1142149E+04  0.2020354E+04  0.3444662E+04  0.5665832E+04  0.9865983E+04  0.1766770E+05  0.3426937E+05  0.6962834E+05  0.1520553E+06  0.2880694E+06  0.6223550E+06
