#Table Version   5
#[Z/Z_SOLAR]=-0.50 [A/Fe]= 0.0 GN93     | VALID RANGE:   50  50  50  50  51  54  59  66  78  82  82  82  82
#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  7.7500000E+03  5.0783540E+01  5.3256059E+01  6.1005444E+01  8.4866688E+01  1.5527027E+02  3.4842672E+02  8.3948628E+02  2.1291480E+03  5.0323234E+03  1.1729384E+04  2.6900770E+04  5.9876043E+04  1.3318738E+05
  8.0000000E+03  5.1484272E+01  5.3029128E+01  5.7885937E+01  7.2982843E+01  1.1859786E+02  2.4915396E+02  5.9687300E+02  1.5455000E+03  3.7078000E+03  8.8426000E+03  2.0455000E+04  4.6951000E+04  1.0656000E+05
  8.2500000E+03  5.2297330E+01  5.3284637E+01  5.6393306E+01  6.6096344E+01  9.5755148E+01  1.8288798E+02  4.2443211E+02  1.1368697E+03  2.7158277E+03  6.5973898E+03  1.5627809E+04  3.6483383E+04  8.4617543E+04
  8.5000000E+03  5.3148457E+01  5.3798838E+01  5.5848476E+01  6.2256217E+01  8.1933831E+01  1.4037582E+02  3.0640026E+02  8.0742313E+02  2.0161385E+03  4.9041396E+03  1.1898935E+04  2.8117188E+04  6.6679021E+04
  8.7500000E+03  5.3992547E+01  5.4438551E+01  5.5843996E+01  6.0241594E+01  7.3754942E+01  1.1393417E+02  2.2881403E+02  5.6049563E+02  1.4913245E+03  3.6653922E+03  8.9693777E+03  2.1459879E+04  5.1987109E+04
  9.0000000E+03  5.4801208E+01  5.5122683E+01  5.6135570E+01  5.9305992E+01  6.9040111E+01  9.7856752E+01  1.7956931E+02  4.2000000E+02  1.1247000E+03  2.8717000E+03  7.1030000E+03  1.7000000E+04  4.1270000E+04
  9.2500000E+03  5.5555894E+01  5.5801713E+01  5.6576231E+01  5.8999149E+01  6.6432896E+01  8.8302684E+01  1.4923733E+02  2.6862947E+02  7.8842610E+02  2.1124736E+03  5.3244983E+03  1.3378311E+04  3.1418119E+04
  9.5000000E+03  5.6243743E+01  5.6444317E+01  5.7076284E+01  5.9052844E+01  6.5110480E+01  8.2822892E+01  1.3116962E+02  2.2682358E+02  6.0092041E+02  1.5928427E+03  4.2315840E+03  1.0532264E+04  2.4487094E+04
  9.7500000E+03  5.6855195E+01  5.7029860E+01  5.7580193E+01  5.9301097E+01  6.4568270E+01  7.9892191E+01  1.2092835E+02  1.8942153E+02  4.7409934E+02  1.2194203E+03  3.2447108E+03  8.2853461E+03  1.9314944E+04
  1.0000000E+04  5.7382552E+01  5.7543893E+01  5.8052168E+01  5.9641242E+01  6.4501015E+01  7.8572077E+01  1.1566239E+02  1.6730782E+02  3.9583612E+02  9.8490646E+02  2.5342986E+03  6.6007619E+03  1.5043994E+04
  1.0250000E+04  5.7819239E+01  5.7975670E+01  5.8468481E+01  6.0008665E+01  6.4711335E+01  7.8278289E+01  1.1357936E+02  1.5909026E+02  3.5480512E+02  8.3830451E+02  2.0898886E+03  5.3798574E+03  1.1945390E+04
  1.0500000E+04  5.8159266E+01  5.8316560E+01  5.8812035E+01  6.0360014E+01  6.5080341E+01  7.8646810E+01  1.1356699E+02  1.5775953E+02  3.3482718E+02  7.4799201E+02  1.7832131E+03  4.4757878E+03  9.6815640E+03
  1.0750000E+04  5.8396785E+01  5.8559116E+01  5.9070451E+01  6.0666754E+01  6.5527374E+01  7.9439302E+01  1.1493164E+02  1.6060141E+02  3.2896158E+02  6.9859631E+02  1.5805681E+03  3.8226469E+03  8.0712941E+03
  1.1000000E+04  5.8526520E+01  5.8696984E+01  5.9233747E+01  6.0908907E+01  6.6001102E+01  8.0516671E+01  1.1724386E+02  1.6613596E+02  3.3228779E+02  6.7807789E+02  1.4588250E+03  3.3697570E+03  6.9622580E+03
  1.1250000E+04  5.8542980E+01  5.8724082E+01  5.9294220E+01  6.1072398E+01  6.6468410E+01  8.1783060E+01  1.2024050E+02  1.7330608E+02  3.4138486E+02  6.7721147E+02  1.3962998E+03  3.0731620E+03  6.2295002E+03
  1.1500000E+04  5.8440743E+01  5.8634631E+01  5.9244883E+01  6.1146844E+01  6.6907510E+01  8.3183961E+01  1.2375769E+02  1.8193138E+02  3.5477875E+02  6.8982781E+02  1.3756725E+03  2.8976115E+03  5.7747937E+03
  1.1750000E+04  5.8214324E+01  5.8422914E+01  5.9079279E+01  6.1123448E+01  6.7302376E+01  8.4680250E+01  1.2769009E+02  1.9154961E+02  3.7143140E+02  7.1239202E+02  1.3861351E+03  2.8129725E+03  5.5225189E+03
  1.2000000E+04  5.7858156E+01  5.8083189E+01  5.8791120E+01  6.0994181E+01  6.7639544E+01  8.6242426E+01  1.3196545E+02  2.0203028E+02  3.9042787E+02  7.4193234E+02  1.4179272E+03  2.7947056E+03  5.4174721E+03
