#Table Version   5                                                                                                                                                                                                                                              
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0          | VALID RANGE: 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381              
#Teff(K)| Pgas@  log g = 5.50   log g = 5.60   log g = 5.70   log g = 5.80   log g = 5.90   log g = 6.00   log g = 6.10   log g = 6.20   log g = 6.30   log g = 6.40   log g = 6.50   log g = 6.60   log g = 6.70   log g = 6.80   log g = 6.90   log g = 7.00   log g = 7.10   log g = 7.20   log g = 7.30   log g = 7.40   log g = 7.50   log g = 7.60   log g = 7.70   log g = 7.80   log g = 7.90   log g = 8.00   log g = 8.10   log g = 8.20   log g = 8.30   log g = 8.40   log g = 8.50   log g = 8.60   log g = 8.70   log g = 8.80   log g = 8.90   log g = 9.00   log g = 9.10   log g = 9.20   log g = 9.30   log g = 9.40   log g = 9.50 
  0.1250000E+05  0.2097271E+06  0.2368113E+06  0.2673155E+06  0.3018011E+06  0.3405341E+06  0.3844085E+06  0.4338714E+06  0.4897100E+06  0.5528260E+06  0.6242373E+06  0.7039933E+06  0.7941872E+06  0.8978112E+06  0.1013947E+07  0.1144654E+07  0.1292567E+07  0.1460219E+07  0.1640013E+07  0.1825694E+07  0.2060958E+07  0.2307885E+07  0.2584348E+07  0.2908851E+07  0.3249701E+07  0.3618379E+07  0.3998173E+07  0.4221157E+07  0.3712677E+07  0.3682914E+07  0.4072309E+07  0.4648155E+07  0.5380691E+07  0.6275351E+07  0.7351819E+07  0.8636905E+07  0.1015864E+08  0.1193237E+08  0.1398210E+08  0.1645628E+08  0.1931787E+08  0.2272640E+08
  0.1260000E+05  0.2125181E+06  0.2399526E+06  0.2711362E+06  0.3060184E+06  0.3451923E+06  0.3895025E+06  0.4397118E+06  0.4961207E+06  0.5601932E+06  0.6319402E+06  0.7134780E+06  0.8048968E+06  0.9095318E+06  0.1027147E+07  0.1159528E+07  0.1308377E+07  0.1478658E+07  0.1661178E+07  0.1849132E+07  0.2087840E+07  0.2338367E+07  0.2620404E+07  0.2953043E+07  0.3304687E+07  0.3693132E+07  0.4115720E+07  0.4498592E+07  0.4546079E+07  0.3963201E+07  0.4179126E+07  0.4689701E+07  0.5385378E+07  0.6250301E+07  0.7300238E+07  0.8560119E+07  0.1005744E+08  0.1180590E+08  0.1382657E+08  0.1626973E+08  0.1909120E+08  0.2241440E+08
  0.1270000E+05  0.2153989E+06  0.2432046E+06  0.2747940E+06  0.3098548E+06  0.3500892E+06  0.3948187E+06  0.4459161E+06  0.5030462E+06  0.5673386E+06  0.6402711E+06  0.7231816E+06  0.8161463E+06  0.9208309E+06  0.1040167E+07  0.1174448E+07  0.1324978E+07  0.1496219E+07  0.1682067E+07  0.1872301E+07  0.2114151E+07  0.2368191E+07  0.2654860E+07  0.2994382E+07  0.3355437E+07  0.3758570E+07  0.4206690E+07  0.4660686E+07  0.5013841E+07  0.4674229E+07  0.4381526E+07  0.4776094E+07  0.5415176E+07  0.6245725E+07  0.7265620E+07  0.8496868E+07  0.9947367E+07  0.1169070E+08  0.1368226E+08  0.1605217E+08  0.1888337E+08  0.2216386E+08
  0.1280000E+05  0.2182664E+06  0.2464547E+06  0.2784314E+06  0.3140408E+06  0.3544390E+06  0.4000192E+06  0.4513905E+06  0.5096248E+06  0.5749814E+06  0.6485623E+06  0.7315985E+06  0.8262586E+06  0.9328543E+06  0.1052705E+07  0.1189007E+07  0.1341638E+07  0.1514525E+07  0.1702734E+07  0.1895173E+07  0.2140076E+07  0.2397637E+07  0.2688385E+07  0.3017643E+07  0.3401784E+07  0.3815450E+07  0.4282952E+07  0.4775293E+07  0.5253572E+07  0.5473265E+07  0.4801743E+07  0.4933300E+07  0.5484082E+07  0.6268658E+07  0.7251091E+07  0.8451255E+07  0.9872368E+07  0.1158807E+08  0.1354928E+08  0.1588964E+08  0.1869092E+08  0.2193309E+08
  0.1290000E+05  0.2211225E+06  0.2498236E+06  0.2820447E+06  0.3180016E+06  0.3589843E+06  0.4051993E+06  0.4575019E+06  0.5157615E+06  0.5823672E+06  0.6566479E+06  0.7413269E+06  0.8369694E+06  0.9441013E+06  0.1066021E+07  0.1204302E+07  0.1358974E+07  0.1533185E+07  0.1724308E+07  0.1918122E+07  0.2165512E+07  0.2427309E+07  0.2720781E+07  0.3055407E+07  0.3446568E+07  0.3869663E+07  0.4340556E+07  0.4867379E+07  0.5414957E+07  0.5880457E+07  0.5750141E+07  0.5221056E+07  0.5608655E+07  0.6318724E+07  0.7260995E+07  0.8425736E+07  0.9814446E+07  0.1143472E+08  0.1342894E+08  0.1573877E+08  0.1846734E+08  0.2171826E+08
  0.1300000E+05  0.2239750E+06  0.2528833E+06  0.2856051E+06  0.3221461E+06  0.3636372E+06  0.4101266E+06  0.4628973E+06  0.5223572E+06  0.5896752E+06  0.6648793E+06  0.7503383E+06  0.8473382E+06  0.9560580E+06  0.1078269E+07  0.1218814E+07  0.1375761E+07  0.1551500E+07  0.1744511E+07  0.1940543E+07  0.2194668E+07  0.2455976E+07  0.2752948E+07  0.3092093E+07  0.3489235E+07  0.3920304E+07  0.4403956E+07  0.4949635E+07  0.5531370E+07  0.6111875E+07  0.6484894E+07  0.5818183E+07  0.5827257E+07  0.6418805E+07  0.7300918E+07  0.8423845E+07  0.9776024E+07  0.1136051E+08  0.1332272E+08  0.1559915E+08  0.1829652E+08  0.2151617E+08
  0.1310000E+05  0.2268305E+06  0.2558947E+06  0.2888462E+06  0.3259492E+06  0.3679483E+06  0.4151652E+06  0.4688518E+06  0.5292207E+06  0.5971109E+06  0.6729975E+06  0.7594472E+06  0.8574741E+06  0.9682647E+06  0.1090939E+07  0.1232834E+07  0.1392066E+07  0.1569747E+07  0.1764724E+07  0.1963379E+07  0.2200320E+07  0.2484352E+07  0.2784718E+07  0.3128181E+07  0.3530588E+07  0.3968274E+07  0.4461147E+07  0.5021102E+07  0.5626185E+07  0.6269862E+07  0.6868272E+07  0.6916047E+07  0.6215659E+07  0.6588048E+07  0.7380950E+07  0.8451564E+07  0.9761099E+07  0.1130587E+08  0.1318591E+08  0.1547419E+08  0.1813682E+08  0.2128584E+08
  0.1320000E+05  0.2296710E+06  0.2590414E+06  0.2923333E+06  0.3298426E+06  0.3724358E+06  0.4203684E+06  0.4744976E+06  0.5349904E+06  0.6036077E+06  0.6811491E+06  0.7685598E+06  0.8669385E+06  0.9792134E+06  0.1104820E+07  0.1247803E+07  0.1408250E+07  0.1587951E+07  0.1783681E+07  0.1985512E+07  0.2225024E+07  0.2512493E+07  0.2816237E+07  0.3163741E+07  0.3571394E+07  0.4014874E+07  0.4515972E+07  0.5088220E+07  0.5710175E+07  0.6395980E+07  0.7087461E+07  0.7614170E+07  0.6998548E+07  0.6873420E+07  0.7514151E+07  0.8513600E+07  0.9772681E+07  0.1127157E+08  0.1311419E+08  0.1536507E+08  0.1799111E+08  0.2110502E+08
  0.1330000E+05  0.2324537E+06  0.2621032E+06  0.2959960E+06  0.3339325E+06  0.3769327E+06  0.4253055E+06  0.4797081E+06  0.5412613E+06  0.6107951E+06  0.6891034E+06  0.7778556E+06  0.8768886E+06  0.9907648E+06  0.1117529E+07  0.1261944E+07  0.1424331E+07  0.1606270E+07  0.1803820E+07  0.2007926E+07  0.2250209E+07  0.2540314E+07  0.2847628E+07  0.3198792E+07  0.3612525E+07  0.4060420E+07  0.4569168E+07  0.5141153E+07  0.5788690E+07  0.6495583E+07  0.7250554E+07  0.7977512E+07  0.8184619E+07  0.7375349E+07  0.7733915E+07  0.8598359E+07  0.9817192E+07  0.1126412E+08  0.1306264E+08  0.1523089E+08  0.1786062E+08  0.2093612E+08
  0.1340000E+05  0.2351790E+06  0.2653160E+06  0.2993101E+06  0.3377696E+06  0.3814079E+06  0.4303676E+06  0.4856831E+06  0.5479707E+06  0.6179527E+06  0.6969805E+06  0.7865021E+06  0.8873499E+06  0.1002442E+07  0.1131001E+07  0.1274720E+07  0.1440608E+07  0.1625234E+07  0.1822868E+07  0.2030826E+07  0.2274412E+07  0.2566882E+07  0.2879187E+07  0.3233171E+07  0.3636875E+07  0.4105301E+07  0.4620277E+07  0.5201229E+07  0.5861797E+07  0.6586034E+07  0.7379449E+07  0.8207211E+07  0.8868771E+07  0.8338894E+07  0.8092921E+07  0.8769443E+07  0.9818817E+07  0.1128359E+08  0.1303910E+08  0.1516056E+08  0.1774802E+08  0.2078245E+08
  0.1350000E+05  0.2381215E+06  0.2683711E+06  0.3029058E+06  0.3418984E+06  0.3858826E+06  0.4353308E+06  0.4914993E+06  0.5541555E+06  0.6252334E+06  0.7046640E+06  0.7955273E+06  0.8973068E+06  0.1012394E+07  0.1142518E+07  0.1289104E+07  0.1456303E+07  0.1643115E+07  0.1842870E+07  0.2052929E+07  0.2299004E+07  0.2594970E+07  0.2909995E+07  0.3267619E+07  0.3675658E+07  0.4149270E+07  0.4670388E+07  0.5259286E+07  0.5930226E+07  0.6670603E+07  0.7494169E+07  0.8373479E+07  0.9236558E+07  0.9579926E+07  0.8703298E+07  0.9037600E+07  0.9956189E+07  0.1134318E+08  0.1304056E+08  0.1511352E+08  0.1765537E+08  0.2064117E+08
  0.1360000E+05  0.2408242E+06  0.2716498E+06  0.3062460E+06  0.3458129E+06  0.3902485E+06  0.4403463E+06  0.4963247E+06  0.5604036E+06  0.6320897E+06  0.7130462E+06  0.8043447E+06  0.9070338E+06  0.1024668E+07  0.1155063E+07  0.1302505E+07  0.1471225E+07  0.1660884E+07  0.1862882E+07  0.2074902E+07  0.2323465E+07  0.2623368E+07  0.2940612E+07  0.3301841E+07  0.3714103E+07  0.4192750E+07  0.4719735E+07  0.5315748E+07  0.5996768E+07  0.6749127E+07  0.7586594E+07  0.8511075E+07  0.9478988E+07  0.1028003E+08  0.9815432E+07  0.9467108E+07  0.1016207E+08  0.1144837E+08  0.1307702E+08  0.1509481E+08  0.1754190E+08  0.2052173E+08
  0.1370000E+05  0.2432120E+06  0.2747685E+06  0.3097044E+06  0.3495833E+06  0.3945917E+06  0.4453956E+06  0.5019670E+06  0.5666386E+06  0.6392052E+06  0.7209422E+06  0.8132796E+06  0.9177623E+06  0.1035357E+07  0.1168760E+07  0.1317601E+07  0.1485869E+07  0.1678539E+07  0.1883243E+07  0.2096733E+07  0.2347792E+07  0.2654271E+07  0.2970606E+07  0.3335858E+07  0.3752226E+07  0.4235786E+07  0.4768348E+07  0.5371117E+07  0.6059908E+07  0.6824424E+07  0.7685437E+07  0.8631413E+07  0.9660598E+07  0.1067064E+08  0.1113724E+08  0.1016959E+08  0.1047362E+08  0.1156256E+08  0.1315375E+08  0.1510729E+08  0.1750003E+08  0.2043053E+08
  0.1380000E+05  0.2461156E+06  0.2777015E+06  0.3131540E+06  0.3535984E+06  0.3988583E+06  0.4501156E+06  0.5077753E+06  0.5730445E+06  0.6461821E+06  0.7287933E+06  0.8220974E+06  0.9271910E+06  0.1046082E+07  0.1180348E+07  0.1330446E+07  0.1502872E+07  0.1696048E+07  0.1903658E+07  0.2118268E+07  0.2371878E+07  0.2658715E+07  0.3001299E+07  0.3369730E+07  0.3790046E+07  0.4278370E+07  0.4816455E+07  0.5425641E+07  0.6113722E+07  0.6897581E+07  0.7768963E+07  0.8738095E+07  0.9807407E+07  0.1092978E+08  0.1181582E+08  0.1138054E+08  0.1095849E+08  0.1180487E+08  0.1328192E+08  0.1515631E+08  0.1748731E+08  0.2031858E+08
  0.1390000E+05  0.2487188E+06  0.2807633E+06  0.3166012E+06  0.3572339E+06  0.4030557E+06  0.4550462E+06  0.5133285E+06  0.5790260E+06  0.6531784E+06  0.7364430E+06  0.8308906E+06  0.9371441E+06  0.1057333E+07  0.1192538E+07  0.1345288E+07  0.1518226E+07  0.1712645E+07  0.1924697E+07  0.2138663E+07  0.2395510E+07  0.2685382E+07  0.3029999E+07  0.3403370E+07  0.3827294E+07  0.4319389E+07  0.4864336E+07  0.5479354E+07  0.6175147E+07  0.6968302E+07  0.7850037E+07  0.8845415E+07  0.9938572E+07  0.1112802E+08  0.1223592E+08  0.1279953E+08  0.1173311E+08  0.1216411E+08  0.1342181E+08  0.1525212E+08  0.1751032E+08  0.2027933E+08
  0.1400000E+05  0.2514458E+06  0.2838404E+06  0.3200680E+06  0.3611482E+06  0.4074589E+06  0.4600114E+06  0.5189142E+06  0.5851040E+06  0.6603212E+06  0.7449375E+06  0.8398693E+06  0.9470203E+06  0.1068795E+07  0.1204431E+07  0.1359735E+07  0.1534256E+07  0.1733695E+07  0.1943646E+07  0.2159658E+07  0.2418740E+07  0.2711273E+07  0.3060073E+07  0.3436939E+07  0.3864108E+07  0.4350336E+07  0.4911578E+07  0.5532613E+07  0.6235530E+07  0.7037438E+07  0.7930528E+07  0.8940042E+07  0.1005860E+08  0.1129514E+08  0.1252182E+08  0.1341715E+08  0.1298267E+08  0.1270191E+08  0.1369978E+08  0.1540252E+08  0.1757445E+08  0.2027546E+08
  0.1410000E+05  0.2542313E+06  0.2869861E+06  0.3236159E+06  0.3651653E+06  0.4119738E+06  0.4651043E+06  0.5246477E+06  0.5912594E+06  0.6669492E+06  0.7527915E+06  0.8490689E+06  0.9569846E+06  0.1080850E+07  0.1217864E+07  0.1374388E+07  0.1551271E+07  0.1752276E+07  0.1964470E+07  0.2182629E+07  0.2444305E+07  0.2739747E+07  0.3090730E+07  0.3471147E+07  0.3902281E+07  0.4393068E+07  0.4958886E+07  0.5585746E+07  0.6295458E+07  0.7105526E+07  0.8008223E+07  0.9022310E+07  0.1016984E+08  0.1144304E+08  0.1273869E+08  0.1388039E+08  0.1448150E+08  0.1353020E+08  0.1410464E+08  0.1562809E+08  0.1768631E+08  0.2030833E+08
  0.1420000E+05  0.2568820E+06  0.2899815E+06  0.3269873E+06  0.3695037E+06  0.4168471E+06  0.4696687E+06  0.5304059E+06  0.5977628E+06  0.6743306E+06  0.7605439E+06  0.8577830E+06  0.9666697E+06  0.1090431E+07  0.1231021E+07  0.1388016E+07  0.1566748E+07  0.1756740E+07  0.1983823E+07  0.2203041E+07  0.2468130E+07  0.2766273E+07  0.3120582E+07  0.3504357E+07  0.3939392E+07  0.4434569E+07  0.5005593E+07  0.5638178E+07  0.6354621E+07  0.7172838E+07  0.8085184E+07  0.9111145E+07  0.1027701E+08  0.1156749E+08  0.1292449E+08  0.1419870E+08  0.1541200E+08  0.1481293E+08  0.1469542E+08  0.1589074E+08  0.1786490E+08  0.2038840E+08
  0.1430000E+05  0.2593256E+06  0.2929290E+06  0.3306024E+06  0.3729986E+06  0.4206020E+06  0.4747919E+06  0.5352993E+06  0.6039257E+06  0.6812609E+06  0.7685838E+06  0.8659206E+06  0.9771521E+06  0.1101847E+07  0.1242750E+07  0.1400482E+07  0.1581118E+07  0.1773378E+07  0.2003082E+07  0.2224435E+07  0.2491864E+07  0.2792668E+07  0.3154549E+07  0.3537400E+07  0.3976320E+07  0.4475862E+07  0.5052053E+07  0.5690264E+07  0.6413293E+07  0.7239253E+07  0.8160827E+07  0.9199464E+07  0.1037811E+08  0.1168766E+08  0.1308064E+08  0.1444139E+08  0.1582899E+08  0.1642774E+08  0.1556568E+08  0.1633644E+08  0.1811748E+08  0.2052272E+08
  0.1440000E+05  0.2619500E+06  0.2958890E+06  0.3339402E+06  0.3767549E+06  0.4251100E+06  0.4795632E+06  0.5405788E+06  0.6099785E+06  0.6879317E+06  0.7752195E+06  0.8753229E+06  0.9859126E+06  0.1113439E+07  0.1254846E+07  0.1414039E+07  0.1596348E+07  0.1791015E+07  0.2022193E+07  0.2247042E+07  0.2515640E+07  0.2818508E+07  0.3164144E+07  0.3570175E+07  0.4013753E+07  0.4516595E+07  0.5097872E+07  0.5742337E+07  0.6471407E+07  0.7296286E+07  0.8235679E+07  0.9286559E+07  0.1047702E+08  0.1180255E+08  0.1323015E+08  0.1464157E+08  0.1619036E+08  0.1752000E+08  0.1685801E+08  0.1696891E+08  0.1842343E+08  0.2072719E+08
  0.1450000E+05  0.2647774E+06  0.2988331E+06  0.3372605E+06  0.3802554E+06  0.4293283E+06  0.4845931E+06  0.5461687E+06  0.6159829E+06  0.6947541E+06  0.7834205E+06  0.8831646E+06  0.9962297E+06  0.1124314E+07  0.1266583E+07  0.1428594E+07  0.1611978E+07  0.1809177E+07  0.2038418E+07  0.2269505E+07  0.2538142E+07  0.2844728E+07  0.3193404E+07  0.3603055E+07  0.4050393E+07  0.4557539E+07  0.5143860E+07  0.5793873E+07  0.6529276E+07  0.7361516E+07  0.8309620E+07  0.9370617E+07  0.1057360E+08  0.1192055E+08  0.1336737E+08  0.1482252E+08  0.1646225E+08  0.1815930E+08  0.1855166E+08  0.1787486E+08  0.1890750E+08  0.2100182E+08
  0.1460000E+05  0.2673719E+06  0.3017616E+06  0.3405587E+06  0.3839730E+06  0.4337886E+06  0.4886112E+06  0.5514711E+06  0.6219576E+06  0.7008624E+06  0.7915677E+06  0.8919596E+06  0.1005795E+07  0.1135079E+07  0.1277943E+07  0.1441771E+07  0.1627560E+07  0.1826149E+07  0.2056895E+07  0.2290599E+07  0.2561616E+07  0.2870842E+07  0.3222544E+07  0.3635656E+07  0.4086887E+07  0.4598329E+07  0.5193636E+07  0.5845180E+07  0.6586845E+07  0.7426229E+07  0.8382826E+07  0.9453639E+07  0.1066064E+08  0.1202097E+08  0.1348932E+08  0.1498265E+08  0.1668836E+08  0.1858008E+08  0.1987004E+08  0.1917304E+08  0.1958644E+08  0.2138786E+08
  0.1470000E+05  0.2699703E+06  0.3046757E+06  0.3435792E+06  0.3876718E+06  0.4379067E+06  0.4936186E+06  0.5568234E+06  0.6277911E+06  0.7075083E+06  0.7983090E+06  0.8999568E+06  0.1015278E+07  0.1144889E+07  0.1289839E+07  0.1455743E+07  0.1640407E+07  0.1841965E+07  0.2078934E+07  0.2311581E+07  0.2585013E+07  0.2896873E+07  0.3251585E+07  0.3667480E+07  0.4123253E+07  0.4638996E+07  0.5224387E+07  0.5896252E+07  0.6644091E+07  0.7490574E+07  0.8455525E+07  0.9535880E+07  0.1075386E+08  0.1212863E+08  0.1362352E+08  0.1513928E+08  0.1688715E+08  0.1876415E+08  0.2064018E+08  0.2090461E+08  0.2051419E+08  0.2186064E+08
  0.1480000E+05  0.2726586E+06  0.3077708E+06  0.3469510E+06  0.3914781E+06  0.4420589E+06  0.4983549E+06  0.5620848E+06  0.6336718E+06  0.7146479E+06  0.8060850E+06  0.9092139E+06  0.1025081E+07  0.1156171E+07  0.1302799E+07  0.1469186E+07  0.1655359E+07  0.1858365E+07  0.2103294E+07  0.2332491E+07  0.2608617E+07  0.2922810E+07  0.3280513E+07  0.3699974E+07  0.4159480E+07  0.4679517E+07  0.5269701E+07  0.5947162E+07  0.6701131E+07  0.7554623E+07  0.8527687E+07  0.9617336E+07  0.1084617E+08  0.1224471E+08  0.1373560E+08  0.1528142E+08  0.1706767E+08  0.1901917E+08  0.2114552E+08  0.2248989E+08  0.2180655E+08  0.2257265E+08
  0.1490000E+05  0.2750637E+06  0.3106545E+06  0.3502025E+06  0.3951444E+06  0.4461993E+06  0.5030178E+06  0.5673486E+06  0.6394278E+06  0.7213496E+06  0.8134395E+06  0.9168917E+06  0.1033833E+07  0.1165417E+07  0.1314727E+07  0.1482918E+07  0.1670255E+07  0.1875519E+07  0.2086397E+07  0.2353248E+07  0.2632681E+07  0.2948810E+07  0.3308600E+07  0.3733166E+07  0.4195579E+07  0.4720538E+07  0.5314531E+07  0.5997510E+07  0.6758213E+07  0.7618266E+07  0.8599380E+07  0.9698449E+07  0.1093764E+08  0.1233787E+08  0.1386533E+08  0.1542102E+08  0.1724339E+08  0.1924303E+08  0.2151739E+08  0.2345814E+08  0.2353612E+08  0.2351705E+08
  0.1500000E+05  0.2776296E+06  0.3135232E+06  0.3534424E+06  0.3987999E+06  0.4503197E+06  0.5080087E+06  0.5729281E+06  0.6455561E+06  0.7279490E+06  0.8209212E+06  0.9251793E+06  0.1043034E+07  0.1176588E+07  0.1327402E+07  0.1496732E+07  0.1686442E+07  0.1891639E+07  0.2103285E+07  0.2370955E+07  0.2657268E+07  0.2973735E+07  0.3337684E+07  0.3755687E+07  0.4231619E+07  0.4760809E+07  0.5359587E+07  0.6048054E+07  0.6814841E+07  0.7681777E+07  0.8673054E+07  0.9778906E+07  0.1103444E+08  0.1244074E+08  0.1397528E+08  0.1555717E+08  0.1740863E+08  0.1944681E+08  0.2184663E+08  0.2407363E+08  0.2536850E+08  0.2480655E+08
  0.1510000E+05  0.2802645E+06  0.3163772E+06  0.3566690E+06  0.4025628E+06  0.4544189E+06  0.5126167E+06  0.5776333E+06  0.6514082E+06  0.7345149E+06  0.8278027E+06  0.9342296E+06  0.1052519E+07  0.1186110E+07  0.1337510E+07  0.1507724E+07  0.1701329E+07  0.1910316E+07  0.2122956E+07  0.2393961E+07  0.2680392E+07  0.3000379E+07  0.3366356E+07  0.3783146E+07  0.4267486E+07  0.4800985E+07  0.5404515E+07  0.6098468E+07  0.6871324E+07  0.7745073E+07  0.8734074E+07  0.9858975E+07  0.1112501E+08  0.1255243E+08  0.1410089E+08  0.1567994E+08  0.1756418E+08  0.1963706E+08  0.2195372E+08  0.2451464E+08  0.2661976E+08  0.2649617E+08
  0.1520000E+05  0.2825567E+06  0.3189579E+06  0.3599904E+06  0.4060345E+06  0.4584989E+06  0.5171982E+06  0.5828179E+06  0.6572422E+06  0.7405235E+06  0.8351130E+06  0.9421127E+06  0.1062207E+07  0.1197571E+07  0.1350101E+07  0.1522139E+07  0.1716067E+07  0.1924675E+07  0.2139659E+07  0.2412410E+07  0.2703412E+07  0.3026262E+07  0.3394968E+07  0.3815098E+07  0.4302633E+07  0.4841055E+07  0.5449357E+07  0.6148724E+07  0.6927637E+07  0.7808188E+07  0.8804894E+07  0.9938745E+07  0.1121090E+08  0.1265387E+08  0.1421616E+08  0.1581107E+08  0.1771140E+08  0.1981760E+08  0.2218431E+08  0.2486799E+08  0.2740023E+08  0.2850356E+08
  0.1530000E+05  0.2850655E+06  0.3217912E+06  0.3631870E+06  0.4096274E+06  0.4622782E+06  0.5212030E+06  0.5883973E+06  0.6634842E+06  0.7478103E+06  0.8424317E+06  0.9511160E+06  0.1071571E+07  0.1208697E+07  0.1362439E+07  0.1535515E+07  0.1730339E+07  0.1941150E+07  0.2157880E+07  0.2432990E+07  0.2725759E+07  0.3051819E+07  0.3423639E+07  0.3846807E+07  0.4338454E+07  0.4881034E+07  0.5494108E+07  0.6189118E+07  0.6983839E+07  0.7871179E+07  0.8875551E+07  0.1001811E+08  0.1130046E+08  0.1275476E+08  0.1433042E+08  0.1594949E+08  0.1785822E+08  0.1999285E+08  0.2239862E+08  0.2516732E+08  0.2794300E+08  0.3012291E+08
  0.1540000E+05  0.2877265E+06  0.3248089E+06  0.3662637E+06  0.4132022E+06  0.4663311E+06  0.5257574E+06  0.5935229E+06  0.6686131E+06  0.7544124E+06  0.8501375E+06  0.9578900E+06  0.1079950E+07  0.1219172E+07  0.1373392E+07  0.1547739E+07  0.1745046E+07  0.1958276E+07  0.2176850E+07  0.2457480E+07  0.2747486E+07  0.3076188E+07  0.3453324E+07  0.3878156E+07  0.4375631E+07  0.4920206E+07  0.5539315E+07  0.6238791E+07  0.7039644E+07  0.7934272E+07  0.8945916E+07  0.1009736E+08  0.1138957E+08  0.1284937E+08  0.1443316E+08  0.1607725E+08  0.1800409E+08  0.2016691E+08  0.2260251E+08  0.2543406E+08  0.2836270E+08  0.3114939E+08
  0.1550000E+05  0.2902116E+06  0.3276346E+06  0.3694273E+06  0.4167852E+06  0.4705278E+06  0.5302952E+06  0.5980926E+06  0.6747969E+06  0.7606062E+06  0.8570268E+06  0.9667499E+06  0.1089933E+07  0.1228844E+07  0.1384615E+07  0.1562346E+07  0.1759552E+07  0.1975156E+07  0.2195455E+07  0.2481830E+07  0.2769230E+07  0.3103647E+07  0.3480871E+07  0.3911413E+07  0.4411318E+07  0.4960064E+07  0.5583911E+07  0.6288686E+07  0.7095647E+07  0.7997016E+07  0.9016270E+07  0.1017650E+08  0.1147846E+08  0.1295102E+08  0.1454568E+08  0.1619441E+08  0.1813856E+08  0.2032803E+08  0.2279828E+08  0.2570692E+08  0.2871441E+08  0.3183993E+08
  0.1560000E+05  0.2926884E+06  0.3301451E+06  0.3725872E+06  0.4205055E+06  0.4741725E+06  0.5348180E+06  0.6031921E+06  0.6803016E+06  0.7670476E+06  0.8643064E+06  0.9749841E+06  0.1098544E+07  0.1238042E+07  0.1396873E+07  0.1574841E+07  0.1773580E+07  0.1991781E+07  0.2215058E+07  0.2477603E+07  0.2791966E+07  0.3129011E+07  0.3508086E+07  0.3943157E+07  0.4446891E+07  0.4999869E+07  0.5628443E+07  0.6338542E+07  0.7151615E+07  0.8059707E+07  0.9086560E+07  0.1025748E+08  0.1156708E+08  0.1298394E+08  0.1465783E+08  0.1632105E+08  0.1829060E+08  0.2049011E+08  0.2298833E+08  0.2580501E+08  0.2902479E+08  0.3235609E+08
  0.1570000E+05  0.2951561E+06  0.3329337E+06  0.3757364E+06  0.4240577E+06  0.4781746E+06  0.5393238E+06  0.6082717E+06  0.6860053E+06  0.7734586E+06  0.8716220E+06  0.9826259E+06  0.1107381E+07  0.1249244E+07  0.1408807E+07  0.1587529E+07  0.1789401E+07  0.2007639E+07  0.2231117E+07  0.2498022E+07  0.2814680E+07  0.3153169E+07  0.3536436E+07  0.3974577E+07  0.4475113E+07  0.5039661E+07  0.5672922E+07  0.6388365E+07  0.7207541E+07  0.8122304E+07  0.9156728E+07  0.1032669E+08  0.1165563E+08  0.1308336E+08  0.1476970E+08  0.1644586E+08  0.1843206E+08  0.2065647E+08  0.2317438E+08  0.2602633E+08  0.2930812E+08  0.3277598E+08
  0.1580000E+05  0.2975307E+06  0.3357181E+06  0.3788757E+06  0.4274241E+06  0.4821682E+06  0.5438255E+06  0.6131748E+06  0.6912478E+06  0.7796443E+06  0.8795202E+06  0.9907177E+06  0.1117147E+07  0.1259872E+07  0.1419739E+07  0.1601058E+07  0.1804184E+07  0.2024737E+07  0.2249203E+07  0.2517522E+07  0.2837376E+07  0.3180010E+07  0.3564769E+07  0.4005198E+07  0.4504369E+07  0.5079428E+07  0.5717362E+07  0.6438141E+07  0.7263447E+07  0.8184609E+07  0.9227078E+07  0.1040527E+08  0.1174395E+08  0.1318227E+08  0.1489006E+08  0.1657093E+08  0.1856701E+08  0.2081507E+08  0.2335830E+08  0.2624102E+08  0.2957384E+08  0.3313951E+08
  0.1590000E+05  0.2999804E+06  0.3386095E+06  0.3819667E+06  0.4309923E+06  0.4861485E+06  0.5483411E+06  0.6182117E+06  0.6973887E+06  0.7859104E+06  0.8868524E+06  0.9988165E+06  0.1127102E+07  0.1269706E+07  0.1431261E+07  0.1614004E+07  0.1817646E+07  0.2041421E+07  0.2268027E+07  0.2538017E+07  0.2860061E+07  0.3203971E+07  0.3593191E+07  0.4037507E+07  0.4539111E+07  0.5119278E+07  0.5761159E+07  0.6488344E+07  0.7321213E+07  0.8247169E+07  0.9297196E+07  0.1048389E+08  0.1183231E+08  0.1328140E+08  0.1500228E+08  0.1670568E+08  0.1870714E+08  0.2096805E+08  0.2353970E+08  0.2645098E+08  0.2982666E+08  0.3346928E+08
