#Table Version   5                                                                                                                                                                                                                                              
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0          | VALID RANGE: 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381 381              
#Teff(K)| Pgas@  log g = 5.50   log g = 5.60   log g = 5.70   log g = 5.80   log g = 5.90   log g = 6.00   log g = 6.10   log g = 6.20   log g = 6.30   log g = 6.40   log g = 6.50   log g = 6.60   log g = 6.70   log g = 6.80   log g = 6.90   log g = 7.00   log g = 7.10   log g = 7.20   log g = 7.30   log g = 7.40   log g = 7.50   log g = 7.60   log g = 7.70   log g = 7.80   log g = 7.90   log g = 8.00   log g = 8.10   log g = 8.20   log g = 8.30   log g = 8.40   log g = 8.50   log g = 8.60   log g = 8.70   log g = 8.80   log g = 8.90   log g = 9.00   log g = 9.10   log g = 9.20   log g = 9.30   log g = 9.40   log g = 9.50 
  0.3000000E+04  0.2925685E+09  0.3367638E+09  0.3880526E+09  0.4457150E+09  0.5142424E+09  0.5910856E+09  0.6791234E+09  0.7816522E+09  0.8925583E+09  0.1029882E+10  0.1185827E+10  0.1358092E+10  0.1554442E+10  0.1791486E+10  0.2051166E+10  0.2349878E+10  0.2712125E+10  0.3094238E+10  0.3555276E+10  0.4058817E+10  0.4655231E+10  0.5316645E+10  0.6042704E+10  0.6870463E+10  0.7894731E+10  0.9042535E+10  0.1030896E+11  0.1176508E+11  0.1337428E+11  0.1520187E+11  0.1729632E+11  0.1962687E+11  0.2223386E+11  0.2508526E+11  0.2842013E+11  0.3205347E+11  0.3602257E+11  0.4044615E+11  0.4545199E+11  0.5104326E+11  0.5700361E+11
  0.3100000E+04  0.2476702E+09  0.2867208E+09  0.3303233E+09  0.3804664E+09  0.4366294E+09  0.5039615E+09  0.5785731E+09  0.6659915E+09  0.7668083E+09  0.8811200E+09  0.1014751E+10  0.1164636E+10  0.1343810E+10  0.1538369E+10  0.1766614E+10  0.2035667E+10  0.2335137E+10  0.2675688E+10  0.3079356E+10  0.3524130E+10  0.4034646E+10  0.4608063E+10  0.5299559E+10  0.6057260E+10  0.6963906E+10  0.7893357E+10  0.9033759E+10  0.1034928E+11  0.1179060E+11  0.1341027E+11  0.1528677E+11  0.1737914E+11  0.1971291E+11  0.2237395E+11  0.2536493E+11  0.2865427E+11  0.3221591E+11  0.3636023E+11  0.4076238E+11  0.4569092E+11  0.5121844E+11
  0.3200000E+04  0.2111198E+09  0.2425362E+09  0.2787791E+09  0.3218597E+09  0.3721432E+09  0.4297974E+09  0.4949268E+09  0.5683133E+09  0.6547836E+09  0.7526256E+09  0.8652780E+09  0.1000959E+10  0.1144919E+10  0.1313298E+10  0.1581093E+10  0.1751689E+10  0.2000991E+10  0.2303472E+10  0.2643655E+10  0.3034494E+10  0.3485692E+10  0.3981997E+10  0.4575283E+10  0.5243428E+10  0.6008935E+10  0.6838802E+10  0.7882488E+10  0.8980742E+10  0.1027211E+11  0.1173181E+11  0.1341983E+11  0.1528157E+11  0.1735840E+11  0.1977478E+11  0.2241330E+11  0.2540016E+11  0.2869020E+11  0.3238543E+11  0.3637710E+11  0.4094561E+11  0.4587442E+11
  0.3300000E+04  0.1786345E+09  0.2064819E+09  0.2370011E+09  0.2743511E+09  0.3165635E+09  0.3618645E+09  0.4197297E+09  0.4830552E+09  0.5572115E+09  0.6435269E+09  0.7381402E+09  0.8483632E+09  0.9743610E+09  0.1122795E+10  0.1292816E+10  0.1489429E+10  0.1714468E+10  0.1968533E+10  0.2271866E+10  0.2607653E+10  0.2988643E+10  0.3448597E+10  0.3970748E+10  0.4524145E+10  0.5186440E+10  0.5962916E+10  0.6830703E+10  0.7825460E+10  0.8999406E+10  0.1017695E+11  0.1168578E+11  0.1330450E+11  0.1522375E+11  0.1733951E+11  0.1971464E+11  0.2241707E+11  0.2538932E+11  0.2864172E+11  0.3232541E+11  0.3641605E+11  0.4092801E+11
  0.3400000E+04  0.1483682E+09  0.1718371E+09  0.1986103E+09  0.2294458E+09  0.2660289E+09  0.3060134E+09  0.3542964E+09  0.4070829E+09  0.4670759E+09  0.5404466E+09  0.6234358E+09  0.7214166E+09  0.8300989E+09  0.9528608E+09  0.1097612E+10  0.1266435E+10  0.1222459E+10  0.1695239E+10  0.1923614E+10  0.2207175E+10  0.2560229E+10  0.2935998E+10  0.3386025E+10  0.3894322E+10  0.4433758E+10  0.5140779E+10  0.5877400E+10  0.6749474E+10  0.7720056E+10  0.8844754E+10  0.1013774E+11  0.1160722E+11  0.1323733E+11  0.1511876E+11  0.1727471E+11  0.1960349E+11  0.2236299E+11  0.2543015E+11  0.2861321E+11  0.3238426E+11  0.3647100E+11
  0.3500000E+04  0.1223183E+09  0.1411267E+09  0.1641627E+09  0.1897429E+09  0.2195460E+09  0.2545313E+09  0.2950149E+09  0.3398332E+09  0.3909352E+09  0.4533080E+09  0.5222346E+09  0.6011869E+09  0.6961171E+09  0.8018406E+09  0.9280651E+09  0.1068227E+10  0.1236067E+10  0.1428024E+10  0.1636837E+10  0.1888178E+10  0.2175078E+10  0.2503289E+10  0.2877914E+10  0.3323780E+10  0.3813836E+10  0.4387737E+10  0.5031764E+10  0.5790135E+10  0.6652120E+10  0.7620687E+10  0.8753815E+10  0.1004695E+11  0.1147347E+11  0.1317108E+11  0.1502212E+11  0.1712382E+11  0.1951215E+11  0.2222646E+11  0.2522326E+11  0.2858215E+11  0.3227089E+11
  0.3600000E+04  0.9925039E+08  0.1154722E+09  0.1342534E+09  0.1558372E+09  0.1810277E+09  0.2099541E+09  0.2412652E+09  0.2798310E+09  0.3240179E+09  0.3744495E+09  0.4342267E+09  0.5023695E+09  0.5809913E+09  0.6717806E+09  0.7775608E+09  0.8994009E+09  0.1029838E+10  0.1193876E+10  0.5158937E+10  0.1575210E+10  0.1832812E+10  0.2110940E+10  0.2442860E+10  0.2821418E+10  0.3250343E+10  0.3740015E+10  0.4300372E+10  0.4934911E+10  0.5679156E+10  0.6532100E+10  0.7501144E+10  0.8612077E+10  0.9897998E+10  0.1135781E+11  0.1297136E+11  0.1477230E+11  0.1698581E+11  0.1933631E+11  0.2208184E+11  0.2508898E+11  0.2841473E+11
  0.3700000E+04  0.7860834E+08  0.9139711E+08  0.1068659E+09  0.1251345E+09  0.1446413E+09  0.1681311E+09  0.1919371E+09  0.2265956E+09  0.2612046E+09  0.3040511E+09  0.3526668E+09  0.4055742E+09  0.4730064E+09  0.4881510E+09  0.6360918E+09  0.7328916E+09  0.8545447E+09  0.9761711E+09  0.1143678E+10  0.1314116E+10  0.1528160E+10  0.1762122E+10  0.2042447E+10  0.2375734E+10  0.2739073E+10  0.3165780E+10  0.3625911E+10  0.4204593E+10  0.4850479E+10  0.5572504E+10  0.6407637E+10  0.7371687E+10  0.8455123E+10  0.9782896E+10  0.1124679E+11  0.1290982E+11  0.1471631E+11  0.1682836E+11  0.1919876E+11  0.2192568E+11  0.2494081E+11
  0.3800000E+04  0.6287149E+08  0.7353289E+08  0.8570951E+08  0.9953525E+08  0.1162331E+09  0.1340379E+09  0.1566204E+09  0.1830951E+09  0.2126018E+09  0.2444280E+09  0.2856087E+09  0.3276467E+09  0.3796219E+09  0.4477571E+09  0.5199090E+09  0.6064152E+09  0.6946956E+09  0.8128283E+09  0.9388802E+09  0.1097030E+10  0.1274148E+10  0.1459450E+10  0.1629624E+10  0.1941480E+10  0.2289164E+10  0.2660243E+10  0.3080567E+10  0.3532040E+10  0.4092072E+10  0.4729850E+10  0.5448403E+10  0.6267782E+10  0.7215970E+10  0.8359031E+10  0.9607889E+10  0.1104386E+11  0.1269165E+11  0.1450033E+11  0.1662074E+11  0.1902159E+11  0.2171605E+11
  0.3900000E+04  0.5065206E+08  0.5906667E+08  0.6844386E+08  0.8022810E+08  0.9356719E+08  0.1088467E+09  0.1266532E+09  0.1475290E+09  0.1703401E+09  0.2003149E+09  0.2302563E+09  0.2681997E+09  0.3152027E+09  0.3649184E+09  0.4262107E+09  0.4906833E+09  0.5711368E+09  0.6650677E+09  0.7792258E+09  0.8997490E+09  0.1044430E+10  0.1208768E+10  0.7533899E+09  0.1642232E+10  0.1897146E+10  0.2219595E+10  0.2571266E+10  0.2975353E+10  0.3449332E+10  0.3977043E+10  0.4604447E+10  0.5326022E+10  0.6124503E+10  0.7089803E+10  0.8144139E+10  0.9435098E+10  0.1085879E+11  0.1247351E+11  0.1433128E+11  0.1634357E+11  0.1878496E+11
