#Table Version   5
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0 GN93     | VALID RANGE:  110 110 110 110 110 110 110 110 110 110 110 110 110
#Teff(K)| Pgas@  log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50   log g = 6.00 
  0.2400000E+04  0.1782375E+04  0.3014457E+04  0.5367993E+04  0.8847609E+04  0.1306550E+05  0.1727373E+05  0.4740110E+05  0.1372142E+06  0.4057931E+06  0.1174280E+07  0.3393378E+07  0.9896381E+07  0.2875505E+08
  0.2500000E+04  0.1844320E+04  0.3035332E+04  0.5312902E+04  0.8687784E+04  0.1278642E+05  0.1683476E+05  0.4340927E+05  0.1208219E+06  0.3499625E+06  0.1005612E+07  0.2863744E+07  0.8241844E+07  0.2391180E+08
  0.2600000E+04  0.1985637E+04  0.3174597E+04  0.5453288E+04  0.8848222E+04  0.1302809E+05  0.1730402E+05  0.4102036E+05  0.1077924E+06  0.3042541E+06  0.8587446E+06  0.2415668E+07  0.6843402E+07  0.1969572E+08
  0.2700000E+04  0.2192041E+04  0.3407508E+04  0.5741851E+04  0.9241842E+04  0.1363168E+05  0.1833039E+05  0.4043309E+05  0.1010263E+06  0.2704902E+06  0.7331479E+06  0.2034836E+07  0.5686897E+07  0.1629117E+08
  0.2800000E+04  0.2432329E+04  0.3689329E+04  0.6104193E+04  0.9739349E+04  0.1437237E+05  0.1955425E+05  0.4044098E+05  0.9381971E+05  0.2388874E+06  0.6246998E+06  0.1706537E+07  0.4700389E+07  0.1321235E+08
  0.2900000E+04  0.2665600E+04  0.3967003E+04  0.6459921E+04  0.1020670E+05  0.1499705E+05  0.2037869E+05  0.4111345E+05  0.8963190E+05  0.2143055E+06  0.5365980E+06  0.1433451E+07  0.3884747E+07  0.1078031E+08
  0.3000000E+04  0.2854131E+04  0.4194440E+04  0.6747716E+04  0.1056804E+05  0.1544725E+05  0.2093497E+05  0.4170982E+05  0.8745224E+05  0.1964472E+06  0.4680137E+06  0.1211903E+07  0.3221424E+07  0.8792095E+07
  0.3100000E+04  0.2967868E+04  0.4330785E+04  0.6912695E+04  0.1076226E+05  0.1568055E+05  0.2121359E+05  0.4148353E+05  0.8604800E+05  0.1844703E+06  0.4257247E+06  0.1051790E+07  0.2706140E+07  0.7219616E+07
  0.3200000E+04  0.2963198E+04  0.4310794E+04  0.6865578E+04  0.1069333E+05  0.1564582E+05  0.2132037E+05  0.4132231E+05  0.8445389E+05  0.1760283E+06  0.3870884E+06  0.9144545E+06  0.2282931E+07  0.5950397E+07
  0.3300000E+04  0.2735556E+04  0.3995992E+04  0.6423516E+04  0.1015267E+05  0.1516227E+05  0.2108817E+05  0.4149789E+05  0.8226172E+05  0.1689666E+06  0.3596691E+06  0.8130667E+06  0.1958639E+07  0.4961257E+07
