#Table Version   5 
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0          | VALID RANGE:  176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 
#Teff(K)| Pgas@  log g = 6.00   log g = 6.20   log g = 6.40   log g = 6.60   log g = 6.80   log g = 7.00   log g = 7.20   log g = 7.40   log g = 7.60   log g = 7.80   log g = 8.00   log g = 8.20   log g = 8.40   log g = 8.60   log g = 8.80   log g = 9.00   log g = 9.20   log g = 9.40 
  1.9800000E+04  1.7692940E+06  2.2740500E+06  2.9518888E+06  3.8256039E+06  4.9068186E+06  6.0339263E+06  6.7889092E+06  9.2597657E+06  1.3137115E+07  1.9028300E+07  2.7944735E+07  4.1323776E+07  6.1347942E+07  9.1033240E+07  1.3464803E+08  1.9828963E+08  2.9013492E+08  4.2150235E+08
  2.0000000E+04  1.7709243E+06  2.2756214E+06  2.9586937E+06  3.8450324E+06  4.9624941E+06  6.3081208E+06  7.1268891E+06  9.0865705E+06  1.2682358E+07  1.8188630E+07  2.6515511E+07  3.9021144E+07  5.7769685E+07  8.5644603E+07  1.2670682E+08  1.8680995E+08  2.7377892E+08  3.9838227E+08
  2.0200000E+04  1.7721480E+06  2.2761454E+06  2.9593750E+06  3.8530088E+06  4.9980431E+06  6.4253975E+06  8.0112448E+06  9.0011915E+06  1.2328209E+07  1.7478333E+07  2.5275514E+07  3.6999853E+07  5.4588354E+07  8.0797886E+07  1.1948132E+08  1.7619760E+08  2.5852348E+08  3.7687732E+08
  2.0400000E+04  1.7697014E+06  2.2667311E+06  2.9484923E+06  3.8423772E+06  4.9957420E+06  6.4669574E+06  8.2756097E+06  9.4601931E+06  1.2050359E+07  1.6884959E+07  2.4199144E+07  3.5204647E+07  5.1736852E+07  7.6383578E+07  1.1284959E+08  1.6641789E+08  2.4445561E+08  3.5677959E+08
  2.0600000E+04  1.7672582E+06  2.2583955E+06  2.9376497E+06  3.8335400E+06  4.9922922E+06  6.4803729E+06  8.3637299E+06  1.0468875E+07  1.1895974E+07  1.6371935E+07  2.3254125E+07  3.3612437E+07  4.9158656E+07  7.2343581E+07  1.0673332E+08  1.5739829E+08  2.3120648E+08  3.3790919E+08
  2.0800000E+04  1.7656312E+06  2.2506087E+06  2.9281950E+06  3.8238425E+06  4.9876963E+06  6.4893321E+06  8.4081413E+06  1.0791952E+07  1.2453746E+07  1.5922087E+07  2.2418162E+07  3.2188445E+07  4.6827395E+07  6.8691025E+07  1.0115795E+08  1.4903902E+08  2.1902818E+08  3.2018428E+08
  2.1000000E+04  1.7631936E+06  2.2433653E+06  2.9180989E+06  3.8141696E+06  4.9842521E+06  6.4968075E+06  8.4391751E+06  1.0901845E+07  1.3686739E+07  1.5725338E+07  2.1662072E+07  3.0902954E+07  4.4719815E+07  6.5343140E+07  9.6028468E+07  1.4128628E+08  2.0763473E+08  3.0373861E+08
  2.1200000E+04  1.7623818E+06  2.2366601E+06  2.9100470E+06  3.8062736E+06  4.9739338E+06  6.4863443E+06  8.4450067E+06  1.0979941E+07  1.4066952E+07  1.6338042E+07  2.1003903E+07  2.9723504E+07  4.2785834E+07  6.2287371E+07  9.1306144E+07  1.3412199E+08  1.9701532E+08  2.8833675E+08
  2.1400000E+04  1.7599487E+06  2.2294616E+06  2.8960096E+06  3.7835546E+06  4.9488011E+06  6.4639799E+06  8.4314060E+06  1.0977413E+07  1.4249512E+07  1.7758243E+07  2.0792179E+07  2.8648375E+07  4.1029857E+07  5.9470282E+07  8.6936069E+07  1.2749701E+08  1.8715438E+08  2.7390503E+08
  2.1600000E+04  1.7559009E+06  2.2181964E+06  2.8787238E+06  3.7627035E+06  4.9249293E+06  6.4431761E+06  8.4158890E+06  1.0972359E+07  1.4282361E+07  1.8348476E+07  2.1394395E+07  2.7784335E+07  3.9382202E+07  5.6885293E+07  8.2908680E+07  1.2136683E+08  1.7795082E+08  2.6043539E+08
  2.1800000E+04  1.7514591E+06  2.2074964E+06  2.8635185E+06  3.7436910E+06  4.9045594E+06  6.4209605E+06  8.4023351E+06  1.0972359E+07  1.4305400E+07  1.8560941E+07  2.2940348E+07  2.7548630E+07  3.7905305E+07  5.4475346E+07  7.9177175E+07  1.1566448E+08  1.6943378E+08  2.4785632E+08
  2.2000000E+04  1.7482358E+06  2.1978599E+06  2.8503619E+06  3.7264903E+06  4.8842738E+06  6.4047178E+06  8.3868717E+06  1.0969833E+07  1.4331776E+07  1.8663797E+07  2.3878113E+07  2.8060797E+07  3.6906257E+07  5.2287756E+07  7.5700718E+07  1.1038244E+08  1.6147303E+08  2.3610218E+08
  2.2200000E+04  1.7454202E+06  2.1892734E+06  2.8379190E+06  3.7102229E+06  4.8651922E+06  6.3855749E+06  8.3675824E+06  1.0952166E+07  1.4328476E+07  1.8728371E+07  2.4221442E+07  2.9396796E+07  3.6601594E+07  5.0477751E+07  7.2510350E+07  1.0546297E+08  1.5406359E+08  2.2511270E+08
  2.2400000E+04  1.7422080E+06  2.1802184E+06  2.8261812E+06  3.6957280E+06  4.8428387E+06  6.3533093E+06  8.3329735E+06  1.0921945E+07  1.4308694E+07  1.8732684E+07  2.4434306E+07  3.0881615E+07  3.6957280E+07  4.9317380E+07  6.9742900E+07  1.0092529E+08  1.4719735E+08  2.1488198E+08
  2.2600000E+04  1.7394021E+06  2.1697016E+06  2.8112534E+06  3.6728230E+06  4.8161499E+06  6.3212068E+06  8.3004187E+06  1.0894317E+07  1.4288940E+07  1.8741312E+07  2.4513200E+07  3.1593664E+07  3.8027695E+07  4.8842738E+07  6.7639439E+07  9.6961651E+07  1.4079914E+08  2.0535250E+08
  2.2800000E+04  1.7358013E+06  2.1587383E+06  2.7938302E+06  3.6525822E+06  4.7896083E+06  6.2921635E+06  8.2717995E+06  1.0866758E+07  1.4272498E+07  1.8741312E+07  2.4569708E+07  3.1966862E+07  3.9627803E+07  4.9011726E+07  6.6267410E+07  9.3713034E+07  1.3523839E+08  1.9665274E+08
  2.3000000E+04  1.7318090E+06  2.1488198E+06  2.7784335E+06  3.6324530E+06  4.7676021E+06  6.2661386E+06  8.2432790E+06  1.0836774E+07  1.4236394E+07  1.8715438E+07  2.4575366E+07  3.2158812E+07  4.0926066E+07  4.9750792E+07  6.5554121E+07  9.1264105E+07  1.3052689E+08  1.8888610E+08
  2.3200000E+04  1.7290199E+06  2.1394395E+06  2.7637579E+06  3.6149309E+06  4.7456969E+06  6.2359123E+06  8.2016267E+06  1.0791952E+07  1.4200381E+07  1.8689600E+07  2.4581026E+07  3.2262647E+07  4.1754184E+07  5.1062256E+07  6.5388293E+07  8.9515862E+07  1.2667765E+08  1.8243157E+08
  2.3400000E+04  1.7254405E+06  2.1301000E+06  2.7472615E+06  3.5925267E+06  4.7173706E+06  6.2001186E+06  8.1620641E+06  1.0752266E+07  1.4164459E+07  1.8668095E+07  2.4586686E+07  3.2337020E+07  4.2169650E+07  5.2650197E+07  6.5750642E+07  8.8389362E+07  1.2368015E+08  1.7688866E+08
  2.3600000E+04  1.7222651E+06  2.1198250E+06  2.7302348E+06  3.5702613E+06  4.6902933E+06  6.1687902E+06  8.1283052E+06  1.0717661E+07  1.4131882E+07  1.8646615E+07  2.4575366E+07  3.2374271E+07  4.2422865E+07  5.3975913E+07  6.6603952E+07  8.7821328E+07  1.2136683E+08  1.7218686E+08
  2.3800000E+04  1.7190955E+06  2.1095994E+06  2.7139385E+06  3.5489510E+06  4.6644453E+06  6.1404472E+06  8.0946859E+06  1.0680707E+07  1.4092888E+07  1.8603729E+07  2.4535787E+07  3.2351916E+07  4.2550043E+07  5.4992061E+07  6.7904726E+07  8.7700082E+07  1.1961895E+08  1.6830616E+08
  2.4000000E+04  1.7194914E+06  2.0994232E+06  2.6977394E+06  3.5293928E+06  4.6408764E+06  6.1122344E+06  8.0574942E+06  1.0634082E+07  1.4041063E+07  1.8556668E+07  2.4496272E+07  3.2329575E+07  4.2579445E+07  5.5667280E+07  6.9422460E+07  8.7983250E+07  1.1841317E+08  1.6508211E+08
  2.4200000E+04  1.7198873E+06  2.0902585E+06  2.6828723E+06  3.5091344E+06  4.6142381E+06  6.0785501E+06  8.0167806E+06  1.0590099E+07  1.3999096E+07  1.8509726E+07  2.4456821E+07  3.2307251E+07  4.2599058E+07  5.5924228E+07  7.0925107E+07  8.8613522E+07  1.1765219E+08  1.6248003E+08
  2.4400000E+04  1.7198873E+06  2.0825719E+06  2.6656308E+06  3.4849777E+06  4.5856405E+06  6.0436597E+06  7.9817845E+06  1.0551155E+07  1.3954041E+07  1.8467155E+07  2.4423056E+07  3.2277508E+07  4.2618681E+07  5.6066055E+07  7.2360240E+07  8.9763546E+07  1.1724653E+08  1.6039839E+08
  2.4600000E+04  1.7254405E+06  2.0773037E+06  2.6521617E+06  3.4665702E+06  4.5624698E+06  6.0172769E+06  7.9487713E+06  1.0514775E+07  1.3912334E+07  1.8411959E+07  2.4366884E+07  3.2210688E+07  4.2520660E+07  5.6040242E+07  7.3333093E+07  9.1369237E+07  1.1708466E+08  1.5867189E+08
  2.4800000E+04  1.7334048E+06  2.0720489E+06  2.6405841E+06  3.4498483E+06  4.5415071E+06  5.9923890E+06  7.9177175E+06  1.0473697E+07  1.3861174E+07  1.8356928E+07  2.4305245E+07  3.2129207E+07  4.2422865E+07  5.5937107E+07  7.3722491E+07  9.3110788E+07  1.1743566E+08  1.5732582E+08
  2.5000000E+04  1.7418069E+06  2.0725261E+06  2.6302680E+06  3.4332071E+06  4.5206408E+06  5.9634832E+06  7.8795243E+06  1.0437584E+07  1.3819744E+07  1.8306276E+07  2.4232599E+07  3.2047931E+07  4.2335042E+07  5.5834162E+07  7.3637663E+07  9.4994837E+07  1.1852228E+08  1.5620682E+08
  2.5200000E+04  1.7522659E+06  2.0658558E+06  2.6163751E+06  3.4150731E+06  4.4946927E+06  5.9306187E+06  7.8433212E+06  1.0382454E+07  1.3765754E+07  1.8247358E+07  2.4165735E+07  3.1974223E+07  4.2247401E+07  5.5731406E+07  7.3485220E+07  9.6382902E+07  1.2011576E+08  1.5556074E+08
  2.5400000E+04  1.7745981E+06  2.0763473E+06  2.6049536E+06  3.3954708E+06  4.4699226E+06  5.9006520E+06  7.8108806E+06  1.0349038E+07  1.3721450E+07  1.8192819E+07  2.4087959E+07  3.1878656E+07  4.2140531E+07  5.5590426E+07  7.3349980E+07  9.6961651E+07  1.2212371E+08  1.5566823E+08
  2.5600000E+04  1.7918432E+06  2.0816130E+06  2.6037543E+06  3.3845427E+06  4.4545106E+06  5.8830156E+06  7.7857419E+06  1.0318106E+07  1.3674139E+07  1.8125918E+07  2.4015963E+07  3.1790693E+07  4.2004904E+07  5.5411512E+07  7.3063420E+07  9.6649586E+07  1.2436552E+08  1.5663904E+08
  2.5800000E+04  1.8067581E+06  2.0859313E+06  2.6043539E+06  3.3775361E+06  4.4422194E+06  5.8640815E+06  7.7588972E+06  1.0277796E+07  1.3620718E+07  1.8063421E+07  2.3938669E+07  3.1681082E+07  4.1869715E+07  5.5233174E+07  7.2811504E+07  9.6294171E+07  1.2635720E+08  1.5830696E+08
  2.6000000E+04  1.8205391E+06  2.0941125E+06  2.6043539E+06  3.3720965E+06  4.4289421E+06  5.8438626E+06  7.7285852E+06  1.0235286E+07  1.3570630E+07  1.8001140E+07  2.3861624E+07  3.1571848E+07  4.1734960E+07  5.5068088E+07  7.2610596E+07  9.5807609E+07  1.2737963E+08  1.6047227E+08
  2.6200000E+04  1.8331584E+06  2.1242225E+06  2.6025555E+06  3.3635664E+06  4.4136714E+06  5.8196920E+06  7.6983916E+06  1.0197648E+07  1.3523839E+07  1.7939073E+07  2.3779351E+07  3.1470236E+07  4.1581485E+07  5.4865583E+07  7.2360240E+07  9.5455290E+07  1.2702816E+08  1.6304219E+08
  2.6400000E+04  1.8565216E+06  2.1419040E+06  2.6127629E+06  3.3620177E+06  4.3994663E+06  5.7982909E+06  7.6700819E+06  1.0164827E+07  1.3483418E+07  1.7877221E+07  2.3686451E+07  3.1347290E+07  4.1428575E+07  5.4689002E+07  7.2110748E+07  9.5104266E+07  1.2635720E+08  1.6553888E+08
  2.6600000E+04  1.8745628E+06  2.1577444E+06  2.6230103E+06  3.3566032E+06  4.3903587E+06  5.7849552E+06  7.6524412E+06  1.0134446E+07  1.3433835E+07  1.7807379E+07  2.3599348E+07  3.1239207E+07  4.1295241E+07  5.4475346E+07  7.1829030E+07  9.4689102E+07  1.2557408E+08  1.6707059E+08
  2.6800000E+04  1.8910369E+06  2.1752040E+06  2.6393683E+06  3.3666657E+06  4.3893479E+06  5.7769685E+06  7.6295689E+06  1.0097178E+07  1.3384434E+07  1.7741895E+07  2.3512565E+07  3.1124329E+07  4.1133911E+07  5.4262525E+07  7.1531939E+07  9.4297461E+07  1.2482455E+08  1.6680152E+08
  2.7000000E+04  1.9058995E+06  2.2049564E+06  2.6533834E+06  3.3759810E+06  4.3903587E+06  5.7650091E+06  7.6067650E+06  1.0064681E+07  1.3335214E+07  1.7676652E+07  2.3431495E+07  3.1002734E+07  4.0973211E+07  5.4038091E+07  7.1252482E+07  9.3929065E+07  1.2413664E+08  1.6588228E+08
  2.7200000E+04  1.9191106E+06  2.2371752E+06  2.6656308E+06  3.3923449E+06  4.3893479E+06  5.7530745E+06  7.5857758E+06  1.0032288E+07  1.3289236E+07  1.7615704E+07  2.3339954E+07  3.0874505E+07  4.0794348E+07  5.3826978E+07  7.0957777E+07  9.3562108E+07  1.2350940E+08  1.6485419E+08
  2.7400000E+04  1.9355304E+06  2.2594358E+06  2.6847262E+06  3.4017313E+06  4.3933925E+06  5.7424867E+06  7.5648444E+06  1.0000000E+07  1.3243415E+07  1.7546884E+07  2.3232717E+07  3.0739727E+07  4.0616267E+07  5.3604346E+07  7.0680563E+07  9.3196585E+07  1.2297023E+08  1.6353097E+08
  2.7600000E+04  1.9516413E+06  2.2798171E+06  2.7126890E+06  3.4080032E+06  4.3944042E+06  5.7345587E+06  7.5457081E+06  9.9724071E+06  1.3197753E+07  1.7474309E+07  2.3136625E+07  3.0612585E+07  4.0448275E+07  5.3407223E+07  7.0420645E+07  9.2789749E+07  1.2243343E+08  1.6248003E+08
  2.7800000E+04  1.9669803E+06  2.2998526E+06  2.7390503E+06  3.4268887E+06  4.4014928E+06  5.7345587E+06  7.5335556E+06  9.9426007E+06  1.3149220E+07  1.7406041E+07  2.3040930E+07  3.0485969E+07  4.0299532E+07  5.3198575E+07  7.0113234E+07  9.2384689E+07  1.2184284E+08  1.6151022E+08
  2.8000000E+04  1.9847234E+06  2.3329208E+06  2.7624855E+06  3.4506428E+06  4.4187558E+06  5.7345587E+06  7.5214228E+06  9.9106012E+06  1.3103883E+07  1.7338040E+07  2.2956200E+07  3.0373861E+07  4.0132850E+07  5.2954150E+07  6.9791093E+07  9.2002579E+07  1.2131095E+08  1.6054619E+08
  2.8200000E+04  1.9994014E+06  2.3566767E+06  2.7919009E+06  3.4753616E+06  4.4350651E+06  5.7385213E+06  7.5075805E+06  9.8832550E+06  1.3058702E+07  1.7274282E+07  2.2866516E+07  3.0241268E+07  3.9939259E+07  5.2698712E+07  6.9486430E+07  9.1579865E+07  1.2080920E+08  1.5973497E+08
  2.8400000E+04  2.0160440E+06  2.3790304E+06  2.8119008E+06  3.4954251E+06  4.4534851E+06  5.7424867E+06  7.4954895E+06  9.8559842E+06  1.3013676E+07  1.7210758E+07  2.2766696E+07  3.0102322E+07  3.9764910E+07  5.2468663E+07  6.9183097E+07  9.1201084E+07  1.2028182E+08  1.5892785E+08
  2.8600000E+04  2.0318891E+06  2.4004905E+06  2.8451161E+06  3.5131768E+06  4.4688934E+06  5.7517500E+06  7.4868650E+06  9.8310522E+06  1.2965820E+07  1.7139573E+07  2.2667311E+07  2.9964015E+07  3.9582206E+07  5.2239619E+07  6.8881088E+07  9.0802959E+07  1.1975675E+08  1.5816122E+08
  2.8800000E+04  2.0511622E+06  2.4299649E+06  2.8754115E+06  3.5310186E+06  4.4802268E+06  5.7530745E+06  7.4713658E+06  9.8016683E+06  1.2921115E+07  1.7068682E+07  2.2568360E+07  2.9833211E+07  3.9409416E+07  5.2011574E+07  6.8564608E+07  9.0385757E+07  1.1923397E+08  1.5747079E+08
  2.9000000E+04  2.0658558E+06  2.4535787E+06  2.9066986E+06  3.5686175E+06  4.5029798E+06  5.7570500E+06  7.4662065E+06  9.7791251E+06  1.2876564E+07  1.7002000E+07  2.2475016E+07  2.9709819E+07  3.9228346E+07  5.1760683E+07  6.8249583E+07  8.9991191E+07  1.1871347E+08  1.5678337E+08
  2.9200000E+04  2.0796967E+06  2.4757113E+06  2.9369733E+06  3.5983218E+06  4.5425530E+06  5.7716502E+06  7.4627690E+06  9.7543874E+06  1.2835122E+07  1.6935577E+07  2.2376904E+07  2.9573314E+07  3.9039118E+07  5.1522864E+07  6.7936004E+07  8.9598348E+07  1.1819524E+08  1.5609896E+08
  2.9400000E+04  2.0955595E+06  2.4968934E+06  2.9709819E+06  3.6249331E+06  4.5729873E+06  5.7942870E+06  7.4593331E+06  9.7319529E+06  1.2793813E+07  1.6869414E+07  2.2279221E+07  2.9423884E+07  3.8850803E+07  5.1274331E+07  6.7623867E+07  8.9186681E+07  1.1767928E+08  1.5541753E+08
  2.9600000E+04  2.1183611E+06  2.5298805E+06  3.0019261E+06  3.6483794E+06  4.5983286E+06  5.8384827E+06  7.4576157E+06  9.7095701E+06  1.2746766E+07  1.6799641E+07  2.2171751E+07  2.9288694E+07  3.8672300E+07  5.1050500E+07  6.7313163E+07  8.8776905E+07  1.1713859E+08  1.5470345E+08
  2.9800000E+04  2.1350104E+06  2.5550535E+06  3.0415853E+06  3.6787477E+06  4.6195535E+06  5.8613816E+06  7.4524659E+06  9.6894695E+06  1.2702816E+07  1.6730156E+07  2.2074964E+07  2.9160838E+07  3.8503481E+07  5.0804245E+07  6.7003887E+07  8.8369012E+07  1.1662724E+08  1.5406359E+08
  3.0000000E+04  2.1507999E+06  2.5798829E+06  3.0768052E+06  3.7187758E+06  4.6505038E+06  5.8897926E+06  7.4730863E+06  9.6694105E+06  1.2659017E+07  1.6664796E+07  2.1978599E+07  2.9026856E+07  3.8317750E+07  5.0559177E+07  6.6665325E+07  8.7962993E+07  1.1611812E+08  1.5342637E+08
  3.0200000E+04  2.1667061E+06  2.6031548E+06  3.1145837E+06  3.7575087E+06  4.6967776E+06  5.9197041E+06  7.5110387E+06  9.6516152E+06  1.2618275E+07  1.6599691E+07  2.1882654E+07  2.8880187E+07  3.8124135E+07  5.0292127E+07  6.6343748E+07  8.7558840E+07  1.1558461E+08  1.5275661E+08
  3.0400000E+04  2.1857475E+06  2.6284517E+06  3.1499235E+06  3.7940234E+06  4.7391450E+06  5.9772304E+06  7.5613615E+06  9.6338527E+06  1.2580561E+07  1.6531033E+07  2.1782113E+07  2.8740876E+07  3.7922765E+07  5.0049530E+07  6.6038926E+07  8.7156544E+07  1.1505354E+08  1.5208977E+08
  3.0600000E+04  2.2029265E+06  2.6539944E+06  3.1878656E+06  3.8414926E+06  4.7785925E+06  6.0297596E+06  7.5857758E+06  9.6161228E+06  1.2537184E+07  1.6458869E+07  2.1677041E+07  2.8602237E+07  3.7739835E+07  4.9819573E+07  6.5735504E+07  8.6756096E+07  1.1452492E+08  1.5142584E+08
  3.0800000E+04  2.2192182E+06  2.6791683E+06  3.2210688E+06  3.8868699E+06  4.8361526E+06  6.0757515E+06  7.6207901E+06  9.6405098E+06  1.2496834E+07  1.6390794E+07  2.1577444E+07  2.8470822E+07  3.7557787E+07  4.9579255E+07  6.5403351E+07  8.6337606E+07  1.1402498E+08  1.5079953E+08
  3.1000000E+04  2.2361452E+06  2.7039584E+06  3.2576168E+06  3.9300674E+06  4.8764076E+06  6.1291465E+06  7.7054854E+06  9.6738645E+06  1.2456614E+07  1.6326760E+07  2.1478305E+07  2.8340010E+07  3.7376618E+07  4.9317380E+07  6.5072876E+07  8.5901352E+07  1.1350108E+08  1.5014124E+08
  3.1200000E+04  2.2552776E+06  2.7352687E+06  3.2953383E+06  3.9700868E+06  4.9249293E+06  6.1972640E+06  7.8090823E+06  9.7341941E+06  1.2419382E+07  1.6262975E+07  2.1384544E+07  2.8196811E+07  3.7170637E+07  4.9068186E+07  6.4758980E+07  8.5506671E+07  1.1297959E+08  1.4948582E+08
  3.1400000E+04  2.2730030E+06  2.7612136E+06  3.3427200E+06  4.0188334E+06  4.9682106E+06  6.2488486E+06  7.8777102E+06  9.7903902E+06  1.2390819E+07  1.6191982E+07  2.1281390E+07  2.8047877E+07  3.6982818E+07  4.8820250E+07  6.4416927E+07  8.5113804E+07  1.1246050E+08  1.4883326E+08
  3.1600000E+04  2.2908677E+06  2.7893307E+06  3.3798700E+06  4.0728649E+06  5.0234259E+06  6.2994118E+06  7.9414535E+06  9.9037575E+06  1.2405092E+07  1.6125010E+07  2.1178734E+07  2.7912581E+07  3.6795948E+07  4.8573567E+07  6.4091436E+07  8.4703236E+07  1.1194379E+08  1.4818355E+08
  3.1800000E+04  2.3099363E+06  2.8157883E+06  3.4182199E+06  4.1257224E+06  5.0757474E+06  6.3459990E+06  7.9965011E+06  1.0006910E+07  1.2422242E+07  1.6062014E+07  2.1081427E+07  2.7771542E+07  3.6618454E+07  4.8339260E+07  6.3767589E+07  8.4275240E+07  1.1140380E+08  1.4753668E+08
  3.2000000E+04  2.3313099E+06  2.8477378E+06  3.4578010E+06  4.1763799E+06  5.1345218E+06  6.4416927E+06  8.0984145E+06  1.0148457E+07  1.2488204E+07  1.5995580E+07  2.0979735E+07  2.7631216E+07  3.6433425E+07  4.8083935E+07  6.3445380E+07  8.3868717E+07  1.1089194E+08  1.4689263E+08
  3.2200000E+04  2.3501739E+06  2.8740876E+06  3.4994517E+06  4.2335042E+06  5.1951728E+06  6.5162839E+06  8.2016267E+06  1.0235286E+07  1.2606659E+07  1.5969819E+07  2.0878534E+07  2.7491599E+07  3.6232642E+07  4.7829958E+07  6.3124798E+07  8.3464155E+07  1.1038244E+08  1.4625139E+08
  3.2400000E+04  2.3686451E+06  2.9000134E+06  3.5367145E+06  4.2874592E+06  5.2686579E+06  6.5902213E+06  8.2965971E+06  1.0363346E+07  1.2749701E+07  1.5962467E+07  2.0777821E+07  2.7346390E+07  3.6041263E+07  4.7577323E+07  6.2805836E+07  8.3061544E+07  1.0987528E+08  1.4557943E+08
  3.2600000E+04  2.3872615E+06  2.9261730E+06  3.5743741E+06  4.3411021E+06  5.3272122E+06  6.6588618E+06  8.3849408E+06  1.0507515E+07  1.2882496E+07  1.5955117E+07  2.0682356E+07  2.7208212E+07  3.5842641E+07  4.7326022E+07  6.2488486E+07  8.2641844E+07  1.0934527E+08  1.4494392E+08
  3.2800000E+04  2.4087959E+06  2.9614200E+06  3.6149309E+06  4.3933925E+06  5.3814586E+06  6.7452803E+06  8.4976727E+06  1.0685627E+07  1.3070735E+07  1.6032454E+07  2.0596812E+07  2.7076966E+07  3.5661532E+07  4.7086889E+07  6.2172739E+07  8.2224265E+07  1.0881781E+08  1.4431119E+08
  3.3000000E+04  2.4288461E+06  2.9908870E+06  3.6660636E+06  4.4555364E+06  5.4462804E+06  6.8092613E+06  8.5802511E+06  1.0806872E+07  1.3298419E+07  1.6184527E+07  2.0563640E+07  2.6940149E+07  3.5473170E+07  4.6838179E+07  6.1830107E+07  8.1808796E+07  1.0829290E+08  1.4368122E+08
  3.3200000E+04  2.4501913E+06  3.0206472E+06  3.7085147E+06  4.5123211E+06  5.5169621E+06  6.8849375E+06  8.6716152E+06  1.0934527E+07  1.3548774E+07  1.6341804E+07  2.0530522E+07  2.6797853E+07  3.5285803E+07  4.6580055E+07  6.1503524E+07  8.1414170E+07  1.0779534E+08  1.4308694E+08
  3.3400000E+04  2.4711551E+06  3.0500011E+06  3.7505935E+06  4.5740404E+06  5.5885611E+06  6.9582495E+06  8.7619345E+06  1.1050960E+07  1.3759416E+07  1.6496811E+07  2.0521070E+07  2.6674728E+07  3.5091344E+07  4.6334022E+07  6.1192754E+07  8.1002794E+07  1.0732478E+08  1.4242952E+08
  3.3600000E+04  2.4980435E+06  3.0831880E+06  3.7914034E+06  4.6323354E+06  5.6610892E+06  7.0696840E+06  8.8961070E+06  1.1202114E+07  1.4015223E+07  1.6850004E+07  2.0577850E+07  2.6607251E+07  3.4897957E+07  4.6099902E+07  6.0883555E+07  8.0612056E+07  1.0680707E+08  1.4177511E+08
  3.3800000E+04  2.5194167E+06  3.1131497E+06  3.8379561E+06  4.6978592E+06  5.7319184E+06  7.1581369E+06  9.0094857E+06  1.1357951E+07  1.4180776E+07  1.7210758E+07  2.0706181E+07  2.6539944E+07  3.4721622E+07  4.5845847E+07  6.0561971E+07  8.0186268E+07  1.0626739E+08  1.4109122E+08
  3.4000000E+04  2.5398028E+06  3.1441264E+06  3.8806100E+06  4.7566369E+06  5.8237135E+06  7.2443596E+06  9.1159094E+06  1.1508004E+07  1.4381361E+07  1.7559009E+07  2.1013578E+07  2.6497201E+07  3.4593938E+07  4.5593192E+07  6.0242086E+07  7.9762728E+07  1.0573043E+08  1.4044297E+08
  3.4200000E+04  2.5621231E+06  3.1739494E+06  3.9228346E+06  4.8150411E+06  5.9006520E+06  7.3366871E+06  9.2320894E+06  1.1662724E+07  1.4638615E+07  1.7864876E+07  2.1159237E+07  2.6503303E+07  3.4482600E+07  4.5362815E+07  5.9923890E+07  7.9377972E+07  1.0524464E+08  1.3999096E+08
  3.4400000E+04  2.5888089E+06  3.2062693E+06  3.9691727E+06  4.8752849E+06  5.9772304E+06  7.4421771E+06  9.3669888E+06  1.1838591E+07  1.4924507E+07  1.8234758E+07  2.1547654E+07  2.6588877E+07  3.4371620E+07  4.5185594E+07  5.9593652E+07  7.8940523E+07  1.0478521E+08  1.3954041E+08
  3.4600000E+04  2.6109587E+06  3.2366818E+06  4.0142092E+06  4.9419688E+06  6.0520151E+06  7.5370258E+06  9.4841846E+06  1.1986710E+07  1.5142584E+07  1.8642322E+07  2.1968480E+07  2.6779348E+07  3.4276779E+07  4.5029798E+07  5.9388178E+07  7.8650231E+07  1.0442392E+08  1.3905929E+08
  3.4800000E+04  2.6339044E+06  3.2681351E+06  4.0588219E+06  5.0061055E+06  6.1319697E+06  7.6278123E+06  9.5984255E+06  1.2131095E+07  1.5346170E+07  1.9041449E+07  2.2641229E+07  2.6896762E+07  3.4292567E+07  4.4874539E+07  5.9156163E+07  7.8361005E+07  1.0401596E+08  1.3854792E+08
  3.5000000E+04  2.6564399E+06  3.3044562E+06  4.1105506E+06  5.0699071E+06  6.2187056E+06  7.7161382E+06  9.7073346E+06  1.2271566E+07  1.5538175E+07  1.9404390E+07  2.3067472E+07  2.7158139E+07  3.4387452E+07  4.4709519E+07  5.8938625E+07  7.8054869E+07  1.0363346E+08  1.3803843E+08
  3.5200000E+04  2.6816371E+06  3.3381051E+06  4.1581485E+06  5.1416203E+06  6.3052165E+06  7.8288866E+06  9.8423771E+06  1.2439416E+07  1.5772481E+07  1.9810708E+07  2.3670095E+07  2.7835562E+07  3.4466723E+07  4.4668359E+07  5.8721887E+07  7.7732028E+07  1.0327614E+08  1.3749915E+08
  3.5400000E+04  2.7045810E+06  3.3720965E+06  4.2033930E+06  5.2071489E+06  6.4032432E+06  7.9377972E+06  9.9770006E+06  1.2612466E+07  1.5977175E+07  2.0118704E+07  2.4327641E+07  2.8333485E+07  3.4546177E+07  4.4709519E+07  5.8559856E+07  7.7446180E+07  1.0284898E+08  1.3727770E+08
