#Table Version   5 
#[Z/Z_SOLAR]= 0.00 [A/Fe]= 0.0          | VALID RANGE:  176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 176 
#Teff(K)| Pgas@  log g = 6.00   log g = 6.20   log g = 6.40   log g = 6.60   log g = 6.80   log g = 7.00   log g = 7.20   log g = 7.40   log g = 7.60   log g = 7.80   log g = 8.00   log g = 8.20   log g = 8.40   log g = 8.60   log g = 8.80   log g = 9.00   log g = 9.20   log g = 9.40 
  8.4000000E+03  5.5284069E+08  7.5196911E+08  1.0218802E+09  1.3873946E+09  1.8814817E+09  2.5503513E+09  3.4538224E+09  4.6741215E+09  6.3212068E+09  8.5447626E+09  1.1542503E+10  1.5588345E+10  2.1057170E+10  2.8424969E+10  3.8406082E+10  5.1499143E+10  6.9630578E+10  9.4080583E+10
  8.6000000E+03  4.6708939E+08  6.3503842E+08  8.6277986E+08  1.1711162E+09  1.5885467E+09  2.1527817E+09  2.9154124E+09  3.9454814E+09  5.3358056E+09  7.2110748E+09  9.7409205E+09  1.3149220E+10  1.7750067E+10  2.3988329E+10  3.2381726E+10  4.3742137E+10  5.9115314E+10  7.9195408E+10
  8.8000000E+03  3.9618680E+08  5.3851772E+08  7.3147586E+08  9.9288740E+08  1.3464803E+09  1.8247358E+09  2.4711551E+09  3.3442597E+09  4.5227231E+09  6.1136419E+09  8.2565763E+09  1.1148078E+10  1.5052201E+10  2.0323570E+10  2.7428370E+10  3.7025421E+10  5.0003453E+10  6.7546057E+10
  9.0000000E+03  3.3697680E+08  4.5824739E+08  6.2244359E+08  8.4488967E+08  1.1455129E+09  1.5531021E+09  2.1032941E+09  2.8470822E+09  3.8503481E+09  5.2035532E+09  7.0291045E+09  9.4907383E+09  1.2808551E+10  1.7282239E+10  2.3313099E+10  3.1477483E+10  4.2481515E+10  5.7372001E+10
  9.2000000E+03  2.8721029E+08  3.9066095E+08  5.3100670E+08  7.2077547E+08  9.7746226E+08  1.3249516E+09  1.7951469E+09  2.4299649E+09  3.2870022E+09  4.4422194E+09  6.0034376E+09  8.1058768E+09  1.0939564E+10  1.4757065E+10  1.9906733E+10  2.6853444E+10  3.6240986E+10  4.8921527E+10
  9.4000000E+03  2.4535787E+08  3.3396427E+08  4.5394162E+08  6.1659500E+08  8.3656560E+08  1.1339659E+09  1.5363848E+09  2.0806546E+09  2.8151400E+09  3.8053973E+09  5.1416203E+09  6.9438447E+09  9.3734615E+09  1.2647363E+10  1.7068682E+10  2.3009120E+10  3.1038448E+10  4.1869715E+10
  9.6000000E+03  2.1018417E+08  2.8622001E+08  3.8922435E+08  5.2868867E+08  7.1746381E+08  9.7364357E+08  1.3191677E+09  1.7873105E+09  2.4182433E+09  3.2726533E+09  4.4218092E+09  5.9731029E+09  8.0649188E+09  1.0884287E+10  1.4682500E+10  1.9801587E+10  2.6699308E+10  3.6008083E+10
  9.8000000E+03  1.8050947E+08  2.4609342E+08  3.3496544E+08  4.5519764E+08  6.1815872E+08  8.3868717E+08  1.1371035E+09  1.5406359E+09  2.0859313E+09  2.8229293E+09  3.8168052E+09  5.1570341E+09  6.9646613E+09  9.3993971E+09  1.2682358E+10  1.7108030E+10  2.3072784E+10  3.1109999E+10
  1.0000000E+04  1.5545332E+08  2.1198250E+08  2.8860244E+08  3.9255454E+08  5.3345771E+08  7.2410242E+08  9.8242634E+08  1.3316804E+09  1.8038483E+09  2.4417433E+09  3.3036954E+09  4.4668359E+09  6.0339263E+09  8.1470428E+09  1.0997653E+10  1.4835425E+10  2.0012438E+10  2.6983607E+10
  1.0200000E+04  1.3409111E+08  1.8302061E+08  2.4934462E+08  3.3939075E+08  4.6142381E+08  6.2675816E+08  8.5074616E+08  1.1537189E+09  1.5635076E+09  2.1188490E+09  2.8681377E+09  3.8797166E+09  5.2456583E+09  7.0859813E+09  9.5675337E+09  1.2909220E+10  1.7418069E+10  2.3496328E+10
  1.0400000E+04  1.1587774E+08  1.5827051E+08  2.1592354E+08  2.9417110E+08  4.0022112E+08  5.4412665E+08  7.3892439E+08  1.0027669E+09  1.3592521E+09  1.8420440E+09  2.4957438E+09  3.3790919E+09  4.5698295E+09  6.1773186E+09  8.3444939E+09  1.1266785E+10  1.5205475E+10  2.0516345E+10
  1.0600000E+04  1.0032288E+08  1.3724610E+08  1.8745628E+08  2.5556419E+08  3.4801663E+08  4.7347821E+08  6.4342806E+08  8.7357460E+08  1.1854957E+09  1.6069413E+09  2.1777098E+09  2.9491713E+09  3.9930063E+09  5.4000776E+09  7.2996158E+09  9.8627949E+09  1.3316804E+10  1.7976287E+10
  1.0800000E+04  8.6976114E+07  1.1917907E+08  1.6311729E+08  2.2268963E+08  3.0359876E+08  4.1342811E+08  5.6208242E+08  7.6383578E+08  1.0370507E+09  1.4063713E+09  1.9072165E+09  2.5840446E+09  3.4994517E+09  4.7369631E+09  6.4076680E+09  8.6616374E+09  1.1703075E+10  1.5805200E+10
  1.1000000E+04  7.5561401E+07  1.0375284E+08  1.4210194E+08  1.9440167E+08  2.6521617E+08  3.6165960E+08  4.9249293E+08  6.6973038E+08  9.1012281E+08  1.2353784E+09  1.6753286E+09  2.2709104E+09  3.0775137E+09  4.1677341E+09  5.6415702E+09  7.6330833E+09  1.0320482E+10  1.3947617E+10
  1.1200000E+04  6.5720370E+07  9.0364947E+07  1.2405092E+08  1.6994172E+08  2.3238067E+08  3.1732187E+08  4.3261343E+08  5.8911489E+08  8.0094003E+08  1.0881781E+09  1.4763863E+09  2.0021656E+09  2.7139385E+09  3.6779007E+09  4.9819573E+09  6.7452803E+09  9.1264105E+09  1.2342411E+10
  1.1400000E+04  5.7266416E+07  7.8867850E+07  1.0849257E+08  1.4886754E+08  2.0398583E+08  2.7893307E+08  3.8097809E+08  5.1927809E+08  7.0696840E+08  9.6139088E+08  1.3055695E+09  1.7713321E+09  2.4021493E+09  3.2561170E+09  4.4126553E+09  5.9772304E+09  8.0928222E+09  1.0952166E+10
  1.1600000E+04  4.9957420E+07  6.8976317E+07  9.5038593E+07  1.3070735E+08  1.7939073E+08  2.4569708E+08  3.3604698E+08  4.5888092E+08  6.2560470E+08  8.5153009E+08  1.1574440E+09  1.5714479E+09  2.1320628E+09  2.8906799E+09  3.9192232E+09  5.3112898E+09  7.1961466E+09  9.7454074E+09
  1.1800000E+04  4.3651583E+07  6.0408771E+07  8.3387317E+07  1.1492116E+08  1.5801561E+08  2.1692020E+08  2.9702978E+08  4.0616267E+08  5.5475343E+08  7.5613615E+08  1.0292005E+09  1.3986209E+09  1.8984537E+09  2.5757280E+09  3.4930114E+09  4.7358725E+09  6.4194822E+09  8.6976114E+09
  1.2000000E+04  3.8168052E+07  5.2929769E+07  7.3265581E+07  1.0118124E+08  1.3944405E+08  1.9186687E+08  2.6320855E+08  3.6057864E+08  4.9306026E+08  6.7328664E+08  9.1769845E+08  1.2485329E+09  1.6962896E+09  2.3025019E+09  3.1239207E+09  4.2374052E+09  5.7464549E+09  7.7875348E+09
  1.2200000E+04  3.3396427E+07  4.6430141E+07  6.4461440E+07  8.9227762E+07  1.2328209E+08  1.6994172E+08  2.3366841E+08  3.2077462E+08  4.3944042E+08  6.0103533E+08  8.2016267E+08  1.1176350E+09  1.5198475E+09  2.0649046E+09  2.8022056E+09  3.8027695E+09  5.1594095E+09  6.9968087E+09
  1.2400000E+04  2.9201153E+07  4.0747409E+07  5.6728330E+07  7.8758965E+07  1.0914403E+08  1.5076482E+08  2.0787392E+08  2.8589068E+08  3.9246416E+08  5.3740289E+08  7.3485220E+08  1.0029978E+09  1.3658405E+09  1.8569491E+09  2.5217382E+09  3.4229456E+09  4.6462225E+09  6.3052165E+09
  1.2600000E+04  2.5585859E+07  3.5817890E+07  5.0003453E+07  6.9630578E+07  9.6716373E+07  1.3396767E+08  1.8518252E+08  2.5521136E+08  3.5115592E+08  4.8183684E+08  6.5993323E+08  9.0177876E+08  1.2299855E+09  1.6741717E+09  2.2756214E+09  3.0902954E+09  4.1956572E+09  5.6977055E+09
  1.2800000E+04  2.2449155E+07  3.1521001E+07  4.4126553E+07  6.1659500E+07  8.5842034E+07  1.1928889E+08  1.6519618E+08  2.2829689E+08  3.1477483E+08  4.3281270E+08  5.9388178E+08  8.1264338E+08  1.1104525E+09  1.5128644E+09  2.0582589E+09  2.7976926E+09  3.8001435E+09  5.1617861E+09
  1.3000000E+04  1.9719686E+07  2.7745976E+07  3.8994199E+07  5.4613499E+07  7.6295689E+07  1.0629186E+08  1.4763863E+08  2.0455024E+08  2.8255305E+08  3.8949331E+08  5.3530340E+08  7.3400666E+08  1.0041533E+09  1.3705661E+09  1.8672394E+09  2.5386335E+09  3.4498483E+09  4.6892134E+09
  1.3200000E+04  1.7330057E+07  2.4456821E+07  3.4458788E+07  4.8417237E+07  6.7842212E+07  9.4798180E+07  1.3206873E+08  1.8344252E+08  2.5398028E+08  3.5099425E+08  4.8339260E+08  6.6435468E+08  9.1054204E+08  1.2448012E+09  1.6974618E+09  2.3104682E+09  3.1412319E+09  4.2716927E+09
  1.3400000E+04  1.5205475E+07  2.1552616E+07  3.0464917E+07  4.2953643E+07  6.0367056E+07  8.4605773E+07  1.1822246E+08  1.6462660E+08  2.2871782E+08  3.1673788E+08  4.3742137E+08  6.0242086E+08  8.2717995E+08  1.1329220E+09  1.5466783E+09  2.1081427E+09  2.8674774E+09  3.8994199E+09
  1.3600000E+04  1.3338285E+07  1.8967059E+07  2.6902956E+07  3.8080268E+07  5.3727917E+07  7.5561401E+07  1.0592537E+08  1.4797897E+08  2.0611044E+08  2.8615412E+08  3.9636929E+08  5.4714193E+08  7.5266202E+08  1.0329992E+09  1.4125375E+09  1.9275249E+09  2.6236144E+09  3.5686175E+09
  1.3800000E+04  1.1700381E+07  1.6687835E+07  2.3762931E+07  3.3759810E+07  4.7807937E+07  6.7530505E+07  9.4972966E+07  1.3310673E+08  1.8595163E+08  2.5894051E+08  3.5958370E+08  4.9739338E+08  6.8611988E+08  9.4319176E+08  1.2927067E+09  1.7660378E+09  2.4060242E+09  3.2726533E+09
  1.4000000E+04  1.0261244E+07  1.4692645E+07  2.1003903E+07  2.9936429E+07  4.2569642E+07  6.0339263E+07  8.5172619E+07  1.1986710E+08  1.6795773E+08  2.3453086E+08  3.2643747E+08  4.5289758E+08  6.2603700E+08  8.6238263E+08  1.1846771E+09  1.6203170E+09  2.2110573E+09  3.0095392E+09
  1.4200000E+04  9.0011915E+06  1.2944939E+07  1.8565216E+07  2.6558283E+07  3.7905305E+07  5.3913807E+07  7.6418762E+07  1.0791952E+08  1.5173997E+08  2.1261799E+08  2.9675634E+08  4.1266725E+08  5.7187354E+08  7.8958702E+08  1.0871764E+09  1.4897041E+09  2.0351668E+09  2.7726816E+09
  1.4400000E+04  7.8995072E+06  1.1397248E+07  1.6394569E+07  2.3555916E+07  3.3752038E+07  4.8194780E+07  6.8548823E+07  9.7118060E+07  1.3715132E+08  1.9279688E+08  2.6996036E+08  3.7661707E+08  5.2299797E+08  7.2393571E+08  9.9861940E+08  1.3715132E+09  1.8767222E+09  2.5591751E+09
  1.4600000E+04  6.9246846E+06  1.0020745E+07  1.4484383E+07  2.0888151E+07  3.0046923E+07  4.3072492E+07  6.1503524E+07  8.7478233E+07  1.2393672E+08  1.7482358E+08  2.4564052E+08  3.4371620E+08  4.7874031E+08  6.6450767E+08  9.1833260E+08  1.2644452E+09  1.7330057E+09  2.3664645E+09
  1.4800000E+04  6.0575917E+06  8.8125177E+06  1.2790867E+07  1.8513989E+07  2.6730064E+07  3.8485754E+07  5.5182326E+07  7.8795243E+07  1.1204694E+08  1.5856232E+08  2.2356304E+08  3.1383401E+08  4.3853070E+08  6.1037959E+08  8.4566820E+08  1.1673471E+09  1.6025072E+09  2.1923001E+09
  1.5000000E+04  5.3542667E+06  7.8324927E+06  1.1402498E+07  1.6553888E+07  2.3971764E+07  3.4570049E+07  4.9716437E+07  7.1236078E+07  1.0160147E+08  1.4421154E+08  2.0398583E+08  2.8707806E+08  4.0225366E+08  5.6130641E+08  7.7983011E+08  1.0791952E+09  1.4845677E+09  2.0337614E+09
  1.5200000E+04  4.6526459E+06  6.8391165E+06  1.0002303E+07  1.4588143E+07  2.1212898E+07  3.0760968E+07  4.4442655E+07  6.3988216E+07  9.1685361E+07  1.3076755E+08  1.8565216E+08  2.6224064E+08  3.6880772E+08  5.1605976E+08  7.1895217E+08  9.9747036E+08  1.3759416E+09  1.8888610E+09
  1.5400000E+04  4.0728649E+06  6.0131218E+06  8.8307990E+06  1.2927067E+07  1.8875567E+07  2.7466290E+07  3.9856577E+07  5.7597018E+07  8.2870508E+07  1.1868614E+08  1.6908302E+08  2.3971764E+08  3.3837635E+08  4.7489763E+08  6.6343748E+08  9.2257143E+08  1.2761449E+09  1.7554966E+09
  1.5600000E+04  3.5735511E+06  5.2978542E+06  7.8144785E+06  1.1478893E+07  1.6815121E+07  2.4564052E+07  3.5768440E+07  5.1891951E+07  7.4954895E+07  1.0774571E+08  1.5406359E+08  2.1923001E+08  3.1038448E+08  4.3711932E+08  6.1249141E+08  8.5388621E+08  1.1846771E+09  1.6326760E+09
  1.5800000E+04  3.1506488E+06  4.6838179E+06  6.9310655E+06  1.0214098E+07  1.5010667E+07  2.1998851E+07  3.2151408E+07  4.6805835E+07  6.7842212E+07  9.7858826E+07  1.4044297E+08  2.0053953E+08  2.8490495E+08  4.0253162E+08  5.6571800E+08  7.9086071E+08  1.1000185E+09  1.5194975E+09
  1.6000000E+04  2.7867628E+06  4.1552772E+06  6.1645304E+06  9.1138106E+06  1.3427650E+07  1.9742402E+07  2.8926774E+07  4.2257130E+07  6.1461053E+07  8.8961070E+07  1.2811501E+08  1.8352701E+08  2.6151704E+08  3.7076608E+08  5.2275717E+08  7.3282453E+08  1.0221156E+09  1.4154678E+09
