WAVELENGTH,FLUX,CONTINUUM
1005.3052485847966,5.9075585E-13,6.324992E-13
1006.3130682568201,5.902003E-13,6.4130813E-13
1007.3218982581399,5.948032E-13,6.503552E-13
1008.3317396886794,6.030566E-13,6.5956095E-13
1009.3425934483752,6.0884994E-13,6.687667E-13
1010.3544605371576,6.217856E-13,6.781312E-13
1011.3673420549493,6.335309E-13,6.876544E-13
1012.3812390016806,6.3853057E-13,6.97257E-13
1013.3961523772815,6.494029E-13,7.0693885E-13
1014.412083181682,6.5718015E-13,7.1685886E-13
1015.4290325148049,6.678144E-13,7.269376E-13
1016.4470012765877,6.8717823E-13,7.372544E-13
1017.4659905669529,6.9328896E-13,7.4749186E-13
1018.486001385831,6.856704E-13,7.57888E-13
1019.5070348331444,6.73687E-13,7.6852224E-13
1020.5290918088308,6.537677E-13,7.793152E-13
1021.552173412813,6.2480126E-13,7.902669E-13
1022.5762806450209,5.5623426E-13,8.01536E-13
1023.6014146053776,4.2529023E-13,8.126464E-13
1024.62757619382,2.506189E-13,8.237568E-13
1025.6547665102712,1.5300608E-13,8.356608E-13
1026.6829866546545,2.5331712E-13,8.475648E-13
1027.7122375269068,4.3719423E-13,8.5867516E-13
1028.7425202269508,5.9369214E-13,8.713728E-13
1029.7738358547097,7.02336E-13,8.832768E-13
1030.8061853101206,7.622528E-13,8.951808E-13
1031.8395696931063,8.062976E-13,9.078784E-13
1032.8739901035904,8.4677117E-13,9.20576E-13
1033.9094474415094,8.705792E-13,9.340672E-13
1034.9459429067795,8.68992E-13,9.467648E-13
1035.9834773993375,8.221696E-13,9.60256E-13
1037.022052019107,8.197888E-13,9.737472E-13
1038.0616678660103,9.015296E-13,9.872384E-13
1039.1023259399778,9.547008E-13,1.0007296E-12
1040.1440271409465,9.76128E-13,1.0150144E-12
1041.1867727688254,9.927936E-13,1.0292992E-12
1042.2305637235518,9.967616E-13,1.043584E-12
1043.2754011050483,9.951744E-13,1.0578687E-12
1044.321285913245,1.0110464E-12,1.0729472E-12
1045.368219248065,1.0332672E-12,1.0880256E-12
1046.4162021094385,1.0531071E-12,1.1031039E-12
1047.4652354972952,1.0578687E-12,1.1181824E-12
1048.5153206115515,1.0650111E-12,1.1340544E-12
1049.566458452137,1.099136E-12,1.1499264E-12
1050.6186501189754,1.1237376E-12,1.1657984E-12
1051.6718965120028,1.1316736E-12,1.182464E-12
1052.726198831136,1.1435776E-12,1.1991296E-12
1053.7815580763045,1.1634176E-12,1.2157952E-12
1054.8379752474386,1.1792896E-12,1.2324607E-12
1055.8954516444473,1.2038912E-12,1.24992E-12
1056.9539880672746,1.2324607E-12,1.2673792E-12
1058.0135856158436,1.24992E-12,1.285632E-12
1059.07424549007,1.2467455E-12,1.3030912E-12
1060.1359686898845,1.2523008E-12,1.321344E-12
1061.1987562152165,1.2808704E-12,1.3395968E-12
1062.262609165989,1.2761088E-12,1.3586432E-12
1063.3275286421256,1.2673792E-12,1.3776896E-12
1064.3935157435487,1.3046784E-12,1.396736E-12
1065.4605714701888,1.3142016E-12,1.416576E-12
1066.5286970219618,1.2999168E-12,1.436416E-12
1067.5978931988113,1.2983296E-12,1.456256E-12
1068.66816140064,1.325312E-12,1.4768896E-12
1069.7395024273915,1.3864192E-12,1.4975231E-12
1070.811917578975,1.4268928E-12,1.5181568E-12
1071.8854077553274,1.444352E-12,1.539584E-12
1072.9599741563648,1.4514944E-12,1.5610112E-12
