Ntau, Nsims           82          37
 Teff/[K]       6582.301    5774.501    4813.199    6137.301    6901.799    4301.201    5674.800    5926.601    5552.200    5485.001    4250.800    5232.500    4718.001    6105.501    4674.400    6287.298    4962.801    4665.599    5187.501    6569.301    5021.901    5905.199    4996.201    5323.000    6617.300    6418.600    4531.499    4185.499    4681.899    5288.499    4994.701    4205.701    4494.300    4986.301    5069.901    4500.200    4604.399
 log g             3.966       4.438       4.500       4.040       4.292       2.420       3.943       4.295       3.000       4.557       3.000       4.500       3.500       3.500       4.000       4.500       2.200       3.000       3.500       4.450       4.550       4.550       4.300       4.300       4.000       4.300       4.740       4.740       2.200       3.421       2.930       4.000       4.000       4.000       4.300       4.500       4.300
 [Fe/H]            0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000
 MLT alpha    1.64810097  1.76738799  1.76003206  1.69658005  1.67718101  1.76493704  1.75717497  1.75384402  1.62662101  1.76523399  1.81990802  1.74680805  1.75110805  1.63670599  1.78557205  1.76212895  1.55285597  1.75449204  1.75776994  1.70845199  1.76683199  1.77290702  1.74087703  1.74737799  1.65279496  1.71424305  1.93093598  2.05823588  1.67179203  1.72693205  1.70492995  2.00106406  1.84675705  1.76018202  1.74510896  1.88565099  1.82723403
 sig alpha    0.02000000  0.03049900  0.02174600  0.02526400  0.03825700  0.02123500  0.03448400  0.02877900  0.02060700  0.02426400  0.02017000  0.02000000  0.02280200  0.02741200  0.02421200  0.03622600  0.02479600  0.02000000  0.02792900  0.02068100  0.02397600  0.02726900  0.02159000  0.02427600  0.02000000  0.03021100  0.04020300  0.02690600  0.02360300  0.02881200  0.02081100  0.03208500  0.01780700  0.02204700  0.02735500  0.01590700  0.02294300
 -4.50000000  0.37156389  0.38330216  0.36864682  0.38466947  0.36400630  0.39851932  0.38638091  0.38371588  0.38381986  0.38157185  0.38925947  0.38530171  0.38875140  0.37573498  0.38668337  0.37579981  0.36845145  0.39123084  0.39360884  0.37510154  0.39004093  0.38287336  0.38601068  0.38692567  0.37117004  0.37761076  0.36281897  0.39712092  0.38022442  0.39636876  0.38865363  0.38759432  0.36905289  0.38609945  0.38724466  0.36867288  0.37570591
 -4.41975307  0.37620499  0.38797457  0.37335618  0.38895423  0.36898350  0.40410561  0.39158757  0.38808286  0.38948837  0.38621946  0.39422421  0.38994718  0.39328848  0.38075744  0.39092591  0.37999411  0.37442532  0.39630157  0.39894952  0.37951442  0.39299055  0.38728406  0.39045476  0.39219312  0.37597752  0.38187435  0.36860231  0.40255111  0.38646225  0.40197647  0.39435363  0.39258931  0.37365799  0.39075489  0.39204147  0.37417969  0.38133933
 -4.33950615  0.38091088  0.39281506  0.37816540  0.39337589  0.37398517  0.40972824  0.39694869  0.39258415  0.39523745  0.39102322  0.39924051  0.39472525  0.39790951  0.38592575  0.39527822  0.38422447  0.38054233  0.40141051  0.40428542  0.38392790  0.39612217  0.39180420  0.39488193  0.39749828  0.38083999  0.38618119  0.37442088  0.40788215  0.39278474  0.40758859  0.40006541  0.39771692  0.37829306  0.39547784  0.39674776  0.37972480  0.38730732
 -4.25925922  0.38565236  0.39779905  0.38305531  0.39795361  0.37900728  0.41537387  0.40240468  0.39723357  0.40105126  0.39601132  0.40428402  0.39956452  0.40259421  0.39123885  0.39962911  0.38855127  0.38679387  0.40655968  0.40961075  0.38835725  0.39931361  0.39642169  0.39933076  0.40279109  0.38575394  0.39055828  0.38018251  0.41304059  0.39918050  0.41326291  0.40577176  0.40291883  0.38300227  0.40021785  0.40137671  0.38521548  0.39338491
 -4.17901230  0.39043554  0.40290439  0.38791891  0.40268837  0.38405111  0.42102208  0.40789370  0.40201536  0.40690307  0.40115923  0.40933206  0.40439438  0.40731074  0.39667628  0.40398558  0.39301335  0.39315391  0.41175091  0.41495881  0.39281938  0.40261675  0.40114393  0.40376918  0.40805594  0.39072014  0.39501794  0.38576424  0.41793557  0.40562223  0.41900751  0.41149134  0.40813957  0.38774315  0.40491977  0.40601869  0.39056818  0.39929077
