! Sound-speed inversion results from the mean-multiplet frequencies.

! table from
! "Measurements of Frequencies of Solar Oscillations from the MDI medium-l Program"
! by E.J. Rhodes, Jr., A.G. Kosovichev, P.H. Scherrer, J. Schou & J. Reiter 
! http://soho.nascom.nasa.gov/publications/CDROM1/papers/rhodes/table6b.txt



    r0/R     c_mod,cm/s  c_sun,cm/s  sigma_c,cm/s  dc^2/c^2    sigma_c^2   width/R
  6.6300e-01  2.4397e+07  2.4443e+07  9.4540e+02  3.7400e-03  7.7500e-05  1.3000e-02
  6.7500e-01  2.3962e+07  2.4011e+07  9.4292e+02  4.0100e-03  7.8700e-05  1.2700e-02
  6.8700e-01  2.3507e+07  2.3546e+07  9.0619e+02  3.3000e-03  7.7100e-05  1.2500e-02
  7.0000e-01  2.2975e+07  2.2998e+07  8.8452e+02  2.0300e-03  7.7000e-05  1.2200e-02
  7.1200e-01  2.2416e+07  2.2429e+07  8.8879e+02  1.1400e-03  7.9300e-05  1.1900e-02
  7.2500e-01  2.1710e+07  2.1717e+07  8.5970e+02  7.0000e-04  7.9200e-05  1.1600e-02
  7.3700e-01  2.1058e+07  2.1062e+07  8.5180e+02  3.9300e-04  8.0900e-05  1.1200e-02
  7.5000e-01  2.0352e+07  2.0357e+07  8.3952e+02  5.0000e-04  8.2500e-05  1.0800e-02
  7.6300e-01  1.9644e+07  1.9650e+07  8.0148e+02  5.7900e-04  8.1600e-05  1.0500e-02
  7.7500e-01  1.8988e+07  1.8991e+07  8.0036e+02  2.5100e-04  8.4300e-05  1.0100e-02
  7.8700e-01  1.8329e+07  1.8332e+07  7.6892e+02  3.1700e-04  8.3900e-05  9.8100e-03
  8.0000e-01  1.7610e+07  1.7612e+07  7.2904e+02  2.9600e-04  8.2800e-05  9.4800e-03
  8.1200e-01  1.6939e+07  1.6939e+07  7.3431e+02  1.7200e-05  8.6700e-05  9.1000e-03
  8.2500e-01  1.6204e+07  1.6204e+07  6.8867e+02  4.5700e-05  8.5000e-05  8.8200e-03
  8.3700e-01  1.5516e+07  1.5514e+07  6.9820e+02 -2.7000e-04  9.0000e-05  8.4400e-03
  8.5000e-01  1.4756e+07  1.4753e+07  6.4704e+02 -4.1600e-04  8.7700e-05  8.1600e-03
  8.6200e-01  1.4038e+07  1.4034e+07  6.5345e+02 -5.2800e-04  9.3100e-05  7.8100e-03
  8.7500e-01  1.3239e+07  1.3233e+07  6.0699e+02 -8.0400e-04  9.1700e-05  7.5200e-03
  8.8700e-01  1.2476e+07  1.2471e+07  5.9949e+02 -7.8900e-04  9.6100e-05  7.1800e-03
  9.0000e-01  1.1619e+07  1.1612e+07  5.7977e+02 -1.1600e-03  9.9800e-05  6.8700e-03
  9.1200e-01  1.0790e+07  1.0783e+07  5.5567e+02 -1.2100e-03  1.0300e-04  6.5500e-03
  9.2500e-01  9.8377e+06  9.8316e+06  5.3615e+02 -1.2400e-03  1.0900e-04  6.3000e-03
  9.3700e-01  8.8965e+06  8.8887e+06  5.1155e+02 -1.7600e-03  1.1500e-04  6.0200e-03
  9.5000e-01  7.7771e+06  7.7680e+06  5.0162e+02 -2.3400e-03  1.2900e-04  5.7900e-03
  9.6200e-01  6.6075e+06  6.5949e+06  4.9226e+02 -3.8300e-03  1.4900e-04  5.6800e-03
  9.7500e-01  5.0867e+06  5.0708e+06  4.0693e+02 -6.2500e-03  1.6000e-04  5.5800e-03
  9.8600e-01  3.6047e+06  3.5950e+06  3.6407e+02 -5.3700e-03  2.0200e-04  5.2400e-03
  9.9000e-01  2.8194e+06  2.8213e+06  6.4845e+02  1.3700e-03  4.6000e-04  1.4000e-02
