     omega          i        C_T        C_L
0.25000000 0.86393798 1.00072563 1.00561190
0.25000000 0.94247780 1.00012548 1.00082314
0.25000000 1.02101761 0.99954969 0.99627263
0.25000000 1.09955743 0.99901342 0.99207241
0.25000000 1.17809725 0.99853108 0.98832584
0.25000000 1.25663706 0.99811595 0.98512500
0.25000000 1.33517688 0.99777962 0.98254841
0.25000000 1.41371669 0.99753164 0.98065924
0.25000000 1.49225651 0.99737910 0.97950365
0.25000000 1.57079633 0.99732638 0.97911004
0.30000000 0.00000000 1.00721889 1.06032426
0.30000000 0.07853982 1.00715672 1.05976972
0.30000000 0.15707963 1.00697138 1.05811740
0.30000000 0.23561945 1.00666613 1.05540823
0.30000000 0.31415927 1.00624652 1.05170819
0.30000000 0.39269908 1.00572036 1.04710758
0.30000000 0.47123890 1.00509779 1.04171896
0.30000000 0.54977871 1.00439130 1.03567454
0.30000000 0.62831853 1.00361568 1.02912294
0.30000000 0.70685835 1.00278790 1.02222562
0.30000000 0.78539816 1.00192694 1.01515283
0.30000000 0.86393798 1.00105342 1.00807925
0.30000000 0.94247780 1.00018920 1.00117963
0.30000000 1.02101761 0.99935677 0.99462424
0.30000000 1.09955743 0.99857861 0.98857460
0.30000000 1.17809725 0.99787643 0.98317946
0.30000000 1.25663706 0.99727037 0.97857112
0.30000000 1.33517688 0.99677822 0.97486226
0.30000000 1.41371669 0.99641471 0.97214331
0.30000000 1.49225651 0.99619084 0.97048035
0.30000000 1.57079633 0.99611344 0.96991386
0.35000000 0.00000000 1.00965018 1.08210183
0.35000000 0.07853982 1.00956909 1.08134720
0.35000000 0.15707963 1.00932709 1.07909952
0.35000000 0.23561945 1.00892786 1.07541370
0.35000000 0.31415927 1.00837767 1.07037893
0.35000000 0.39269908 1.00768557 1.06411757
0.35000000 0.47123890 1.00686351 1.05678237
0.35000000 0.54977871 1.00592658 1.04855314
0.35000000 0.62831853 1.00489311 1.03963238
0.35000000 0.70685835 1.00378468 1.03024051
0.35000000 0.78539816 1.00262599 1.02061006
0.35000000 0.86393798 1.00144449 1.01097982
0.35000000 0.94247780 1.00026990 1.00158842
0.35000000 1.02101761 0.99913334 0.99266812
0.35000000 1.09955743 0.99806643 0.98443885
0.35000000 1.17809725 0.99710011 0.97710258
0.35000000 1.25663706 0.99626339 0.97083847
0.35000000 1.33517688 0.99558218 0.96579871
0.35000000 1.41371669 0.99507802 0.96210509
0.35000000 1.49225651 0.99476713 0.95984645
0.35000000 1.57079633 0.99465960 0.95907702
0.40000000 0.00000000 1.01232416 1.10714220
0.40000000 0.07853982 1.01222350 1.10615786
0.40000000 0.15707963 1.01192282 1.10322624
0.40000000 0.23561945 1.01142579 1.09841806
0.40000000 0.31415927 1.01073882 1.09184868
0.40000000 0.39269908 1.00987139 1.08367665
0.40000000 0.47123890 1.00883646 1.07410063
