#Table Version   5
#[Z/Z_SOLAR]= 0.50 [A/Fe]= 0.0 GN93     | VALID RANGE:   50  50  50  50  51  52  57  65  77  82  82  82  82
#Teff(K)| Pgas@  log g =-0.50   log g = 0.00   log g = 0.50   log g = 1.00   log g = 1.50   log g = 2.00   log g = 2.50   log g = 3.00   log g = 3.50   log g = 4.00   log g = 4.50   log g = 5.00   log g = 5.50 
  7.7500000E+03  5.0694034E+01  5.2968867E+01  6.0059916E+01  8.1596516E+01  1.4351463E+02  3.0801447E+02  7.1465969E+02  1.4373737E+03  3.5859832E+03  8.2988750E+03  1.7818000E+04  4.1021910E+04  8.9289602E+04
  8.0000000E+03  5.1440675E+01  5.2888789E+01  5.7431954E+01  7.1440127E+01  1.1299936E+02  2.2846331E+02  5.2652714E+02  1.1472000E+03  2.6564000E+03  6.2809000E+03  1.3687000E+04  3.2589000E+04  7.2792000E+04
  8.2500000E+03  5.2273867E+01  5.3209940E+01  5.6154154E+01  6.5311543E+01  9.3029352E+01  1.7275239E+02  3.8714695E+02  8.3279063E+02  1.9795671E+03  4.6939039E+03  1.0432853E+04  2.5526004E+04  5.8504676E+04
  8.5000000E+03  5.3132712E+01  5.3749058E+01  5.5690865E+01  6.1760530E+01  8.0356525E+01  1.3507113E+02  2.8715957E+02  5.7923854E+02  1.4904814E+03  3.5207615E+03  8.1495073E+03  1.9786250E+04  4.6521625E+04
  8.7500000E+03  5.3978604E+01  5.4394581E+01  5.5706099E+01  5.9817315E+01  7.2496693E+01  1.1031555E+02  2.1775240E+02  4.0826797E+02  1.0539744E+03  2.6773750E+03  6.2887910E+03  1.4767421E+04  3.5554148E+04
  9.0000000E+03  5.4786294E+01  5.5075671E+01  5.5988405E+01  5.8854577E+01  6.7726441E+01  9.4380970E+01  1.7093148E+02  2.9785000E+02  7.6585000E+02  1.9893000E+03  4.8233000E+03  1.1199000E+04  2.7213000E+04
  9.2500000E+03  5.5538705E+01  5.5747506E+01  5.6406299E+01  5.8476004E+01  6.4897922E+01  8.4262309E+01  1.4002663E+02  2.2900478E+02  5.8671851E+02  1.5039508E+03  3.9163686E+03  9.2897710E+03  2.2552131E+04
  9.5000000E+03  5.6223620E+01  5.6380825E+01  5.6876931E+01  5.8436078E+01  6.3280446E+01  7.7905215E+01  1.1993356E+02  1.8539093E+02  4.6315593E+02  1.1740689E+03  3.0213902E+03  7.6391820E+03  1.9115645E+04
  9.7500000E+03  5.6831741E+01  5.6955835E+01  5.7347503E+01  5.8578762E+01  6.2406530E+01  7.3961805E+01  1.0701999E+02  1.5903154E+02  3.8243152E+02  9.4688111E+02  2.3981219E+03  6.1660845E+03  1.6322637E+04
  1.0000000E+04  5.7355480E+01  5.7458425E+01  5.7783316E+01  5.8804860E+01  6.1980437E+01  7.1564252E+01  9.8827033E+01  1.4436701E+02  3.3155572E+02  7.9206143E+02  1.9587876E+03  4.9560166E+03  1.3624044E+04
  1.0250000E+04  5.7788292E+01  5.7877958E+01  5.8160985E+01  5.9050842E+01  6.1816931E+01  7.0156171E+01  9.3738138E+01  1.3868916E+02  3.0372308E+02  6.9354774E+02  1.6588374E+03  4.1106619E+03  1.0894334E+04
  1.0500000E+04  5.8124225E+01  5.8205914E+01  5.8463771E+01  5.9274512E+01  6.1794011E+01  6.9378240E+01  9.0705243E+01  1.3794394E+02  2.9068970E+02  6.3387097E+02  1.4565315E+03  3.5116920E+03  8.7979948E+03
  1.0750000E+04  5.8357426E+01  5.8434834E+01  5.8679166E+01  5.9447387E+01  6.1833300E+01  6.9004782E+01  8.9053965E+01  1.4031930E+02  2.8743517E+02  6.0200756E+02  1.3247737E+03  3.0870258E+03  7.2152317E+03
