#Teff logg mdivh bb_U bb_B bb_V bb_R bb_I
9100.0 0.0 0.0 0.196945954459 -0.450530945731 -0.223412916557 -0.0602671507885 0.0732881654294
9200.0 0.0 0.0 0.202021830848 -0.454114230424 -0.234689582349 -0.0760150865778 0.0529840284712
9300.0 0.0 0.0 0.206521360113 -0.458071132475 -0.246161267857 -0.0918481500082 0.0327029998621
9400.0 0.0 0.0 0.210468532234 -0.462384273325 -0.257816339524 -0.107758502228 0.0124492994239
9500.0 0.0 0.0 0.213886213219 -0.467037122112 -0.269643778279 -0.123738752401 -0.00777314793359
9600.0 0.0 0.0 0.21679620664 -0.472013948323 -0.281633143613 -0.139781930597 -0.0279606928464
9700.0 0.0 0.0 0.219219311287 -0.477299777487 -0.293774540034 -0.155881462503 -0.0481099435012
9800.0 0.0 0.0 0.221175375182 -0.482880349669 -0.306058585701 -0.172031145821 -0.068217748906
9900.0 0.0 0.0 0.222683346246 -0.488742080573 -0.31847638311 -0.188225128239 -0.0882811833271
10000.0 0.0 0.0 0.223761319834 -0.494872025071 -0.331019491652 -0.204457886832 -0.108297531804
10100.0 0.0 0.0 0.224426583373 -0.501257842974 -0.343679901924 -0.22072420882 -0.128264276661
10200.0 0.0 0.0 0.224695658289 -0.507887766908 -0.356450011665 -0.237019173558 -0.148179084936
10300.0 0.0 0.0 0.224584339436 -0.514750572127 -0.369322603204 -0.253338135689 -0.168039796668
10400.0 0.0 0.0 0.224107732167 -0.521835548147 -0.382290822304 -0.269676709366 -0.187844413962
10500.0 0.0 0.0 0.223280287233 -0.529132472074 -0.395348158318 -0.286030753473 -0.207591090799
10600.0 0.0 0.0 0.222115833645 -0.536631583502 -0.408488425559 -0.302396357765 -0.227278123509
10700.0 0.0 0.0 0.220627609581 -0.54432356089 -0.421705745798 -0.318769829882 -0.24690394188
10800.0 0.0 0.0 0.218828291652 -0.552199499308 -0.434994531819 -0.335147683157 -0.266467100852
10900.0 0.0 0.0 0.216730022343 -0.560250889469 -0.448349471962 -0.351526625175 -0.285966272739
11000.0 0.0 0.0 0.214344436052 -0.568469597966 -0.461765515579 -0.367903547027 -0.305400239975
11100.0 0.0 0.0 0.211682683501 -0.576847848621 -0.475237859345 -0.384275513217 -0.324767888303
11200.0 0.0 0.0 0.208755454985 -0.585378204896 -0.48876193438 -0.400639752174 -0.344068200421
11300.0 0.0 0.0 0.20557300222 -0.594053553283 -0.502333394105 -0.416993647326 -0.363300250018
11400.0 0.0 0.0 0.202145158982 -0.602867087615 -0.515948102813 -0.433334728711 -0.382463196192
11500.0 0.0 0.0 0.198481360742 -0.61181229424 -0.529602124879 -0.449660665074 -0.401556278216
11600.0 0.0 0.0 0.194590663133 -0.620882938016 -0.543291714598 -0.465969256432 -0.420578810637
11700.0 0.0 0.0 0.190481759486 -0.630073049048 -0.557013306587 -0.482258427067 -0.439530178675
11800.0 0.0 0.0 0.186162997423 -0.639376910159 -0.570763506728 -0.498526218925 -0.458409833904
11900.0 0.0 0.0 0.181642394588 -0.648789045018 -0.584539083616 -0.514770785396 -0.477217290207
12000.0 0.0 0.0 0.176927653543 -0.658304206902 -0.59833696048 -0.530990385443 -0.495952119971
12100.0 0.0 0.0 0.172026175913 -0.667917368057 -0.612154207546 -0.547183378071 -0.514613950517
12200.0 0.0 0.0 0.166945075784 -0.677623709603 -0.625988034822 -0.563348217099 -0.533202460743
12300.0 0.0 0.0 0.161691192431 -0.687418611981 -0.639835785264 -0.579483446236 -0.55171737798
12400.0 0.0 0.0 0.1562711024 -0.697297645877 -0.653694928326 -0.595587694416 -0.570158475021
12500.0 0.0 0.0 0.150691130977 -0.707256563624 -0.667563053837 -0.611659671408 -0.588525567341
12600.0 0.0 0.0 0.14495736309 -0.717291291036 -0.681437866219 -0.627698163654 -0.606818510475
12700.0 0.0 0.0 0.139075653669 -0.727397919657 -0.695317179004 -0.64370203034 -0.625037197556
12800.0 0.0 0.0 0.133051637496 -0.737572699399 -0.709198909635 -0.659670199683 -0.643181556994
12900.0 0.0 0.0 0.126890738572 -0.747812031552 -0.723081074551 -0.675601665416 -0.661251550295
13000.0 0.0 0.0 0.120598179031 -0.758112462135 -0.736961784513 -0.691495483459 -0.679247170008
13100.0 0.0 0.0 0.114178987628 -0.768470675577 -0.750839240182 -0.707350768778 -0.697168437787
13200.0 0.0 0.0 0.107638007809 -0.778883488711 -0.764711727915 -0.7231666924 -0.715015402572
13300.0 0.0 0.0 0.10097990541 -0.789347845059 -0.778577615784 -0.738942478592 -0.732788138872
13400.0 0.0 0.0 0.094209175983 -0.799860809391 -0.792435349794 -0.754677402191 -0.750486745148
13500.0 0.0 0.0 0.0873301517839 -0.810419562546 -0.806283450283 -0.770370786067 -0.768111342289
13600.0 0.0 0.0 0.0803470084286 -0.821021396508 -0.820120508518 -0.786021998724 -0.785662072173
13700.0 0.0 0.0 0.0732637712447 -0.831663709706 -0.83394518345 -0.801630452024 -0.803139096319
13800.0 0.0 0.0 0.066084321329 -0.842344002541 -0.847756198629 -0.817195599027 -0.820542594604
13900.0 0.0 0.0 0.0588124013277 -0.853059873126 -0.861552339282 -0.832716931945 -0.837872764063
14000.0 0.0 0.0 0.0514516209535 -0.863809013217 -0.875332449519 -0.848193980199 -0.855129817749
14100.0 0.0 0.0 0.044005462253 -0.874589204341 -0.889095429689 -0.863626308572 -0.872313983669
14200.0 0.0 0.0 0.0364772846378 -0.8853983141 -0.902840233855 -0.879013515465 -0.889425503764
14300.0 0.0 0.0 0.0288703296903 -0.896234292641 -0.916565867399 -0.894355231228 -0.906464632965
14400.0 0.0 0.0 0.0211877257429 -0.90709516929 -0.930271384732 -0.909651116588 -0.923431638287
14500.0 0.0 0.0 0.0134324923211 -0.917979049344 -0.943955887121 -0.924900861145 -0.940326797979
14600.0 0.0 0.0 0.00560754426067 -0.928884110998 -0.957618520621 -0.940104181948 -0.95715040073
14700.0 0.0 0.0 -0.00228430422556 -0.939808602413 -0.971258474093 -0.955260822146 -0.973902744905
14800.0 0.0 0.0 -0.0102403357211 -0.950750838922 -0.984874977332 -0.970370549694 -0.990584137833
14900.0 0.0 0.0 -0.0182579259317 -0.961709200351 -0.998467299266 -0.985433156135 -1.00719489514
15000.0 0.0 0.0 -0.0263345401692 -0.972682128463 -1.01203474626 -1.00044845543 -1.02373534009
15100.0 0.0 0.0 -0.0344677299847 -0.983668124511 -1.02557666045 -1.01541628287 -1.04020580303
15200.0 0.0 0.0 -0.0426551299451 -0.994665746903 -1.03909241826 -1.03033649398 -1.05660662076
15300.0 0.0 0.0 -0.0508944545455 -1.00567360896 -1.05258142883 -1.04520896359 -1.07293813606
15400.0 0.0 0.0 -0.0591834952509 -1.0166903768 -1.06604313267 -1.06003358479 -1.08920069714
15500.0 0.0 0.0 -0.0675201176617 -1.02771476723 -1.07947700028 -1.0748102681 -1.10539465719
15600.0 0.0 0.0 -0.0759022587963 -1.03874554587 -1.09288253085 -1.08953894058 -1.1215203739
15700.0 0.0 0.0 -0.0843279244864 -1.04978152521 -1.10625925105 -1.10421954499 -1.13757820907
15800.0 0.0 0.0 -0.0927951868789 -1.06082156283 -1.11960671386 -1.11885203903 -1.1535685282
15900.0 0.0 0.0 -0.10130218204 -1.07186455972 -1.13292449741 -1.13343639458 -1.16949170007
16000.0 0.0 0.0 -0.109847107656 -1.08290945854 -1.14621220395 -1.147972597 -1.18534809646
16100.0 0.0 0.0 -0.118428220829 -1.09395524216 -1.15946945878 -1.16246064445 -1.20113809174
16200.0 0.0 0.0 -0.127043835959 -1.10500093202 -1.17269590932 -1.17690054723 -1.21686206258
16300.0 0.0 0.0 -0.135692322709 -1.11604558678 -1.18589122412 -1.19129232719 -1.23252038765
16400.0 0.0 0.0 -0.144372104058 -1.12708830087 -1.199055092 -1.20563601713 -1.24811344736
16500.0 0.0 0.0 -0.153081654424 -1.13812820318 -1.21218722119 -1.21993166025 -1.26364162355
16600.0 0.0 0.0 -0.161819497865 -1.14916445576 -1.22528733849 -1.23417930959 -1.27910529925
16700.0 0.0 0.0 -0.170584206347 -1.16019625261 -1.2383551885 -1.24837902757 -1.29450485847
16800.0 0.0 0.0 -0.179374398084 -1.1712228185 -1.25139053287 -1.26253088546 -1.30984068594
16900.0 0.0 0.0 -0.188188735939 -1.18224340781 -1.26439314959 -1.27663496294 -1.32511316693
17000.0 0.0 0.0 -0.197025925887 -1.19325730349 -1.27736283227 -1.29069134767 -1.34032268703
17100.0 0.0 0.0 -0.205884715542 -1.20426381598 -1.29029938952 -1.30470013483 -1.35546963196
17200.0 0.0 0.0 -0.214763892729 -1.21526228221 -1.30320264429 -1.31866142677 -1.37055438742
17300.0 0.0 0.0 -0.223662284128 -1.22625206468 -1.31607243329 -1.3325753326 -1.3855773389
17400.0 0.0 0.0 -0.232578753948 -1.23723255046 -1.3289086064 -1.34644196782 -1.40053887154
17500.0 0.0 0.0 -0.24151220267 -1.24820315039 -1.34171102612 -1.36026145397 -1.41543936996
17600.0 0.0 0.0 -0.250461565828 -1.25916329815 -1.35447956703 -1.37403391833 -1.43027921815
17700.0 0.0 0.0 -0.259425812833 -1.2701124495 -1.3672141153 -1.38775949357 -1.44505879932
17800.0 0.0 0.0 -0.268403945851 -1.28105008143 -1.37991456819 -1.40143831746 -1.45977849581
17900.0 0.0 0.0 -0.27739499871 -1.29197569146 -1.39258083357 -1.41507053257 -1.47443868892
18000.0 0.0 0.0 -0.286398035856 -1.30288879688 -1.4052128295 -1.42865628601 -1.48903975886
18100.0 0.0 0.0 -0.295412151347 -1.31378893406 -1.41781048381 -1.44219572917 -1.50358208462
18200.0 0.0 0.0 -0.30443646788 -1.32467565777 -1.43037373363 -1.45568901743 -1.51806604387
18300.0 0.0 0.0 -0.313470135852 -1.33554854052 -1.44290252505 -1.46913630997 -1.53249201292
18400.0 0.0 0.0 -0.322512332463 -1.34640717195 -1.45539681273 -1.48253776952 -1.54686036656
18500.0 0.0 0.0 -0.331562260844 -1.35725115824 -1.46785655953 -1.49589356213 -1.56117147805
18600.0 0.0 0.0 -0.340619149217 -1.36808012151 -1.48028173616 -1.50920385697 -1.57542571904
18700.0 0.0 0.0 -0.349682250091 -1.37889369926 -1.49267232084 -1.52246882614 -1.58962345945
18800.0 0.0 0.0 -0.358750839479 -1.38969154386 -1.505028299 -1.53568864447 -1.60376506748
18900.0 0.0 0.0 -0.367824216145 -1.400473322 -1.51734966297 -1.54886348934 -1.61785090951
19000.0 0.0 0.0 -0.376901700882 -1.41123871423 -1.52963641166 -1.56199354049 -1.63188135005
19100.0 0.0 0.0 -0.385982635813 -1.42198741445 -1.5418885503 -1.5750789799 -1.6458567517
19200.0 0.0 0.0 -0.39506638371 -1.43271912946 -1.55410609015 -1.58811999157 -1.65977747512
19300.0 0.0 0.0 -0.404152327346 -1.44343357851 -1.56628904827 -1.60111676143 -1.67364387894
19400.0 0.0 0.0 -0.413239868866 -1.4541304929 -1.57843744723 -1.61406947714 -1.68745631977
19500.0 0.0 0.0 -0.42232842918 -1.4648096155 -1.59055131489 -1.62697832801 -1.70121515213
19600.0 0.0 0.0 -0.431417447373 -1.47547070045 -1.60263068419 -1.6398435048 -1.71492072847
19700.0 0.0 0.0 -0.440506380143 -1.48611351267 -1.61467559288 -1.65266519966 -1.72857339905
19800.0 0.0 0.0 -0.449594701251 -1.49673782757 -1.62668608333 -1.66544360597 -1.742173512
19900.0 0.0 0.0 -0.458681900994 -1.50734343066 -1.63866220234 -1.67817891824 -1.75572141326
20000.0 0.0 0.0 -0.467767485692 -1.51793011721 -1.65060400092 -1.690871332 -1.76921744654
20100.0 0.0 0.0 -0.476850977201 -1.52849769191 -1.66251153413 -1.7035210437 -1.78266195335
20200.0 0.0 0.0 -0.485931912429 -1.53904596856 -1.67438486085 -1.71612825058 -1.79605527293
20300.0 0.0 0.0 -0.495009842878 -1.54957476978 -1.68622404365 -1.72869315064 -1.80939774227
20400.0 0.0 0.0 -0.504084334203 -1.56008392667 -1.69802914861 -1.74121594247 -1.82268969606
20500.0 0.0 0.0 -0.513154965774 -1.57057327854 -1.70980024516 -1.75369682523 -1.83593146672
20600.0 0.0 0.0 -0.522221330265 -1.58104267264 -1.72153740589 -1.76613599854 -1.84912338438
20700.0 0.0 0.0 -0.53128303325 -1.5914919639 -1.73324070648 -1.77853366237 -1.86226577685
20800.0 0.0 0.0 -0.540339692815 -1.60192101465 -1.74491022546 -1.79089001705 -1.87535896963
20900.0 0.0 0.0 -0.549390939178 -1.61232969438 -1.75654604417 -1.8032052631 -1.88840328588
21000.0 0.0 0.0 -0.55843641433 -1.6227178795 -1.76814824653 -1.81547960124 -1.90139904648
21100.0 0.0 0.0 -0.567475771678 -1.6330854531 -1.779716919 -1.82771323227 -1.91434656995
21200.0 0.0 0.0 -0.576508675707 -1.64343230473 -1.79125215041 -1.83990635704 -1.92724617249
21300.0 0.0 0.0 -0.585534801649 -1.6537583302 -1.80275403183 -1.8520591764 -1.94009816798
21400.0 0.0 0.0 -0.594553835164 -1.66406343133 -1.81422265653 -1.86417189111 -1.95290286797
21500.0 0.0 0.0 -0.603565472031 -1.67434751579 -1.82565811976 -1.87624470179 -1.96566058168
21600.0 0.0 0.0 -0.612569417848 -1.68461049688 -1.83706051876 -1.88827780891 -1.97837161602
21700.0 0.0 0.0 -0.621565387745 -1.69485229333 -1.84842995257 -1.90027141271 -1.99103627556
21800.0 0.0 0.0 -0.630553106099 -1.70507282917 -1.85976652199 -1.91222571314 -2.00365486258
21900.0 0.0 0.0 -0.639532306268 -1.71527203347 -1.87107032947 -1.92414090985 -2.01622767704
22000.0 0.0 0.0 -0.648502730324 -1.72544984026 -1.882341479 -1.93601720213 -2.0287550166
22100.0 0.0 0.0 -0.657464128801 -1.7356061883 -1.89358007605 -1.94785478888 -2.04123717662
22200.0 0.0 0.0 -0.666416260444 -1.74574102093 -1.9047862275 -1.95965386856 -2.05367445018
22300.0 0.0 0.0 -0.675358891976 -1.75585428594 -1.91596004152 -1.97141463916 -2.06606712809
22400.0 0.0 0.0 -0.684291797861 -1.76594593543 -1.92710162751 -1.98313729817 -2.07841549886
22500.0 0.0 0.0 -0.693214760084 -1.7760159256 -1.93821109605 -1.99482204254 -2.09071984876
22600.0 0.0 0.0 -0.70212756793 -1.78606421668 -1.94928855881 -2.00646906867 -2.10298046182
22700.0 0.0 0.0 -0.711030017775 -1.79609077277 -1.96033412846 -2.01807857234 -2.1151976198
22800.0 0.0 0.0 -0.719921912882 -1.8060955617 -1.97134791865 -2.02965074875 -2.12737160225
22900.0 0.0 0.0 -0.728803063201 -1.81607855493 -1.98233004393 -2.0411857924 -2.1395026865
23000.0 0.0 0.0 -0.737673285182 -1.82603972739 -1.99328061967 -2.05268389716 -2.15159114766
23100.0 0.0 0.0 -0.74653240158 -1.83597905739 -2.00419976202 -2.0641452562 -2.16363725866
23200.0 0.0 0.0 -0.755380241286 -1.8458965265 -2.01508758785 -2.07557006195 -2.17564129024
23300.0 0.0 0.0 -0.76421663914 -1.85579211946 -2.02594421473 -2.08695850613 -2.18760351098
23400.0 0.0 0.0 -0.773041435772 -1.865665824 -2.03676976079 -2.09831077969 -2.19952418728
23500.0 0.0 0.0 -0.781854477429 -1.87551763084 -2.04756434479 -2.10962707282 -2.21140358343
23600.0 0.0 0.0 -0.790655615822 -1.88534753351 -2.05832808596 -2.1209075749 -2.22324196155
23700.0 0.0 0.0 -0.799444707966 -1.89515552828 -2.06906110402 -2.13215247451 -2.23503958169
23800.0 0.0 0.0 -0.808221616031 -1.90494161409 -2.07976351915 -2.14336195942 -2.24679670174
23900.0 0.0 0.0 -0.816986207198 -1.91470579241 -2.09043545187 -2.15453621654 -2.25851357756
24000.0 0.0 0.0 -0.825738353517 -1.9244480672 -2.10107702309 -2.16567543196 -2.27019046291
24100.0 0.0 0.0 -0.834477931767 -1.93416844478 -2.111688354 -2.17677979089 -2.28182760947
24200.0 0.0 0.0 -0.843204823327 -1.94386693379 -2.12226956608 -2.18784947766 -2.2934252669
24300.0 0.0 0.0 -0.851918914043 -1.95354354508 -2.13282078104 -2.19888467572 -2.30498368284
24400.0 0.0 0.0 -0.860620094104 -1.96319829166 -2.14334212078 -2.20988556765 -2.31650310288
24500.0 0.0 0.0 -0.869308257919 -1.97283118859 -2.1538337074 -2.22085233509 -2.32798377065
24600.0 0.0 0.0 -0.877983304002 -1.98244225294 -2.1642956631 -2.2317851588 -2.33942592775
24700.0 0.0 0.0 -0.886645134852 -1.9920315037 -2.17472811021 -2.2426842186 -2.35082981384
24800.0 0.0 0.0 -0.895293656845 -2.00159896172 -2.18513117112 -2.25354969338 -2.36219566661
24900.0 0.0 0.0 -0.903928780125 -2.01114464965 -2.1955049683 -2.26438176112 -2.37352372183
25000.0 0.0 0.0 -0.9125504185 -2.02066859186 -2.20584962419 -2.27518059883 -2.38481421333
25100.0 0.0 0.0 -0.921158489335 -2.03017081439 -2.21616526128 -2.28594638261 -2.39606737302
25200.0 0.0 0.0 -0.929752913458 -2.03965134489 -2.22645200199 -2.29667928758 -2.40728343093
25300.0 0.0 0.0 -0.938333615062 -2.04911021257 -2.23670996871 -2.30737948792 -2.41846261521
25400.0 0.0 0.0 -0.94690052161 -2.05854744812 -2.24693928375 -2.31804715684 -2.42960515215
25500.0 0.0 0.0 -0.955453563745 -2.06796308367 -2.25714006932 -2.32868246661 -2.44071126617
25600.0 0.0 0.0 -0.963992675203 -2.07735715274 -2.2673124475 -2.33928558852 -2.45178117988
25700.0 0.0 0.0 -0.972517792723 -2.0867296902 -2.27745654025 -2.34985669289 -2.46281511407
25800.0 0.0 0.0 -0.981028855969 -2.09608073218 -2.28757246936 -2.36039594908 -2.47381328771
25900.0 0.0 0.0 -0.989525807444 -2.10541031607 -2.29766035645 -2.37090352547 -2.48477591799
26000.0 0.0 0.0 -0.998008592413 -2.11471848045 -2.30772032293 -2.38137958948 -2.49570322035
26100.0 0.0 0.0 -1.00647715883 -2.12400526504 -2.31775249004 -2.39182430755 -2.50659540844
26200.0 0.0 0.0 -1.01493145725 -2.13327071066 -2.32775697873 -2.40223784513 -2.51745269418
26300.0 0.0 0.0 -1.02337144078 -2.14251485921 -2.33773390976 -2.41262036673 -2.52827528777
26400.0 0.0 0.0 -1.031797065 -2.1517377536 -2.34768340361 -2.42297203585 -2.53906339769
26500.0 0.0 0.0 -1.04020828785 -2.16093943772 -2.35760558048 -2.43329301505 -2.54981723072
