 52 te124         7.6763554341E-10
 52 te125         1.1470431909E-09
 52 te126         3.0682960234E-09
 52 te128         5.2242167728E-09
 52 te130         5.6619421504E-09
 53 i 127         3.8266730451E-09
 54 xe124         2.3776322141E-11
 54 xe126         2.0708409607E-11
 54 xe128         4.1723610467E-10
 54 xe129         5.2650309663E-09
 54 xe130         8.5107180752E-10
 54 xe131         4.2342671389E-09
 54 xe132         5.2428433846E-09
 54 xe134         1.9600674045E-09
 54 xe136         1.6167899056E-09
 55 cs133         1.3516072159E-09
 56 ba130         1.7804849530E-11
 56 ba132         1.8078770292E-11
 56 ba134         3.9641812676E-10
 56 ba135         1.0908894346E-09
 56 ba136         1.3075881495E-09
 56 ba137         1.8838626485E-09
 56 ba138         1.2134141915E-08
 57 la138         0.0000000000E+00
 57 la139         1.7400268564E-09
 58 ce136         7.4506447263E-12
 58 ce138         1.1340319547E-11
 58 ce140         3.9882862946E-09
 58 ce142         5.0954740146E-10
 59 pr141         6.6431263199E-10
 60 nd142         8.9851488350E-10
 60 nd143         4.0345789034E-10
 60 nd144         8.0072517146E-10
 60 nd145         2.9788882867E-10
 60 nd146         5.8788873939E-10
 60 nd148         1.9864733660E-10
 60 nd150         1.9722294864E-09
 62 sm144         3.1555671782E-11
 62 sm147         1.6509204325E-10
 62 sm148         1.2162081833E-10
 62 sm149         1.5101251609E-10
 62 sm150         8.2176228598E-11
 62 sm152         2.9561528634E-10
 62 sm154         2.5310278408E-10
 63 eu151         1.9481518514E-10
 63 eu153         2.1541676565E-10
 64 gd152         2.9145169076E-12
 64 gd154         3.2903361931E-11
 64 gd155         2.2629963752E-10
 64 gd156         3.1450486209E-10
 64 gd157         2.4212130073E-10
 64 gd158         3.8691855473E-10
 64 gd160         3.4492102350E-10
 65 tb159         2.7612856334E-10
 66 dy156         8.5463277742E-13
 66 dy158         1.7311792158E-12
 66 dy160         4.1197682604E-11
 66 dy161         3.3605146923E-10
 66 dy162         4.5706418346E-10
 66 dy163         4.5095575047E-10
 66 dy164         5.1212225663E-10
 67 ho165         4.1129202414E-10
 68 er162         1.7750065377E-12
 68 er164         1.8867662086E-11
 68 er166         4.0014344912E-10
 68 er167         2.7446860352E-10
 68 er168         3.2673268491E-10
 68 er170         1.8160946520E-10
 69 tm169         1.8794799164E-10
 70 yb168         1.3805606405E-12
 70 yb170         3.5390562450E-11
 70 yb171         1.6909402559E-10
 70 yb172         2.6195590311E-10
 70 yb173         1.9571364524E-10
 70 yb174         3.9130676534E-10
 70 yb176         1.6053948019E-10
 71 lu175         1.7736369339E-10
 71 lu176         5.3031059522E-12
 72 hf174         1.4298663776E-12
 72 hf176         3.9050143830E-11
 72 hf177         1.4060352713E-10
 72 hf178         2.0722105645E-10
 72 hf179         1.0394745076E-10
 72 hf180         2.6970238226E-10
 73 ta180         1.2819491661E-14
 73 ta181         1.0411728163E-10
 74 w 180         9.8611474318E-13
 74 w 182         1.8096849062E-10
 74 w 183         9.8249898912E-11
 74 w 184         2.1168596487E-10
 74 w 186         1.9870212075E-10
 75 re185         1.0489795581E-10
 75 re187         1.9157470252E-10
 76 os184         5.0401420207E-13
 76 os186         5.5025202669E-11
 76 os187         4.4051936944E-11
 76 os188         4.6553381343E-10
 76 os189         5.6948126419E-10
 76 os190         9.3160451154E-10
 76 os192         1.4620794592E-09
 77 ir191         1.3079716385E-09
 77 ir193         2.2256883674E-09
 78 pt190         1.0408988956E-12
 78 pt192         5.2592786303E-11
 78 pt194         2.2319063687E-09
 78 pt195         2.3021670442E-09
 78 pt196         1.7287687131E-09
 78 pt198         4.9355042896E-10
 79 au197         1.0522666072E-09
 80 hg196         5.3688469351E-12
 80 hg198         2.4948703002E-10
 80 hg199         4.1972878360E-10
 80 hg200         5.8071201543E-10
 80 hg201         3.3034843897E-10
 80 hg202         7.5804831674E-10
 80 hg204         1.7322748989E-10
 81 tl203         3.0027193930E-10
 81 tl205         7.2438345509E-10
 82 pb204         3.6880691395E-10
 82 pb206         3.4646593660E-09
 82 pb207         3.8557086458E-09
 82 pb208         1.1110226107E-08
 83 bi209         7.9004226175E-10
 90 th232         2.7961831384E-10
 92 u 235         3.7335399860E-11
 92 u 238         1.1734765444E-10
