! Table 6 of Lodders (2003), ApJ, 591: 1220
! Massaged into a machine-readable form by EFB 31 May 2012
!
! Z El     A     %            N(Si= 1e6)
!=======================================
 56 Ba   134      2.417       0.1052          
 56 Ba   135      6.592       0.2868          
 56 Ba   136      7.853       0.3417          
 56 Ba   137     11.232       0.4887          
 56 Ba   138     71.699       3.120           
 57 La   138      0.09017     0.000397        
 57 La   139     99.90983     0.4401          
 58 Ce   136      0.186       0.00217         
 58 Ce   138      0.251       0.00293         
 58 Ce   140     88.449       1.0340          
 58 Ce   142     11.114       0.1299          
 59 Pr   141    100           0.1737          
 60 Nd   142     27.16        0.22689         
 60 Nd   143     12.19        0.1018631       
 60 Nd   144     23.83        0.1990728       
 60 Nd   145      8.30        0.06934         
 60 Nd   146     17.17        0.14344         
 60 Nd   148      5.74        0.04795                                                                                                   
 60 Nd   150      5.62        0.04695           
 62 Sm   144      3.0734      0.00781   
 62 Sm   147     14.9934      0.03811   
 62 Sm   148     11.2406      0.0286    
 62 Sm   149     13.8189      0.0351    
 62 Sm   150      7.3796      0.0188    
 62 Sm   152     26.7421      0.0680    
 62 Sm   154     22.752       0.0578    
 63 Eu   151     47.81        0.04548   
 63 Eu   153     52.19        0.04965   
 64 Gd   152      0.2029      0.00067   
 64 Gd   154      2.1809      0.00724   
 64 Gd   155     14.7998      0.04915   
 64 Gd   156     20.4664      0.06797   
 64 Gd   157     15.6518      0.05198   
 64 Gd   158     24.8347      0.08248   
 64 Gd   160     21.8635      0.07261   
 65 Tb   159    100           0.05907   
 66 Dy   156      0.056       0.000216  
 66 Dy   158      0.096       0.000371  
 66 Dy   160      2.34        0.00904   
 66 Dy   161     18.91        0.0730    
 66 Dy   162     25.51        0.0985    
 66 Dy   163     24.9         0.0962    
 66 Dy   164     28.19        0.1089    
 67 Ho   165    100           0.08986   
 68 Er   162      0.137       0.000350  
 68 Er   164      1.609       0.004109  
 68 Er   166     33.61        0.08584   
 68 Er   167     22.93        0.05856   
 68 Er   168     26.79        0.06842   
 68 Er   170     14.93        0.03813   
 69 Tm   169    100           0.0370    
 70 Yb   168      0.13        0.000323  
 70 Yb   170      3.04        0.007551  
 70 Yb   171     14.28        0.03547   
 70 Yb   172     21.83        0.05423   
 70 Yb   173     16.13        0.04007   
 70 Yb   174     31.83        0.07907   
 70 Yb   176     12.76        0.03170   
 71 Lu   175     97.416       0.03480   
 71 Lu   176      2.584       0.000923  
 72 Hf   174      0.1620      0.000275  
 72 Hf   176      5.2502      0.0089201 
 72 Hf   177     18.5973      0.0315968 
 72 Hf   178     27.2840      0.046356  
 72 Hf   179     13.6225      0.023145  
 72 Hf   180     35.0840      0.059608  
 73 Ta   180      0.0123      0.00000258
 73 Ta   181     99.9877      0.020987
 74 W    180      0.1198      0.000153
 74 W    182     26.4985      0.03384
 74 W    183     14.3136      0.01828
 74 W    184     30.6422      0.03913
 74 W    186     28.4259      0.03630
 75 Re   185     37.398       0.01965
 75 Re   187     62.602       0.03289
 76 Os   184      0.0198      0.000133
 76 Os   186      1.5922      0.010728
 76 Os   187      1.644       0.011080
 76 Os   188     13.2865      0.089524
 76 Os   189     16.1992      0.10915
 76 Os   190     26.3438      0.17750
 76 Os   192     40.9142      0.27568
 77 Ir   191     37.272       0.2403
 77 Ir   193     62.728       0.4045
 78 Pt   190      0.013634    0.000185
 78 Pt   192      0.78266     0.01062
 78 Pt   194     32.967       0.44736
 78 Pt   195     33.83156     0.45909
 78 Pt   196     25.24166     0.34253
 78 Pt   198      7.16349     0.09721
 79 Au   197    100           0.1955
 80 Hg   196      0.15344     0.00063
 80 Hg   198      9.968       0.0411
 80 Hg   199     16.873       0.0697
 80 Hg   200     23.096       0.0953
 80 Hg   201     13.181       0.0544
 80 Hg   202     29.863       0.1233
 80 Hg   204      6.865       0.0283
 81 Tl   203     29.524       0.0545
 81 Tl   205     70.476       0.1300
 82 Pb   204      1.9820      0.064573
 82 Pb   206     18.7351      0.61039
 82 Pb   207     22.5900      0.67082
 82 Pb   208     58.6929      1.91222
 83 Bi   209    100           0.1388
 90 Th   232    100           0.03512
 92 U    235      0.72        0.000067
 92 U    238     99.2745      0.009238
