#  r_c12_ag_o16 deboer sigma = -1.0 2000 point temperature grid
# T8            RATE      
2015
0.01 0.000E+00
0.02 0.000E+00
0.03 0.000E+00
0.04 0.000E+00
0.05 0.000E+00
0.06 0.000E+00
0.07 0.000E+00
0.08 0.000E+00
0.09 0.000E+00
0.1  0.000E+00
0.2  0.000E+00
0.3  0.000E+00
0.4  0.000E+00
0.5  0.000E+00
6.00000E-01              5.6166500260072200E-26
6.01540E-01              6.0015305575148600E-26
6.03080E-01              6.4113127694185600E-26
6.04620E-01              6.8475117844236100E-26
6.06170E-01              7.3148386166202000E-26
6.07720E-01              7.8122745841693400E-26
6.09280E-01              8.3451667432984500E-26
6.10840E-01              8.9123707642608000E-26
6.12400E-01              9.5159636524090700E-26
6.13970E-01              1.0162385961003500E-25
6.15550E-01              1.0854771368671400E-25
6.17120E-01              1.1586866767636100E-25
6.18700E-01              1.2370674074545400E-25
6.20290E-01              1.3209958605596500E-25
6.21880E-01              1.4102972313977600E-25
6.23470E-01              1.5052947541777000E-25
6.25070E-01              1.6069851482382000E-25
6.26670E-01              1.7151567863636600E-25
6.28270E-01              1.8301977898589100E-25
6.29880E-01              1.9533063010034500E-25
6.31490E-01              2.0842262875506600E-25
6.33110E-01              2.2243148275338400E-25
6.34730E-01              2.3732845027974100E-25
6.36360E-01              2.5326721854585400E-25
6.37990E-01              2.7021552086230300E-25
6.39620E-01              2.8823341017873200E-25
6.41260E-01              3.0750540093349500E-25
6.42900E-01              3.2799247102495700E-25
6.44550E-01              3.4990342789234500E-25
6.46200E-01              3.7319447550997900E-25
6.47860E-01              3.9810187520200900E-25
6.49520E-01              4.2457647108713000E-25
6.51180E-01              4.5271083544658300E-25
6.52850E-01              4.8278825095015800E-25
6.54520E-01              5.1474929880384500E-25
6.56200E-01              5.4891426674087100E-25
6.57880E-01              5.8521648377941300E-25
6.59560E-01              6.2378142597789300E-25
6.61250E-01              6.6499270414451500E-25
6.62940E-01              7.0876978119332200E-25
6.64640E-01              7.5554604864893500E-25
6.66350E-01              8.0553237038852600E-25
