#T8    	adopted	
58
   0.03000    1.650000e-24
   0.04000    9.080000e-22
   0.05000    8.020000e-20
   0.06000    2.440000e-18
   0.07000    3.710000e-17
   0.08000    3.500000e-16
   0.09000    2.330000e-15
   0.10000    1.190000e-14
   0.11000    4.940000e-14
   0.12000    1.740000e-13
   0.13000    5.360000e-13
   0.14000    1.480000e-12
   0.15000    3.710000e-12
   0.16000    8.610000e-12
   0.18000    3.810000e-11
   0.20000    1.370000e-10
   0.25000    1.760000e-09
   0.30000    1.230000e-08
   0.40000    2.060000e-07
   0.50000    1.520000e-06
   0.60000    6.900000e-06
   0.70000    2.300000e-05
   0.80000    6.200000e-05
   0.90000    1.430000e-04
   1.00000    2.930000e-04
   1.10000    5.470000e-04
   1.20000    9.490000e-04
   1.30000    1.550000e-03
   1.40000    2.420000e-03
   1.50000    3.610000e-03
   1.60000    5.210000e-03
   1.80000    9.940000e-03
   2.00000    1.730000e-02
   2.50000    5.230000e-02
   3.00000    1.210000e-01
   3.50000    2.350000e-01
   4.00000    4.060000e-01
   4.50000    6.440000e-01
   5.00000    9.580000e-01
   6.00000    1.860000e+00
   7.00000    3.180000e+00
   8.00000    5.030000e+00
   9.00000    7.460000e+00
  10.00000    1.050000e+01
  12.50000    2.100000e+01
  15.00000    3.490000e+01
  17.50000    5.140000e+01
  20.00000    6.970000e+01
  25.00000    1.090000e+02
  30.00000    1.510000e+02
  35.00000    1.930000e+02
  40.00000    2.370000e+02
  50.00000    3.310000e+02
  60.00000    4.330000e+02
  70.00000    5.450000e+02
  80.00000    6.680000e+02
  90.00000    8.020000e+02
 100.00000    9.430000e+02
